"image_model","oddball","target_loc","ms_stim","synth_num","crop_x","crop_y","crop_x_2","crop_y_2","subj","session","test_location","rand_seed","trial","response","rt","eye_valid","prop_eye_valid","correct","image_code","image_name","presentation_cond","subj_display"
"powerspec","synth",3,2000,7,105,1,68,129,"CF",1,"cin",214996.3334,1,"3",2.44241366499955,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"conv5","synth",3,2000,5,42,1,10,129,"CF",1,"cin",214996.3334,2,"1",2.35506548999911,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","synth",1,2000,2,66,1,8,129,"CF",1,"cin",214996.3334,3,"1",2.53525747499771,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","synth",2,2000,2,125,1,111,129,"CF",1,"cin",214996.3334,4,"1",2.50847229999999,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","original",1,2000,6,1,98,129,22,"CF",1,"cin",214996.3334,5,"2",2.38647136999862,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"conv5","synth",3,2000,3,1,9,129,60,"CF",1,"cin",214996.3334,6,"3",2.56505210499927,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","original",2,2000,8,1,95,129,66,"CF",1,"cin",214996.3334,7,"2",2.63821468499918,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","original",2,2000,5,1,125,129,109,"CF",1,"cin",214996.3334,8,"2",2.57467779499893,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","synth",1,2000,10,1,99,129,27,"CF",1,"cin",214996.3334,9,"1",2.43020216499826,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","original",2,2000,1,16,1,37,129,"CF",1,"cin",214996.3334,10,"1",2.55030631000045,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",1,2000,2,84,1,27,129,"CF",1,"cin",214996.3334,11,"1",2.47627138999997,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"PS","original",3,2000,7,85,1,20,129,"CF",1,"cin",214996.3334,12,"3",2.88170180999987,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"conv5","synth",2,2000,9,1,86,129,56,"CF",1,"cin",214996.3334,13,"2",2.67450717999782,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",2,2000,2,27,1,55,129,"CF",1,"cin",214996.3334,14,"2",2.44622897999761,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","synth",2,2000,6,1,101,129,33,"CF",1,"cin",214996.3334,15,"1",2.47337755499939,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"conv5","original",1,2000,2,54,1,94,129,"CF",1,"cin",214996.3334,16,"3",2.49509957499868,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"conv5","synth",3,2000,1,1,74,129,87,"CF",1,"cin",214996.3334,17,"3",2.50901609499851,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"conv5","synth",1,2000,7,120,1,74,129,"CF",1,"cin",214996.3334,18,"3",2.51647335499911,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"PS","synth",1,2000,3,43,1,63,129,"CF",1,"cin",214996.3334,19,"1",2.46055878499828,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","synth",3,2000,7,105,1,84,129,"CF",1,"cin",214996.3334,20,"3",2.56362416999946,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"PS","original",3,2000,5,52,1,53,129,"CF",1,"cin",214996.3334,21,"3",2.50658537499839,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"powerspec","synth",1,2000,7,1,1,129,80,"CF",1,"cin",214996.3334,22,"2",2.38480866499776,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","original",2,2000,2,11,1,1,129,"CF",1,"cin",214996.3334,23,"3",2.48779429999922,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","original",1,2000,10,1,127,129,105,"CF",1,"cin",214996.3334,24,"1",2.51475404499797,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",1,2000,4,1,114,129,14,"CF",1,"cin",214996.3334,25,"3",2.52936403999956,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","synth",3,2000,3,101,1,71,129,"CF",1,"cin",214996.3334,26,"3",2.45899394999833,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","original",1,2000,7,115,1,55,129,"CF",1,"cin",214996.3334,27,"1",2.3697808099987,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","synth",1,2000,3,82,1,6,129,"CF",1,"cin",214996.3334,28,"2",2.43613754500075,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","synth",1,2000,5,1,100,129,6,"CF",1,"cin",214996.3334,29,"3",2.46797332999995,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","CF"
"powerspec","original",1,2000,1,113,1,84,129,"CF",1,"cin",214996.3334,30,"3",2.55275594999875,NA,NA,0,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"powerspec","original",3,2000,7,1,106,129,82,"CF",1,"cin",214996.3334,31,"1",2.5218955399996,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","synth",1,2000,9,1,21,129,91,"CF",1,"cin",214996.3334,32,"2",2.42408187499859,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","original",2,2000,6,1,25,129,64,"CF",1,"cin",214996.3334,33,"2",2.44492077999894,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"PS","synth",3,2000,5,21,1,75,129,"CF",1,"cin",214996.3334,34,"3",2.51453457999924,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"powerspec","original",1,2000,3,1,36,129,62,"CF",1,"cin",214996.3334,35,"2",2.59110326499831,NA,NA,0,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"PS","synth",1,2000,3,1,62,129,10,"CF",1,"cin",214996.3334,36,"3",2.52933870499874,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"conv5","synth",3,2000,3,1,114,129,74,"CF",1,"cin",214996.3334,37,"3",2.4227427400001,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","synth",3,2000,6,1,11,129,22,"CF",1,"cin",214996.3334,38,"3",2.51622079499975,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"PS","original",2,2000,4,1,2,129,63,"CF",1,"cin",214996.3334,39,"1",2.36149099999784,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","synth",3,2000,5,98,1,54,129,"CF",1,"cin",214996.3334,40,"3",2.58769241999835,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"conv5","original",3,2000,1,1,40,129,44,"CF",1,"cin",214996.3334,41,"3",0,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","synth",2,2000,10,61,1,118,129,"CF",1,"cin",214996.3334,42,"3",2.42299591499795,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","CF"
"conv5","synth",2,2000,7,74,1,73,129,"CF",1,"cin",214996.3334,43,"2",2.41499079999812,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF"
"conv5","original",1,2000,7,7,1,107,129,"CF",1,"cin",214996.3334,44,"3",2.54987389999769,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","synth",1,2000,1,22,1,22,129,"CF",1,"cin",214996.3334,45,"3",2.57295086999875,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","CF"
"PS","synth",1,2000,9,1,37,129,65,"CF",1,"cin",214996.3334,46,"1",2.44303854499958,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF"
"powerspec","original",3,2000,6,1,91,129,95,"CF",1,"cin",214996.3334,47,"3",2.47825964499862,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","original",2,2000,10,112,1,86,129,"CF",1,"cin",214996.3334,48,"3",2.47379988499779,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","CF"
"powerspec","synth",2,2000,10,100,1,56,129,"CF",1,"cin",214996.3334,49,"2",2.42707302000053,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"PS","original",1,2000,9,33,1,73,129,"CF",1,"cin",214996.3334,50,"2",2.42628842999875,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","CF"
"PS","original",3,2000,7,64,1,7,129,"CF",1,"cin",214996.3334,51,"3",2.50357061999966,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"PS","synth",3,2000,10,1,121,129,5,"CF",1,"cin",214996.3334,52,"3",2.47477505999996,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"PS","synth",1,2000,4,1,95,129,28,"CF",1,"cin",214996.3334,53,"2",2.64743391999946,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","CF"
"PS","synth",1,2000,6,6,1,10,129,"CF",1,"cin",214996.3334,54,"1",2.50810275999902,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",3,2000,10,25,1,69,129,"CF",1,"cin",214996.3334,55,"3",2.54661238500012,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"PS","original",2,2000,2,1,105,129,59,"CF",1,"cin",214996.3334,56,"2",2.50777847499921,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"PS","original",3,2000,6,81,1,110,129,"CF",1,"cin",214996.3334,57,"3",2.6033766799992,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"conv5","synth",3,2000,4,3,1,19,129,"CF",1,"cin",214996.3334,58,"3",2.48333097999785,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF"
"conv5","synth",1,2000,4,20,1,29,129,"CF",1,"cin",214996.3334,59,"1",2.43732928499958,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"conv5","synth",1,2000,2,20,1,123,129,"CF",1,"cin",214996.3334,60,"3",2.4932728549993,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"conv5","original",2,2000,5,1,51,129,88,"CF",1,"cin",214996.3334,61,"2",2.49320044499837,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","original",1,2000,8,1,39,129,7,"CF",1,"cin",214996.3334,62,"3",2.33083769999757,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","synth",1,2000,9,1,37,129,35,"CF",1,"cin",214996.3334,63,"1",2.5585932699978,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"PS","original",1,2000,4,22,1,108,129,"CF",1,"cin",214996.3334,64,"1",2.46356541499881,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","original",3,2000,1,45,1,120,129,"CF",1,"cin",214996.3334,65,"1",2.46810984999865,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","synth",3,2000,3,1,70,129,104,"CF",1,"cin",214996.3334,66,"3",2.44008973999917,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","synth",2,2000,6,18,1,1,129,"CF",1,"cin",214996.3334,67,"2",2.41603865499928,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"PS","original",1,2000,2,1,106,129,19,"CF",1,"cin",214996.3334,68,"1",2.66516581999895,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"conv5","synth",3,2000,10,93,1,104,129,"CF",1,"cin",214996.3334,69,"3",2.52630888500062,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"conv5","original",3,2000,8,1,64,129,49,"CF",1,"cin",214996.3334,70,"2",2.3644178049999,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","original",1,2000,6,1,41,129,101,"CF",1,"cin",214996.3334,71,"2",2.40537288999985,NA,NA,0,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"powerspec","synth",1,2000,4,1,115,129,78,"CF",1,"cin",214996.3334,72,"2",2.82421556999907,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","CF"
"conv5","synth",1,2000,10,12,1,42,129,"CF",1,"cin",214996.3334,73,"1",2.42374581499826,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","original",1,2000,1,1,95,129,4,"CF",1,"cin",214996.3334,74,"1",2.46090399999775,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","original",2,2000,5,1,113,129,99,"CF",1,"cin",214996.3334,75,"2",2.39263631500035,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF"
"PS","original",2,2000,8,1,18,129,90,"CF",1,"cin",214996.3334,76,"3",2.33887725000022,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","original",3,2000,4,69,1,29,129,"CF",1,"cin",214996.3334,77,"3",2.26769623499968,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"PS","original",3,2000,7,1,82,129,99,"CF",1,"cin",214996.3334,78,"3",2.37204395499793,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","original",3,2000,6,92,1,120,129,"CF",1,"cin",214996.3334,79,"1",2.49951755999973,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"conv5","synth",2,2000,9,64,1,83,129,"CF",1,"cin",214996.3334,80,"1",2.62438245999874,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","original",3,2000,8,1,79,129,91,"CF",1,"cin",214996.3334,81,"3",2.52466388999892,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"PS","original",1,2000,3,101,1,36,129,"CF",1,"cin",214996.3334,82,"1",2.83069017999878,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"conv5","original",1,2000,10,1,41,129,24,"CF",1,"cin",214996.3334,83,"3",2.49027018500055,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"powerspec","original",2,2000,2,68,1,125,129,"CF",1,"cin",214996.3334,84,"2",2.52325577499869,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","original",3,2000,1,1,1,98,129,"CF",1,"cin",214996.3334,85,"2",2.57712074999836,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","synth",3,2000,2,62,1,21,129,"CF",1,"cin",214996.3334,86,"2",2.54105028499907,NA,NA,0,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"conv5","original",1,2000,7,38,1,7,129,"CF",1,"cin",214996.3334,87,"3",2.47953108500042,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","synth",3,2000,10,91,1,2,129,"CF",1,"cin",214996.3334,88,"2",2.48128103499948,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","CF"
"conv5","synth",2,2000,5,1,65,129,66,"CF",1,"cin",214996.3334,89,"2",2.47150530499857,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","original",3,2000,8,1,93,129,118,"CF",1,"cin",214996.3334,90,"2",2.49039357999754,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","original",1,2000,1,103,1,10,129,"CF",1,"cin",214996.3334,91,"3",2.5732509999998,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","CF"
"powerspec","synth",3,2000,7,1,69,129,73,"CF",1,"cin",214996.3334,92,"3",2.39700014499977,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","synth",3,2000,10,32,1,90,129,"CF",1,"cin",214996.3334,93,"2",2.4882229399991,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","original",3,2000,1,42,1,71,129,"CF",1,"cin",214996.3334,94,"3",2.75571716000013,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","original",3,2000,8,79,1,100,129,"CF",1,"cin",214996.3334,95,"3",2.45215828499931,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"PS","original",1,2000,8,1,13,129,17,"CF",1,"cin",214996.3334,96,"1",2.51621713999884,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"conv5","synth",3,2000,1,1,19,129,121,"CF",1,"cin",214996.3334,97,"3",2.54752017499959,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"conv5","original",3,2000,7,6,1,71,129,"CF",1,"cin",214996.3334,98,"2",2.53876443499939,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"PS","original",1,2000,8,19,1,36,129,"CF",1,"cin",214996.3334,99,"2",2.57961354999861,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","synth",3,2000,7,36,1,84,129,"CF",1,"cin",214996.3334,100,"3",2.47089827499985,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"conv5","synth",2,2000,3,1,35,129,86,"CF",1,"cin",214996.3334,101,"3",2.41106281999782,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","CF"
"powerspec","original",1,2000,1,1,59,129,108,"CF",1,"cin",214996.3334,102,"2",2.81946830999732,NA,NA,0,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"powerspec","synth",2,2000,8,62,1,97,129,"CF",1,"cin",214996.3334,103,"2",2.54019877999781,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","synth",1,2000,9,1,103,129,62,"CF",1,"cin",214996.3334,104,"1",2.43362682999941,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"conv5","synth",3,2000,7,1,82,129,116,"CF",1,"cin",214996.3334,105,"3",2.50730564999867,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"PS","synth",3,2000,7,127,1,19,129,"CF",1,"cin",214996.3334,106,"3",2.50756609999917,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","synth",2,2000,1,1,16,129,48,"CF",1,"cin",214996.3334,107,"2",2.40606339499755,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"PS","synth",1,2000,1,1,18,129,56,"CF",1,"cin",214996.3334,108,"1",2.38814123500015,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"conv5","synth",2,2000,4,34,1,31,129,"CF",1,"cin",214996.3334,109,"2",2.51676089499961,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"powerspec","original",1,2000,2,1,1,129,2,"CF",1,"cin",214996.3334,110,"2",2.49902333999853,NA,NA,0,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"powerspec","original",3,2000,6,1,76,129,128,"CF",1,"cin",214996.3334,111,"2",2.49415602499903,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","original",2,2000,8,85,1,22,129,"CF",1,"cin",214996.3334,112,"2",2.51992765499926,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","synth",1,2000,10,1,74,129,76,"CF",1,"cin",214996.3334,113,"1",2.53671443999883,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"conv5","synth",2,2000,4,1,64,129,80,"CF",1,"cin",214996.3334,114,"3",2.41568053999981,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"powerspec","original",1,2000,1,61,1,109,129,"CF",1,"cin",214996.3334,115,"1",2.45312406999801,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"powerspec","original",1,2000,5,113,1,105,129,"CF",1,"cin",214996.3334,116,"2",2.41689675999987,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"powerspec","synth",2,2000,3,1,116,129,65,"CF",1,"cin",214996.3334,117,"2",2.52467531000002,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF"
"PS","original",1,2000,3,1,25,129,102,"CF",1,"cin",214996.3334,118,"1",2.46731806499884,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","synth",2,2000,7,5,1,106,129,"CF",1,"cin",214996.3334,119,"2",2.53716256999905,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"PS","synth",1,2000,1,95,1,100,129,"CF",1,"cin",214996.3334,120,"1",2.33658097499756,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"PS","original",1,2000,3,102,1,80,129,"CF",1,"cin",214996.3334,121,"2",2.58438638000007,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"powerspec","original",2,2000,5,1,56,129,81,"CF",1,"cin",214996.3334,122,"3",2.53462230999867,NA,NA,0,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","original",3,2000,9,1,93,129,61,"CF",1,"cin",214996.3334,123,"1",2.44977433999884,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","CF"
"powerspec","synth",1,2000,1,105,1,58,129,"CF",1,"cin",214996.3334,124,"1",2.57867744500072,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"conv5","synth",3,2000,6,1,55,129,110,"CF",1,"cin",214996.3334,125,"3",2.5384633349986,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"conv5","synth",3,2000,7,1,3,129,2,"CF",1,"cin",214996.3334,126,"3",2.48490004499945,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"powerspec","synth",1,2000,9,1,115,129,85,"CF",1,"cin",214996.3334,127,"2",2.38907004999965,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","CF"
"powerspec","original",1,2000,7,1,105,129,125,"CF",1,"cin",214996.3334,128,"3",2.38409788499848,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","CF"
"powerspec","original",3,2000,9,88,1,115,129,"CF",1,"cin",214996.3334,129,"2",2.51834010499988,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"powerspec","original",1,2000,7,1,9,129,66,"CF",1,"cin",214996.3334,130,"3",2.34348318999946,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","synth",3,2000,8,74,1,83,129,"CF",1,"cin",214996.3334,131,"3",2.30278210999859,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF"
"PS","synth",2,2000,10,70,1,18,129,"CF",1,"cin",214996.3334,132,"2",2.38803498499874,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"conv5","synth",2,2000,2,52,1,123,129,"CF",1,"cin",214996.3334,133,"2",2.51506531499945,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","original",3,2000,4,1,49,129,109,"CF",1,"cin",214996.3334,134,"2",2.37464205499782,NA,NA,0,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"PS","original",1,2000,5,1,65,129,54,"CF",1,"cin",214996.3334,135,"1",2.32918040999903,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"conv5","original",1,2000,3,78,1,18,129,"CF",1,"cin",214996.3334,136,"3",2.40635708999798,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"PS","synth",3,2000,7,1,117,129,94,"CF",1,"cin",214996.3334,137,"3",2.33264354999847,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"conv5","synth",1,2000,1,47,1,77,129,"CF",1,"cin",214996.3334,138,"3",2.50244552000004,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"PS","synth",3,2000,10,1,103,129,51,"CF",1,"cin",214996.3334,139,"3",2.31238138499793,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"PS","original",2,2000,4,1,70,129,25,"CF",1,"cin",214996.3334,140,"2",2.39537477500016,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF"
"conv5","synth",1,2000,2,1,69,129,12,"CF",1,"cin",214996.3334,141,"1",2.42381901999943,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF"
"conv5","synth",1,2000,2,105,1,66,129,"CF",1,"cin",214996.3334,142,"1",2.47423006999816,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"PS","synth",3,2000,3,60,1,2,129,"CF",1,"cin",214996.3334,143,"3",2.40225589500005,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","original",2,2000,2,1,104,129,19,"CF",1,"cin",214996.3334,144,"3",2.49330914500024,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"conv5","original",2,2000,5,112,1,61,129,"CF",1,"cin",214996.3334,145,"1",2.61184037499879,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"powerspec","original",3,2000,5,1,47,129,41,"CF",1,"cin",214996.3334,146,"3",2.50327686999844,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"conv5","synth",2,2000,10,81,1,77,129,"CF",1,"cin",214996.3334,147,"2",2.37943803499911,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"PS","original",3,2000,5,1,94,129,19,"CF",1,"cin",214996.3334,148,"3",1.41077694499836,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","original",1,2000,5,1,31,129,64,"CF",1,"cin",214996.3334,149,"1",1.13492961999873,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"PS","synth",3,2000,6,19,1,67,129,"CF",1,"cin",214996.3334,150,"3",2.11244235499908,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"conv5","synth",2,2000,1,24,1,49,129,"CF",1,"cin",214996.3334,151,"2",2.4116648249983,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"conv5","synth",1,2000,8,102,1,40,129,"CF",1,"cin",214996.3334,152,"1",2.48286713499874,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"powerspec","synth",3,2000,8,1,117,129,87,"CF",1,"cin",214996.3334,153,"2",2.50841298999876,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","CF"
"conv5","original",1,2000,1,17,1,79,129,"CF",1,"cin",214996.3334,154,"3",2.46783960999892,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","CF"
"PS","synth",3,2000,3,51,1,78,129,"CF",1,"cin",214996.3334,155,"3",2.45635901499918,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","original",2,2000,6,21,1,46,129,"CF",1,"cin",214996.3334,156,"2",2.52318451999963,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","CF"
"powerspec","original",1,2000,7,1,53,129,84,"CF",1,"cin",214996.3334,157,"1",2.46408685499773,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","original",1,2000,6,1,26,129,50,"CF",1,"cin",214996.3334,158,"2",2.5493820899992,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"PS","synth",2,2000,1,75,1,105,129,"CF",1,"cin",214996.3334,159,"2",2.34058277999975,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
