subj,sex,age,first pres_time
S1,f,26,2000
S2,f,36,2000
S3,f,29,200
S4,f,25,200
S5,m,24,2000
S6,f,25,200
S7,f,21,2000
S8,f,26,200
S9,f,24,2000
S10,f,24,200
TW,m,33,
CF,f,23,
