image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,Vegetables0024_1_S,1,3,200,8,1,64,129,97,cf,6,cin,215372.071,1,2,0.64979260500013,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,1,200,9,79,1,113,129,cf,6,cin,215372.071,2,1,0.783730259999629,NaN,NaN
conv3,BrickRound0043_1_S,0,3,200,5,94,1,96,129,cf,6,cin,215372.071,3,2,0.717033324999647,NaN,NaN
conv1,PaperCrumpled0004_1_S,0,3,200,2,34,1,3,129,cf,6,cin,215372.071,4,3,0.929689555000095,NaN,NaN
conv5,Gravel0097_1_S,1,2,200,4,1,72,129,10,cf,6,cin,215372.071,5,2,0.772447284999998,NaN,NaN
conv4,BrickRound0043_1_S,0,1,200,9,1,21,129,83,cf,6,cin,215372.071,6,2,0.634879524999633,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,200,10,1,16,129,81,cf,6,cin,215372.071,7,3,0.821619379999902,NaN,NaN
conv4,Carpet0047_1_S,0,1,200,7,84,1,124,129,cf,6,cin,215372.071,8,3,0.8799762499998,NaN,NaN
conv5,GrassDead0131_1_S,1,3,200,10,7,1,55,129,cf,6,cin,215372.071,9,2,0.784127679999983,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,2,200,10,1,71,129,29,cf,6,cin,215372.071,10,2,0.771951174999685,NaN,NaN
conv5,Gravel0097_1_S,0,2,200,1,110,1,6,129,cf,6,cin,215372.071,11,3,0.729193484999541,NaN,NaN
PS,FoodVarious0001_1_S,0,3,200,9,1,119,129,64,cf,6,cin,215372.071,12,3,0.885990809999839,NaN,NaN
conv1,GrassDead0131_1_S,0,1,200,6,1,32,129,100,cf,6,cin,215372.071,13,1,1.02201358999946,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,2,200,2,1,29,129,44,cf,6,cin,215372.071,14,2,0.825790384999891,NaN,NaN
conv1,Gravel0097_1_S,1,1,200,6,1,61,129,35,cf,6,cin,215372.071,15,1,1.01021610999987,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,10,1,119,129,82,cf,6,cin,215372.071,16,1,0.833786029999828,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,1,200,10,90,1,93,129,cf,6,cin,215372.071,17,1,0.859558619999916,NaN,NaN
conv2,GrassDead0131_1_S,0,3,200,9,37,1,94,129,cf,6,cin,215372.071,18,3,0.877847814999768,NaN,NaN
conv3,FoodVarious0001_1_S,1,3,200,9,5,1,91,129,cf,6,cin,215372.071,19,1,0.804115059999731,NaN,NaN
conv2,Carpet0047_1_S,1,3,200,5,16,1,113,129,cf,6,cin,215372.071,20,3,0.975935760000084,NaN,NaN
conv1,PaperCrumpled0004_1_S,0,3,200,8,1,22,129,121,cf,6,cin,215372.071,21,3,0.907891504999952,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,5,10,1,44,129,cf,6,cin,215372.071,22,2,0.836898224999914,NaN,NaN
conv2,Carpet0047_1_S,1,3,200,5,109,1,110,129,cf,6,cin,215372.071,23,3,0.713086819999717,NaN,NaN
conv4,FoodVarious0001_1_S,1,3,200,4,48,1,13,129,cf,6,cin,215372.071,24,1,0.77576246999979,NaN,NaN
conv5,Scrapyard0033_1_S,0,1,200,1,1,19,129,104,cf,6,cin,215372.071,25,3,0.695900059999531,NaN,NaN
conv2,Vegetables0024_1_S,1,2,200,10,16,1,83,129,cf,6,cin,215372.071,26,2,0.821595669999624,NaN,NaN
conv1,FlowerBeds0044_1_S,0,2,200,4,1,116,129,64,cf,6,cin,215372.071,27,2,1.02092623999988,NaN,NaN
conv3,Gravel0097_1_S,1,3,200,7,1,35,129,64,cf,6,cin,215372.071,28,1,0.860822374999771,NaN,NaN
conv4,MetalFloorsBare0024_1_S,0,3,200,5,1,125,129,19,cf,6,cin,215372.071,29,2,0.830538489999981,NaN,NaN
conv1,GrassDead0131_1_S,1,1,200,6,64,1,9,129,cf,6,cin,215372.071,30,1,1.02461379999977,NaN,NaN
conv4,Crackles0004_1_S,1,2,200,8,67,1,128,129,cf,6,cin,215372.071,31,3,0.811065079999935,NaN,NaN
conv3,BrickRound0043_1_S,0,2,200,2,1,20,129,56,cf,6,cin,215372.071,32,1,0.804624249999506,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,2,200,3,85,1,57,129,cf,6,cin,215372.071,33,1,1.14107984999964,NaN,NaN
conv5,Gravel0097_1_S,0,2,200,8,86,1,44,129,cf,6,cin,215372.071,34,3,0.984308409999812,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,1,200,8,93,1,47,129,cf,6,cin,215372.071,35,2,0.850943174999884,NaN,NaN
conv2,Vegetables0024_1_S,0,2,200,2,1,76,129,124,cf,6,cin,215372.071,36,3,0.756400714999472,NaN,NaN
PS,Carpet0047_1_S,0,2,200,9,128,1,121,129,cf,6,cin,215372.071,37,3,0.775756959999853,NaN,NaN
conv4,GrassDead0131_1_S,0,1,200,5,38,1,80,129,cf,6,cin,215372.071,38,1,0.846275974999571,NaN,NaN
conv4,Vegetables0024_1_S,0,3,200,1,1,24,129,126,cf,6,cin,215372.071,39,1,1.10061954499997,NaN,NaN
conv2,Crackles0004_1_S,1,1,200,3,92,1,110,129,cf,6,cin,215372.071,40,2,1.01127116499947,NaN,NaN
conv2,Scrapyard0033_1_S,0,1,200,9,76,1,46,129,cf,6,cin,215372.071,41,3,0.858577154999693,NaN,NaN
PS,GrassDead0131_1_S,0,1,200,8,23,1,80,129,cf,6,cin,215372.071,42,2,0.724453999999696,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,200,6,53,1,14,129,cf,6,cin,215372.071,43,2,1.05599316500002,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,1,200,10,1,93,129,102,cf,6,cin,215372.071,44,2,0.999632469999597,NaN,NaN
conv1,Vegetables0024_1_S,0,1,200,6,37,1,91,129,cf,6,cin,215372.071,45,2,0.89924117999999,NaN,NaN
conv1,Gravel0097_1_S,1,2,200,7,1,69,129,60,cf,6,cin,215372.071,46,2,0.976990950000072,NaN,NaN
conv5,Crackles0004_1_S,0,1,200,2,1,24,129,44,cf,6,cin,215372.071,47,3,0.760436404999837,NaN,NaN
conv3,Scrapyard0033_1_S,1,2,200,5,23,1,11,129,cf,6,cin,215372.071,48,2,0.944041139999626,NaN,NaN
conv3,FlowerBeds0044_1_S,0,2,200,7,32,1,95,129,cf,6,cin,215372.071,49,1,0.819338734999747,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,2,200,3,1,90,129,127,cf,6,cin,215372.071,50,2,1.05120160499973,NaN,NaN
conv5,Vegetables0024_1_S,0,3,200,5,1,109,129,31,cf,6,cin,215372.071,51,3,1.01117922499952,NaN,NaN
conv4,FlowerBeds0044_1_S,0,2,200,4,54,1,36,129,cf,6,cin,215372.071,52,2,0.829008109999904,NaN,NaN
conv4,BrickRound0043_1_S,1,2,200,1,59,1,90,129,cf,6,cin,215372.071,53,1,0.924800699999651,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,1,200,6,1,11,129,86,cf,6,cin,215372.071,54,1,0.990166664999379,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,2,200,5,1,6,129,121,cf,6,cin,215372.071,55,2,0.821524214999499,NaN,NaN
conv4,FoodVarious0001_1_S,1,1,200,4,116,1,73,129,cf,6,cin,215372.071,56,2,0.921003354999812,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,3,200,3,92,1,41,129,cf,6,cin,215372.071,57,1,0.777245060000041,NaN,NaN
conv3,Crackles0004_1_S,1,2,200,7,1,10,129,77,cf,6,cin,215372.071,58,3,0.926258429999507,NaN,NaN
PS,Scrapyard0033_1_S,1,2,200,4,46,1,80,129,cf,6,cin,215372.071,59,2,0.880149684999651,NaN,NaN
PS,Carpet0047_1_S,0,3,200,3,126,1,126,129,cf,6,cin,215372.071,60,1,1.14017339999964,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,2,200,2,37,1,68,129,cf,6,cin,215372.071,61,2,0.960473904999617,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,2,125,1,54,129,cf,6,cin,215372.071,62,3,0.915660690000095,NaN,NaN
conv4,Scrapyard0033_1_S,1,1,200,6,1,105,129,89,cf,6,cin,215372.071,63,2,0.825897579999946,NaN,NaN
conv3,GrassDead0131_1_S,1,2,200,1,35,1,55,129,cf,6,cin,215372.071,64,2,0.942272804999448,NaN,NaN
conv2,Gravel0097_1_S,0,2,200,4,26,1,75,129,cf,6,cin,215372.071,65,1,0.815706424999917,NaN,NaN
conv5,Scrapyard0033_1_S,1,3,200,2,6,1,48,129,cf,6,cin,215372.071,66,3,0.779090600000018,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,200,6,28,1,23,129,cf,6,cin,215372.071,67,2,0.910031930000059,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,1,200,2,114,1,61,129,cf,6,cin,215372.071,68,1,0.842051304999586,NaN,NaN
conv1,FoodVarious0001_1_S,0,1,200,1,1,52,129,113,cf,6,cin,215372.071,69,1,0.84364551499948,NaN,NaN
conv2,Scrapyard0033_1_S,1,2,200,5,1,100,129,126,cf,6,cin,215372.071,70,2,0.940488524999637,NaN,NaN
conv2,GrassDead0131_1_S,1,1,200,8,6,1,128,129,cf,6,cin,215372.071,71,2,0.888307989999703,NaN,NaN
conv5,Crackles0004_1_S,0,1,200,3,1,67,129,15,cf,6,cin,215372.071,72,2,0.767567169999893,NaN,NaN
conv3,Vegetables0024_1_S,0,3,200,9,1,87,129,84,cf,6,cin,215372.071,73,2,0.735550459999558,NaN,NaN
conv1,Scrapyard0033_1_S,1,2,200,2,65,1,37,129,cf,6,cin,215372.071,74,2,0.84157018499991,NaN,NaN
conv3,Gravel0097_1_S,0,3,200,1,37,1,39,129,cf,6,cin,215372.071,75,3,0.744925284999681,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,1,200,9,1,53,129,26,cf,6,cin,215372.071,76,1,0.768959149999773,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,3,200,3,81,1,73,129,cf,6,cin,215372.071,77,2,1.03851545499992,NaN,NaN
conv4,Vegetables0024_1_S,1,2,200,10,28,1,2,129,cf,6,cin,215372.071,78,3,0.767554864999511,NaN,NaN
conv4,GrassDead0131_1_S,1,2,200,7,125,1,2,129,cf,6,cin,215372.071,79,2,1.18182670499982,NaN,NaN
conv2,Crackles0004_1_S,0,3,200,2,1,128,129,107,cf,6,cin,215372.071,80,3,1.08618612000009,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,200,1,1,114,129,45,cf,6,cin,215372.071,81,2,0.868322649999755,NaN,NaN
conv5,Carpet0047_1_S,0,2,200,6,1,22,129,112,cf,6,cin,215372.071,82,1,0.917585819999658,NaN,NaN
conv1,FoodVarious0001_1_S,0,2,200,10,1,18,129,111,cf,6,cin,215372.071,83,2,0.768963165000059,NaN,NaN
conv4,RooftilesCeramic0037_1_S,0,1,200,8,1,92,129,25,cf,6,cin,215372.071,84,1,0.775987774999976,NaN,NaN
