image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv5,Carpet0047_1_S,1,2,200,6,1,74,129,49,cf,10,cin,211218.2601,1,2,0.906843674998527,NaN,NaN
conv1,BrickRound0043_1_S,1,3,200,6,1,77,129,87,cf,10,cin,211218.2601,2,3,0.742213829998946,NaN,NaN
PS,GrassDead0131_1_S,1,3,200,8,58,1,8,129,cf,10,cin,211218.2601,3,3,0.688187474999722,NaN,NaN
conv2,Vegetables0024_1_S,0,3,200,9,1,68,129,59,cf,10,cin,211218.2601,4,3,1.02458922999904,NaN,NaN
PS,FlowerBeds0044_1_S,1,3,200,6,1,56,129,63,cf,10,cin,211218.2601,5,3,0.858286680000674,NaN,NaN
conv5,GrassDead0131_1_S,1,1,200,9,1,71,129,98,cf,10,cin,211218.2601,6,1,0.727106500000446,NaN,NaN
PS,FoodVarious0001_1_S,1,3,200,10,25,1,59,129,cf,10,cin,211218.2601,7,1,0.803472039999178,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,200,6,46,1,52,129,cf,10,cin,211218.2601,8,1,0.889764894998734,NaN,NaN
conv3,Scrapyard0033_1_S,1,1,200,3,1,36,129,50,cf,10,cin,211218.2601,9,3,0.83554196499972,NaN,NaN
conv2,RooftilesCeramic0037_1_S,0,3,200,3,34,1,6,129,cf,10,cin,211218.2601,10,3,0.845036624998102,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,2,200,10,1,64,129,96,cf,10,cin,211218.2601,11,1,0.947362814998996,NaN,NaN
conv5,FlowerBeds0044_1_S,0,2,200,5,1,76,129,86,cf,10,cin,211218.2601,12,3,0.679538270000194,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,2,200,8,62,1,44,129,cf,10,cin,211218.2601,13,2,0.908035619999282,NaN,NaN
PS,FoodVarious0001_1_S,1,1,200,3,1,39,129,6,cf,10,cin,211218.2601,14,2,0.868593904999216,NaN,NaN
PS,BrickRound0043_1_S,0,1,200,1,1,78,129,45,cf,10,cin,211218.2601,15,3,0.8927549,NaN,NaN
conv2,Crackles0004_1_S,1,1,200,5,35,1,3,129,cf,10,cin,211218.2601,16,1,1.04268641499766,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,200,5,1,40,129,104,cf,10,cin,211218.2601,17,3,0.97216690499954,NaN,NaN
conv3,Scrapyard0033_1_S,0,1,200,9,75,1,67,129,cf,10,cin,211218.2601,18,3,0.873699599998872,NaN,NaN
conv3,BrickRound0043_1_S,0,3,200,6,7,1,104,129,cf,10,cin,211218.2601,19,3,0.840575069998522,NaN,NaN
conv1,Carpet0047_1_S,1,1,200,5,71,1,41,129,cf,10,cin,211218.2601,20,1,0.755150510000021,NaN,NaN
conv1,RooftilesCeramic0037_1_S,1,2,200,4,81,1,127,129,cf,10,cin,211218.2601,21,2,0.645700379998743,NaN,NaN
PS,Gravel0097_1_S,1,3,200,6,80,1,61,129,cf,10,cin,211218.2601,22,1,0.761601004998738,NaN,NaN
conv2,Vegetables0024_1_S,0,1,200,9,1,64,129,127,cf,10,cin,211218.2601,23,2,0.954855170000883,NaN,NaN
PS,Scrapyard0033_1_S,0,3,200,6,15,1,123,129,cf,10,cin,211218.2601,24,1,0.918831734998093,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,2,200,8,21,1,110,129,cf,10,cin,211218.2601,25,3,0.770761059999131,NaN,NaN
conv2,Crackles0004_1_S,0,1,200,1,1,128,129,20,cf,10,cin,211218.2601,26,3,0.763858604997949,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,3,200,5,62,1,103,129,cf,10,cin,211218.2601,27,3,0.913046059999033,NaN,NaN
conv1,Gravel0097_1_S,0,3,200,8,1,1,129,2,cf,10,cin,211218.2601,28,1,0.801899975000197,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,3,200,3,73,1,65,129,cf,10,cin,211218.2601,29,3,0.84442342499824,NaN,NaN
conv2,Vegetables0024_1_S,1,2,200,8,43,1,19,129,cf,10,cin,211218.2601,30,3,0.861977754999316,NaN,NaN
conv2,FoodVarious0001_1_S,1,1,200,1,82,1,18,129,cf,10,cin,211218.2601,31,2,0.80322698999953,NaN,NaN
conv3,Gravel0097_1_S,0,2,200,10,85,1,17,129,cf,10,cin,211218.2601,32,3,0.752823439997883,NaN,NaN
conv5,GrassDead0131_1_S,0,3,200,1,1,81,129,35,cf,10,cin,211218.2601,33,3,0.742125494998618,NaN,NaN
conv5,Crackles0004_1_S,0,2,200,4,1,34,129,58,cf,10,cin,211218.2601,34,3,0.874348375000409,NaN,NaN
conv5,BrickRound0043_1_S,1,1,200,2,81,1,70,129,cf,10,cin,211218.2601,35,1,0.867431584998485,NaN,NaN
conv5,Carpet0047_1_S,1,3,200,4,71,1,43,129,cf,10,cin,211218.2601,36,2,1.04443149999861,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,200,7,1,39,129,29,cf,10,cin,211218.2601,37,1,0.835026959999595,NaN,NaN
conv1,BrickRound0043_1_S,1,3,200,1,24,1,107,129,cf,10,cin,211218.2601,38,3,0.78150379500039,NaN,NaN
conv4,Vegetables0024_1_S,0,3,200,6,1,5,129,82,cf,10,cin,211218.2601,39,3,0.800811134999094,NaN,NaN
conv3,FlowerBeds0044_1_S,0,2,200,2,1,63,129,46,cf,10,cin,211218.2601,40,1,0.734764060000089,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,1,200,4,100,1,71,129,cf,10,cin,211218.2601,41,1,0.753389604999029,NaN,NaN
conv1,PaperCrumpled0004_1_S,0,1,200,5,72,1,58,129,cf,10,cin,211218.2601,42,3,0.733580279998932,NaN,NaN
PS,Vegetables0024_1_S,0,1,200,4,128,1,63,129,cf,10,cin,211218.2601,43,2,0.785707844999706,NaN,NaN
conv3,BrickRound0043_1_S,0,2,200,9,1,107,129,49,cf,10,cin,211218.2601,44,1,0.712150859999383,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,2,200,10,1,56,129,30,cf,10,cin,211218.2601,45,2,0.81400977499834,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,1,200,1,53,1,45,129,cf,10,cin,211218.2601,46,1,0.833012729999609,NaN,NaN
PS,Carpet0047_1_S,1,3,200,2,1,22,129,118,cf,10,cin,211218.2601,47,2,1.07457505499951,NaN,NaN
conv1,Scrapyard0033_1_S,0,2,200,5,1,43,129,53,cf,10,cin,211218.2601,48,1,0.871822644998247,NaN,NaN
PS,FoodVarious0001_1_S,1,3,200,8,1,70,129,85,cf,10,cin,211218.2601,49,1,0.854215109999132,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,1,1,42,129,90,cf,10,cin,211218.2601,50,1,0.844638469998245,NaN,NaN
PS,Gravel0097_1_S,0,2,200,5,86,1,59,129,cf,10,cin,211218.2601,51,2,0.813315644998511,NaN,NaN
conv1,BrickRound0043_1_S,1,1,200,6,1,127,129,114,cf,10,cin,211218.2601,52,1,0.789003014999253,NaN,NaN
conv4,Scrapyard0033_1_S,1,1,200,9,1,108,129,17,cf,10,cin,211218.2601,53,1,0.830222244998367,NaN,NaN
conv3,GrassDead0131_1_S,1,3,200,6,1,51,129,76,cf,10,cin,211218.2601,54,3,0.790537639999457,NaN,NaN
