image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv2,Vegetables0024_1_S,0,2,200,10,103,1,67,129,S2,2,cin,206863.2736,1,2,0.740605974999653,NaN,NaN
conv1,Carpet0047_1_S,1,2,200,4,99,1,112,129,S2,2,cin,206863.2736,2,2,0.557536959999652,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,3,200,7,101,1,117,129,S2,2,cin,206863.2736,3,3,0.787545619999946,NaN,NaN
conv2,GrassDead0131_1_S,0,2,200,4,1,12,129,71,S2,2,cin,206863.2736,4,2,0.587717939999493,NaN,NaN
conv5,Crackles0004_1_S,0,1,200,3,1,1,25,129,S2,2,cin,206863.2736,5,2,0.618274684999506,NaN,NaN
conv2,Carpet0047_1_S,0,2,200,6,1,26,129,86,S2,2,cin,206863.2736,6,2,0.593827099999999,NaN,NaN
PS,Vegetables0024_1_S,0,3,200,10,1,14,129,18,S2,2,cin,206863.2736,7,3,0.643471365000096,NaN,NaN
PS,Scrapyard0033_1_S,0,3,200,7,1,87,129,54,S2,2,cin,206863.2736,8,2,0.509544689999984,NaN,NaN
PS,Crackles0004_1_S,0,1,200,1,104,1,113,129,S2,2,cin,206863.2736,9,3,0.778652579999743,NaN,NaN
conv2,BrickRound0043_1_S,0,2,200,3,59,1,33,129,S2,2,cin,206863.2736,10,2,0.704892870000094,NaN,NaN
conv2,Scrapyard0033_1_S,0,1,200,3,98,1,6,129,S2,2,cin,206863.2736,11,1,0.510413434999464,NaN,NaN
conv2,GrassDead0131_1_S,0,3,200,9,1,92,129,70,S2,2,cin,206863.2736,12,1,0.812490689999777,NaN,NaN
conv4,FoodVarious0001_1_S,1,1,200,5,1,97,129,41,S2,2,cin,206863.2736,13,1,0.875279444999705,NaN,NaN
conv3,Gravel0097_1_S,1,3,200,9,1,38,129,96,S2,2,cin,206863.2736,14,2,0.848724704999768,NaN,NaN
conv5,Crackles0004_1_S,0,1,200,10,1,19,129,9,S2,2,cin,206863.2736,15,2,0.684724804999405,NaN,NaN
PS,GrassDead0131_1_S,1,2,200,7,1,70,129,31,S2,2,cin,206863.2736,16,3,0.983244129999548,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,200,6,119,1,46,129,S2,2,cin,206863.2736,17,3,0.759023244999753,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,1,200,8,1,16,129,102,S2,2,cin,206863.2736,18,1,0.584613049999916,NaN,NaN
conv5,Crackles0004_1_S,1,3,200,7,1,114,129,60,S2,2,cin,206863.2736,19,2,0.707950989999972,NaN,NaN
conv2,Scrapyard0033_1_S,0,2,200,2,1,105,129,1,S2,2,cin,206863.2736,20,1,0.75889227000016,NaN,NaN
conv3,GrassDead0131_1_S,1,1,200,10,46,1,123,129,S2,2,cin,206863.2736,21,3,0.704307799999697,NaN,NaN
conv4,FlowerBeds0044_1_S,0,1,200,8,1,105,129,113,S2,2,cin,206863.2736,22,1,0.701058309999553,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,1,200,5,36,1,84,129,S2,2,cin,206863.2736,23,2,0.785648929999297,NaN,NaN
conv3,BrickRound0043_1_S,1,2,200,6,35,1,109,129,S2,2,cin,206863.2736,24,3,0.7648333799998,NaN,NaN
conv5,FlowerBeds0044_1_S,0,2,200,2,1,99,129,103,S2,2,cin,206863.2736,25,1,0.807468384999083,NaN,NaN
PS,Crackles0004_1_S,1,3,200,2,8,1,26,129,S2,2,cin,206863.2736,26,3,0.826632260000224,NaN,NaN
conv4,Carpet0047_1_S,0,3,200,7,1,112,129,49,S2,2,cin,206863.2736,27,2,0.7058357599999,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,3,200,7,1,13,129,55,S2,2,cin,206863.2736,28,2,0.944709704999696,NaN,NaN
conv4,Gravel0097_1_S,1,2,200,9,1,108,129,19,S2,2,cin,206863.2736,29,3,0.99328717499975,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,200,1,111,1,6,129,S2,2,cin,206863.2736,30,3,0.892024845000378,NaN,NaN
conv5,FlowerBeds0044_1_S,0,3,200,8,1,57,129,34,S2,2,cin,206863.2736,31,2,0.860574944999826,NaN,NaN
conv4,GrassDead0131_1_S,1,1,200,9,1,16,129,118,S2,2,cin,206863.2736,32,1,0.789716344999761,NaN,NaN
conv2,Crackles0004_1_S,0,2,200,10,98,1,43,129,S2,2,cin,206863.2736,33,2,0.836663889999727,NaN,NaN
conv5,FoodVarious0001_1_S,1,3,200,3,1,122,129,127,S2,2,cin,206863.2736,34,2,0.7525193449992,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,4,1,63,129,88,S2,2,cin,206863.2736,35,3,0.697970889999851,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,3,200,3,116,1,28,129,S2,2,cin,206863.2736,36,3,0.79813059999924,NaN,NaN
conv4,Crackles0004_1_S,1,2,200,4,1,76,129,39,S2,2,cin,206863.2736,37,2,0.938051000000087,NaN,NaN
