image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv3,RooftilesCeramic0037_1_S,1,2,2000,2,1,47,129,32,S8,2,cin,211833.6367,1,2,2.28413744499994,NaN,NaN
conv2,GrassDead0131_1_S,1,3,2000,5,32,1,62,129,S8,2,cin,211833.6367,2,3,2.61424607499976,NaN,NaN
conv1,Vegetables0024_1_S,1,3,2000,7,1,32,129,86,S8,2,cin,211833.6367,3,3,1.99143109499983,NaN,NaN
conv4,BrickRound0043_1_S,1,3,2000,5,97,1,79,129,S8,2,cin,211833.6367,4,2,2.71126495999943,NaN,NaN
conv4,GrassDead0131_1_S,0,1,2000,8,1,73,129,109,S8,2,cin,211833.6367,5,2,2.39947328000017,NaN,NaN
conv5,Scrapyard0033_1_S,1,3,2000,7,1,100,129,113,S8,2,cin,211833.6367,6,2,2.60175411,NaN,NaN
conv5,BrickRound0043_1_S,1,3,2000,1,1,78,129,89,S8,2,cin,211833.6367,7,2,2.54095688999996,NaN,NaN
conv5,FoodVarious0001_1_S,1,3,2000,8,1,57,129,116,S8,2,cin,211833.6367,8,3,2.43057136499965,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,2,2000,4,1,99,129,98,S8,2,cin,211833.6367,9,2,2.71397827999999,NaN,NaN
PS,Carpet0047_1_S,1,3,2000,2,30,1,1,129,S8,2,cin,211833.6367,10,2,2.59247315999983,NaN,NaN
conv2,Scrapyard0033_1_S,0,2,2000,3,1,41,129,22,S8,2,cin,211833.6367,11,3,2.71975744499969,NaN,NaN
conv4,RooftilesCeramic0037_1_S,0,1,2000,4,79,1,27,129,S8,2,cin,211833.6367,12,3,2.56313847000001,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,2,2000,3,1,21,129,63,S8,2,cin,211833.6367,13,2,2.62232627999947,NaN,NaN
conv1,GrassDead0131_1_S,1,1,2000,9,1,89,129,73,S8,2,cin,211833.6367,14,1,2.39593042999968,NaN,NaN
conv3,Carpet0047_1_S,0,3,2000,1,1,63,129,99,S8,2,cin,211833.6367,15,3,2.47352062999971,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,1,2000,7,1,32,129,12,S8,2,cin,211833.6367,16,2,2.68411594000008,NaN,NaN
conv5,FlowerBeds0044_1_S,1,1,2000,5,75,1,36,129,S8,2,cin,211833.6367,17,1,2.48259645000007,NaN,NaN
PS,Gravel0097_1_S,0,2,2000,2,20,1,97,129,S8,2,cin,211833.6367,18,2,2.52799747499967,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,2,2000,3,91,1,118,129,S8,2,cin,211833.6367,19,2,2.26110241499964,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,2000,7,1,72,129,73,S8,2,cin,211833.6367,20,2,2.44580661500004,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,3,2000,6,2,1,69,129,S8,2,cin,211833.6367,21,1,2.52942820999942,NaN,NaN
conv4,Gravel0097_1_S,0,1,2000,5,114,1,15,129,S8,2,cin,211833.6367,22,2,2.70503440999983,NaN,NaN
conv5,Carpet0047_1_S,1,1,2000,2,1,63,129,119,S8,2,cin,211833.6367,23,1,2.69494064499986,NaN,NaN
PS,FoodVarious0001_1_S,0,3,2000,5,1,97,129,80,S8,2,cin,211833.6367,24,3,2.36043553499985,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,1,2000,10,1,105,129,4,S8,2,cin,211833.6367,25,1,2.55178527499993,NaN,NaN
conv4,Crackles0004_1_S,0,1,2000,9,45,1,95,129,S8,2,cin,211833.6367,26,2,2.48935375000019,NaN,NaN
PS,Carpet0047_1_S,0,3,2000,7,74,1,84,129,S8,2,cin,211833.6367,27,1,2.30526066499988,NaN,NaN
conv5,Vegetables0024_1_S,0,3,2000,3,1,113,129,87,S8,2,cin,211833.6367,28,3,2.34470211999997,NaN,NaN
PS,Scrapyard0033_1_S,0,3,2000,1,1,93,129,80,S8,2,cin,211833.6367,29,3,2.3880104599998,NaN,NaN
conv5,Crackles0004_1_S,1,1,2000,9,1,93,129,66,S8,2,cin,211833.6367,30,3,2.35254683499988,NaN,NaN
conv3,GrassDead0131_1_S,0,3,2000,6,1,1,30,129,S8,2,cin,211833.6367,31,3,2.54145080999979,NaN,NaN
conv4,RooftilesCeramic0037_1_S,0,1,2000,10,1,27,129,32,S8,2,cin,211833.6367,32,2,2.74775952999971,NaN,NaN
PS,Vegetables0024_1_S,1,2,2000,6,1,47,129,95,S8,2,cin,211833.6367,33,2,2.60355607499969,NaN,NaN
