image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,MetalFloorsBare0024_1_S,1,2,2000,7,1,94,129,52,S7,1,cin,210764.7539,1,2,2.38311947499983,NaN,NaN
PS,Gravel0097_1_S,0,3,2000,8,1,9,129,93,S7,1,cin,210764.7539,2,2,2.75105045999999,NaN,NaN
PS,FoodVarious0001_1_S,1,2,2000,7,1,122,129,18,S7,1,cin,210764.7539,3,2,2.55487853499994,NaN,NaN
conv3,BrickRound0043_1_S,1,2,2000,10,24,1,38,129,S7,1,cin,210764.7539,4,1,2.51426143999993,NaN,NaN
conv2,Gravel0097_1_S,1,3,2000,3,1,77,129,119,S7,1,cin,210764.7539,5,3,2.58968686499998,NaN,NaN
conv5,Crackles0004_1_S,0,2,2000,3,61,1,53,129,S7,1,cin,210764.7539,6,2,2.85139453999977,NaN,NaN
conv5,BrickRound0043_1_S,1,3,2000,2,32,1,57,129,S7,1,cin,210764.7539,7,3,2.53361448500004,NaN,NaN
conv4,FoodVarious0001_1_S,1,2,2000,4,1,42,129,101,S7,1,cin,210764.7539,8,2,2.62968185,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,3,2000,3,122,1,35,129,S7,1,cin,210764.7539,9,3,2.87917339499995,NaN,NaN
conv1,Scrapyard0033_1_S,0,3,2000,8,54,1,80,129,S7,1,cin,210764.7539,10,3,2.64495897000006,NaN,NaN
conv5,FoodVarious0001_1_S,0,2,2000,9,1,45,129,19,S7,1,cin,210764.7539,11,2,2.37319536999985,NaN,NaN
conv4,BrickRound0043_1_S,1,2,2000,9,36,1,111,129,S7,1,cin,210764.7539,12,1,2.44873696499985,NaN,NaN
PS,Crackles0004_1_S,1,2,2000,6,1,54,129,31,S7,1,cin,210764.7539,13,na,NaN,NaN,NaN
conv2,Carpet0047_1_S,0,2,2000,1,14,1,70,129,S7,1,cin,210764.7539,14,2,2.37988547499981,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,2000,5,126,1,13,129,S7,1,cin,210764.7539,15,2,2.53763454999989,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,1,2000,6,1,37,129,121,S7,1,cin,210764.7539,16,1,2.66169216999992,NaN,NaN
conv1,BrickRound0043_1_S,1,3,2000,7,127,1,67,129,S7,1,cin,210764.7539,17,3,2.39855181999974,NaN,NaN
conv5,Gravel0097_1_S,1,3,2000,2,1,79,129,103,S7,1,cin,210764.7539,18,2,2.46402326999987,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,2000,3,1,110,129,83,S7,1,cin,210764.7539,19,3,2.39854629499973,NaN,NaN
conv4,Vegetables0024_1_S,1,3,2000,2,49,1,25,129,S7,1,cin,210764.7539,20,2,2.52793273499992,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,2,2000,9,59,1,35,129,S7,1,cin,210764.7539,21,2,2.4682458499999,NaN,NaN
conv5,Crackles0004_1_S,0,3,2000,7,1,105,129,73,S7,1,cin,210764.7539,22,2,2.49865236499977,NaN,NaN
conv1,RooftilesCeramic0037_1_S,1,1,2000,5,1,106,129,102,S7,1,cin,210764.7539,23,1,2.35299918999976,NaN,NaN
conv2,FlowerBeds0044_1_S,1,3,2000,7,1,86,129,81,S7,1,cin,210764.7539,24,3,2.3864535849998,NaN,NaN
conv1,BrickRound0043_1_S,0,3,2000,3,1,8,129,83,S7,1,cin,210764.7539,25,3,2.36089201999994,NaN,NaN
conv1,Carpet0047_1_S,0,3,2000,2,83,1,92,129,S7,1,cin,210764.7539,26,3,2.33573651999995,NaN,NaN
conv4,FlowerBeds0044_1_S,0,2,2000,4,113,1,77,129,S7,1,cin,210764.7539,27,2,2.32153033499981,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,1,2000,1,47,1,16,129,S7,1,cin,210764.7539,28,1,2.3956266849998,NaN,NaN
conv1,Crackles0004_1_S,1,2,2000,10,34,1,57,129,S7,1,cin,210764.7539,29,2,2.40465971499998,NaN,NaN
conv5,Vegetables0024_1_S,0,1,2000,7,1,81,129,30,S7,1,cin,210764.7539,30,2,2.32835232000002,NaN,NaN
PS,BrickRound0043_1_S,0,3,2000,2,1,69,129,63,S7,1,cin,210764.7539,31,2,2.51273370499985,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,2000,6,1,20,129,79,S7,1,cin,210764.7539,32,3,2.35235267999974,NaN,NaN
conv3,Carpet0047_1_S,1,3,2000,1,1,57,129,16,S7,1,cin,210764.7539,33,2,2.33668644499994,NaN,NaN
conv3,GrassDead0131_1_S,0,1,2000,6,31,1,117,129,S7,1,cin,210764.7539,34,1,2.5248522899999,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,2,2000,8,21,1,65,129,S7,1,cin,210764.7539,35,2,2.31853829499983,NaN,NaN
conv3,Gravel0097_1_S,1,1,2000,4,30,1,108,129,S7,1,cin,210764.7539,36,2,2.43201355499968,NaN,NaN
conv1,FlowerBeds0044_1_S,0,2,2000,4,1,103,129,113,S7,1,cin,210764.7539,37,2,2.30427085999986,NaN,NaN
conv2,RooftilesCeramic0037_1_S,0,1,2000,1,116,1,121,129,S7,1,cin,210764.7539,38,1,2.28208384999971,NaN,NaN
PS,Carpet0047_1_S,0,3,2000,2,1,20,129,38,S7,1,cin,210764.7539,39,2,2.26371997999991,NaN,NaN
PS,FoodVarious0001_1_S,0,2,2000,8,93,1,27,129,S7,1,cin,210764.7539,40,2,2.44796000999986,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,1,2000,3,1,40,129,127,S7,1,cin,210764.7539,41,3,2.37225150499989,NaN,NaN
conv2,MetalFloorsBare0024_1_S,0,1,2000,6,1,110,129,50,S7,1,cin,210764.7539,42,1,2.34250922000001,NaN,NaN
conv4,GrassDead0131_1_S,0,1,2000,1,2,1,76,129,S7,1,cin,210764.7539,43,2,2.26856634499995,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,1,2000,6,79,1,14,129,S7,1,cin,210764.7539,44,1,2.35660518999975,NaN,NaN
conv4,Gravel0097_1_S,1,2,2000,6,122,1,120,129,S7,1,cin,210764.7539,45,1,2.33569055999988,NaN,NaN
conv1,FlowerBeds0044_1_S,0,1,2000,6,1,13,129,19,S7,1,cin,210764.7539,46,1,2.2940010049997,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,3,2000,8,1,41,129,87,S7,1,cin,210764.7539,47,2,2.35810780499992,NaN,NaN
conv1,Gravel0097_1_S,1,1,2000,1,17,1,102,129,S7,1,cin,210764.7539,48,1,2.38191868500007,NaN,NaN
conv2,RooftilesCeramic0037_1_S,0,2,2000,10,1,30,129,123,S7,1,cin,210764.7539,49,2,2.57148850999988,NaN,NaN
conv2,BrickRound0043_1_S,0,1,2000,8,45,1,2,129,S7,1,cin,210764.7539,50,1,2.42542763499978,NaN,NaN
PS,GrassDead0131_1_S,0,3,2000,3,1,39,129,31,S7,1,cin,210764.7539,51,3,2.65182131999995,NaN,NaN
conv4,Vegetables0024_1_S,1,2,2000,6,1,97,129,71,S7,1,cin,210764.7539,52,2,2.45901694500003,NaN,NaN
conv3,Carpet0047_1_S,0,1,2000,2,1,112,129,127,S7,1,cin,210764.7539,53,2,2.39185675999988,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,2000,1,95,1,92,129,S7,1,cin,210764.7539,54,2,2.57377045999988,NaN,NaN
conv5,Crackles0004_1_S,0,3,2000,2,51,1,28,129,S7,1,cin,210764.7539,55,2,2.43288353499997,NaN,NaN
conv5,Scrapyard0033_1_S,0,1,2000,2,1,51,129,76,S7,1,cin,210764.7539,56,2,2.58921730499992,NaN,NaN
PS,PaperCrumpled0004_1_S,0,1,2000,9,1,23,129,62,S7,1,cin,210764.7539,57,3,2.35818674999996,NaN,NaN
conv3,FoodVarious0001_1_S,0,1,2000,1,38,1,37,129,S7,1,cin,210764.7539,58,1,2.3841322799999,NaN,NaN
conv2,BrickRound0043_1_S,1,2,2000,8,1,24,129,30,S7,1,cin,210764.7539,59,2,2.57962427499979,NaN,NaN
conv3,Crackles0004_1_S,0,2,2000,5,1,5,129,66,S7,1,cin,210764.7539,60,na,NaN,NaN,NaN
PS,GrassDead0131_1_S,0,1,2000,7,114,1,102,129,S7,1,cin,210764.7539,61,1,2.43004403499981,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,3,2000,4,1,84,129,102,S7,1,cin,210764.7539,62,3,2.3627385499999,NaN,NaN
