image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv2,Crackles0004_1_S,1,1,200,3,1,116,129,55,S3,1,cin,212563.9493,1,3,0.85670137499983,NaN,NaN
PS,GrassDead0131_1_S,1,1,200,4,85,1,8,129,S3,1,cin,212563.9493,2,1,1.0452170249996,NaN,NaN
PS,Gravel0097_1_S,1,1,200,4,1,14,129,19,S3,1,cin,212563.9493,3,3,0.921474119999857,NaN,NaN
conv5,Scrapyard0033_1_S,1,2,200,5,1,42,129,123,S3,1,cin,212563.9493,4,3,1.09817971999973,NaN,NaN
conv2,BrickRound0043_1_S,1,3,200,4,119,1,105,129,S3,1,cin,212563.9493,5,2,1.01463001999991,NaN,NaN
PS,Crackles0004_1_S,1,3,200,1,50,1,66,129,S3,1,cin,212563.9493,6,3,0.903743364999627,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,1,200,7,18,1,112,129,S3,1,cin,212563.9493,7,2,1.0166222099997,NaN,NaN
conv2,Gravel0097_1_S,1,2,200,2,1,4,129,5,S3,1,cin,212563.9493,8,1,1.02666442499958,NaN,NaN
PS,Scrapyard0033_1_S,1,3,200,4,1,3,129,13,S3,1,cin,212563.9493,9,3,1.09939891999966,NaN,NaN
conv3,Carpet0047_1_S,0,2,200,2,119,1,21,129,S3,1,cin,212563.9493,10,2,0.94234047000009,NaN,NaN
conv1,FoodVarious0001_1_S,0,3,200,4,111,1,31,129,S3,1,cin,212563.9493,11,1,0.776175160000093,NaN,NaN
conv5,Vegetables0024_1_S,0,2,200,10,31,1,10,129,S3,1,cin,212563.9493,12,3,0.879739679999602,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,3,200,3,1,80,129,119,S3,1,cin,212563.9493,13,1,0.882291044999874,NaN,NaN
conv2,Crackles0004_1_S,0,3,200,8,14,1,14,129,S3,1,cin,212563.9493,14,1,0.880903144999593,NaN,NaN
conv2,Gravel0097_1_S,0,3,200,6,109,1,16,129,S3,1,cin,212563.9493,15,2,0.789202899999964,NaN,NaN
conv1,Vegetables0024_1_S,0,3,200,5,1,67,129,118,S3,1,cin,212563.9493,16,1,0.77282452999998,NaN,NaN
conv3,Crackles0004_1_S,1,1,200,5,87,1,115,129,S3,1,cin,212563.9493,17,2,0.7310286299994,NaN,NaN
