image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv3,BrickRound0043_1_S,1,2,200,3,1,16,129,9,tw,3,cin,211396.8864,1,1,0.787605189999795,NaN,NaN
conv4,MetalFloorsBare0024_1_S,0,2,200,5,40,1,104,129,tw,3,cin,211396.8864,2,1,0.769037149999804,NaN,NaN
conv2,FlowerBeds0044_1_S,1,1,200,7,1,1,129,37,tw,3,cin,211396.8864,3,1,0.868760524999743,NaN,NaN
conv2,BrickRound0043_1_S,0,1,200,8,1,12,129,29,tw,3,cin,211396.8864,4,2,0.705965764999746,NaN,NaN
conv4,RooftilesCeramic0037_1_S,0,3,200,1,1,99,129,67,tw,3,cin,211396.8864,5,3,0.801432225000099,NaN,NaN
conv4,Gravel0097_1_S,0,3,200,3,120,1,18,129,tw,3,cin,211396.8864,6,3,0.760068714999761,NaN,NaN
conv5,Crackles0004_1_S,0,1,200,3,1,80,129,96,tw,3,cin,211396.8864,7,3,0.798062824999761,NaN,NaN
conv2,GrassDead0131_1_S,1,3,200,9,1,105,129,75,tw,3,cin,211396.8864,8,2,0.887053989999913,NaN,NaN
conv4,FoodVarious0001_1_S,1,3,200,4,13,1,98,129,tw,3,cin,211396.8864,9,3,0.895772239999587,NaN,NaN
conv5,Crackles0004_1_S,1,1,200,1,81,1,60,129,tw,3,cin,211396.8864,10,3,0.734177414999522,NaN,NaN
conv5,Vegetables0024_1_S,0,3,200,8,1,122,129,80,tw,3,cin,211396.8864,11,3,0.879833819999931,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,3,200,1,11,1,8,129,tw,3,cin,211396.8864,12,2,0.896598269999686,NaN,NaN
conv1,FoodVarious0001_1_S,1,1,200,1,1,24,129,111,tw,3,cin,211396.8864,13,2,0.8802893699999,NaN,NaN
conv4,Carpet0047_1_S,1,3,200,7,63,1,69,129,tw,3,cin,211396.8864,14,2,0.778695579999749,NaN,NaN
conv3,Vegetables0024_1_S,1,3,200,7,1,27,129,7,tw,3,cin,211396.8864,15,3,0.827959649999684,NaN,NaN
PS,PaperCrumpled0004_1_S,1,2,200,10,1,55,129,64,tw,3,cin,211396.8864,16,2,0.94113123499983,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,2,200,3,75,1,46,129,tw,3,cin,211396.8864,17,3,0.781597744999999,NaN,NaN
conv1,Carpet0047_1_S,1,2,200,8,1,106,129,59,tw,3,cin,211396.8864,18,3,1.00115353999945,NaN,NaN
conv4,Vegetables0024_1_S,0,1,200,2,1,20,129,112,tw,3,cin,211396.8864,19,2,0.9566394149997,NaN,NaN
conv1,Scrapyard0033_1_S,0,1,200,5,1,6,129,66,tw,3,cin,211396.8864,20,1,0.827528369999527,NaN,NaN
conv3,BrickRound0043_1_S,1,1,200,5,1,8,129,88,tw,3,cin,211396.8864,21,2,0.844013844999608,NaN,NaN
conv4,Crackles0004_1_S,1,1,200,1,67,1,50,129,tw,3,cin,211396.8864,22,3,0.983128284999566,NaN,NaN
conv4,Carpet0047_1_S,1,3,200,3,9,1,25,129,tw,3,cin,211396.8864,23,2,0.912835069999801,NaN,NaN
conv3,RooftilesCeramic0037_1_S,0,3,200,1,4,1,38,129,tw,3,cin,211396.8864,24,3,0.803636624999854,NaN,NaN
PS,GrassDead0131_1_S,0,1,200,5,1,123,129,125,tw,3,cin,211396.8864,25,3,0.822291104999749,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,3,200,3,1,72,129,45,tw,3,cin,211396.8864,26,2,0.726067209999655,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,2,200,8,128,1,4,129,tw,3,cin,211396.8864,27,2,0.751989070000036,NaN,NaN
PS,Vegetables0024_1_S,1,2,200,10,1,28,129,9,tw,3,cin,211396.8864,28,2,0.785782609999842,NaN,NaN
conv2,Scrapyard0033_1_S,0,1,200,7,1,25,129,40,tw,3,cin,211396.8864,29,3,0.912415714999952,NaN,NaN
PS,FlowerBeds0044_1_S,1,1,200,5,1,122,129,121,tw,3,cin,211396.8864,30,1,0.830457364999802,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,1,200,3,63,1,74,129,tw,3,cin,211396.8864,31,1,0.79068908499994,NaN,NaN
conv3,FoodVarious0001_1_S,1,1,200,2,1,121,129,110,tw,3,cin,211396.8864,32,1,0.897572019999643,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,2,200,3,35,1,111,129,tw,3,cin,211396.8864,33,2,0.861624749999919,NaN,NaN
conv5,Scrapyard0033_1_S,1,1,200,3,1,25,129,25,tw,3,cin,211396.8864,34,3,0.930696044999877,NaN,NaN
PS,Vegetables0024_1_S,1,2,200,7,11,1,32,129,tw,3,cin,211396.8864,35,2,0.757519189999584,NaN,NaN
conv1,PaperCrumpled0004_1_S,1,1,200,8,121,1,58,129,tw,3,cin,211396.8864,36,2,0.712614909999957,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,4,1,96,129,32,tw,3,cin,211396.8864,37,1,0.813044349999927,NaN,NaN
conv5,Vegetables0024_1_S,1,2,200,3,123,1,33,129,tw,3,cin,211396.8864,38,2,0.806781549999869,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,200,2,21,1,96,129,tw,3,cin,211396.8864,39,2,0.878812379999999,NaN,NaN
conv1,GrassDead0131_1_S,0,2,200,4,1,10,129,9,tw,3,cin,211396.8864,40,2,0.947853854999721,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,8,99,1,42,129,tw,3,cin,211396.8864,41,1,1.09857492499941,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,1,200,2,123,1,49,129,tw,3,cin,211396.8864,42,2,1.10862615999986,NaN,NaN
conv3,Crackles0004_1_S,0,3,200,6,24,1,119,129,tw,3,cin,211396.8864,43,3,0.957786150000175,NaN,NaN
conv4,BrickRound0043_1_S,1,1,200,3,4,1,33,129,tw,3,cin,211396.8864,44,1,0.951412304999849,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,1,200,6,1,72,129,113,tw,3,cin,211396.8864,45,1,1.04786848499953,NaN,NaN
conv4,Gravel0097_1_S,1,2,200,4,1,31,129,106,tw,3,cin,211396.8864,46,2,0.810582619999423,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,3,200,10,15,1,110,129,tw,3,cin,211396.8864,47,2,0.762473894999857,NaN,NaN
conv4,Scrapyard0033_1_S,1,3,200,9,1,118,129,25,tw,3,cin,211396.8864,48,2,0.801288824999574,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,6,1,40,129,35,tw,3,cin,211396.8864,49,2,0.743536214999949,NaN,NaN
conv2,Gravel0097_1_S,0,2,200,3,1,46,129,10,tw,3,cin,211396.8864,50,2,0.94974716500019,NaN,NaN
conv2,Scrapyard0033_1_S,1,2,200,8,1,55,129,36,tw,3,cin,211396.8864,51,2,0.821422834999794,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,3,200,4,1,122,129,105,tw,3,cin,211396.8864,52,2,0.679245384999831,NaN,NaN
conv3,FoodVarious0001_1_S,0,1,200,10,6,1,125,129,tw,3,cin,211396.8864,53,2,0.809044974999779,NaN,NaN
conv5,Gravel0097_1_S,1,3,200,7,127,1,30,129,tw,3,cin,211396.8864,54,2,1.00847514499992,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,1,200,7,1,41,129,51,tw,3,cin,211396.8864,55,2,0.738810439999725,NaN,NaN
PS,Vegetables0024_1_S,0,1,200,6,59,1,114,129,tw,3,cin,211396.8864,56,2,0.879291504999856,NaN,NaN
conv1,FlowerBeds0044_1_S,0,3,200,2,102,1,111,129,tw,3,cin,211396.8864,57,1,0.951893749999726,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,3,200,9,1,39,129,121,tw,3,cin,211396.8864,58,2,0.873954985000182,NaN,NaN
conv5,BrickRound0043_1_S,1,2,200,6,1,106,129,76,tw,3,cin,211396.8864,59,1,0.964622224999857,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,200,2,57,1,88,129,tw,3,cin,211396.8864,60,2,0.994742709999628,NaN,NaN
conv1,FoodVarious0001_1_S,1,1,200,5,69,1,18,129,tw,3,cin,211396.8864,61,2,0.934131139999863,NaN,NaN
PS,PaperCrumpled0004_1_S,0,2,200,3,35,1,95,129,tw,3,cin,211396.8864,62,2,0.810164075000102,NaN,NaN
conv3,RooftilesCeramic0037_1_S,0,2,200,3,1,72,129,28,tw,3,cin,211396.8864,63,2,0.757647675000044,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,2,1,88,129,91,tw,3,cin,211396.8864,64,2,0.867677579999508,NaN,NaN
conv5,BrickRound0043_1_S,0,1,200,1,17,1,78,129,tw,3,cin,211396.8864,65,2,0.956393404999744,NaN,NaN
conv5,Gravel0097_1_S,1,3,200,7,95,1,1,129,tw,3,cin,211396.8864,66,1,0.953669765000086,NaN,NaN
conv1,Scrapyard0033_1_S,1,3,200,5,1,118,129,114,tw,3,cin,211396.8864,67,3,0.772819150000032,NaN,NaN
conv3,FoodVarious0001_1_S,1,3,200,7,1,17,129,28,tw,3,cin,211396.8864,68,2,0.759680959999514,NaN,NaN
conv2,BrickRound0043_1_S,1,2,200,6,1,20,129,47,tw,3,cin,211396.8864,69,2,0.723145954999836,NaN,NaN
PS,Vegetables0024_1_S,0,2,200,6,1,87,129,73,tw,3,cin,211396.8864,70,2,0.820237294999515,NaN,NaN
conv4,PaperCrumpled0004_1_S,0,1,200,1,69,1,4,129,tw,3,cin,211396.8864,71,1,0.75207840999974,NaN,NaN
conv4,FlowerBeds0044_1_S,1,3,200,10,99,1,46,129,tw,3,cin,211396.8864,72,2,0.966571999999815,NaN,NaN
conv4,Carpet0047_1_S,1,2,200,8,1,11,129,57,tw,3,cin,211396.8864,73,1,0.9221956399997,NaN,NaN
conv5,BrickRound0043_1_S,0,3,200,2,113,1,23,129,tw,3,cin,211396.8864,74,2,0.808572874999754,NaN,NaN
PS,FlowerBeds0044_1_S,1,2,200,6,16,1,71,129,tw,3,cin,211396.8864,75,1,0.783980834999511,NaN,NaN
conv5,FoodVarious0001_1_S,1,3,200,9,1,126,129,107,tw,3,cin,211396.8864,76,1,0.881813850000071,NaN,NaN
conv4,BrickRound0043_1_S,0,3,200,10,1,35,129,25,tw,3,cin,211396.8864,77,2,0.751164249999874,NaN,NaN
conv2,FlowerBeds0044_1_S,1,2,200,1,1,25,129,127,tw,3,cin,211396.8864,78,1,0.823488815000019,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,3,1,61,129,52,tw,3,cin,211396.8864,79,2,0.741819179999766,NaN,NaN
PS,BrickRound0043_1_S,1,3,200,8,1,40,129,74,tw,3,cin,211396.8864,80,1,0.767490354999609,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,200,9,1,103,129,58,tw,3,cin,211396.8864,81,3,0.615432594999675,NaN,NaN
conv4,Carpet0047_1_S,0,1,200,5,70,1,95,129,tw,3,cin,211396.8864,82,2,0.797516144999918,NaN,NaN
conv1,BrickRound0043_1_S,1,3,200,10,70,1,110,129,tw,3,cin,211396.8864,83,3,0.660397894999733,NaN,NaN
conv1,FlowerBeds0044_1_S,1,3,200,3,103,1,64,129,tw,3,cin,211396.8864,84,3,0.881422200000088,NaN,NaN
conv5,Carpet0047_1_S,0,2,200,9,52,1,98,129,tw,3,cin,211396.8864,85,1,0.751979034999749,NaN,NaN
conv4,BrickRound0043_1_S,0,3,200,7,1,31,129,12,tw,3,cin,211396.8864,86,1,0.840083159999722,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,200,9,1,93,129,82,tw,3,cin,211396.8864,87,1,1.01819282999986,NaN,NaN
conv4,Crackles0004_1_S,1,2,200,2,109,1,80,129,tw,3,cin,211396.8864,88,2,0.95381478499985,NaN,NaN
PS,FoodVarious0001_1_S,0,1,200,4,91,1,16,129,tw,3,cin,211396.8864,89,2,0.697101369999473,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,3,200,4,68,1,78,129,tw,3,cin,211396.8864,90,3,0.737409069999558,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,2,200,5,1,27,129,92,tw,3,cin,211396.8864,91,2,0.78471101499963,NaN,NaN
PS,BrickRound0043_1_S,1,3,200,10,104,1,30,129,tw,3,cin,211396.8864,92,3,0.825408904999676,NaN,NaN
conv4,Vegetables0024_1_S,0,2,200,5,61,1,6,129,tw,3,cin,211396.8864,93,3,0.985609109999587,NaN,NaN
conv2,GrassDead0131_1_S,0,2,200,10,1,11,129,86,tw,3,cin,211396.8864,94,2,0.754162729999734,NaN,NaN
conv4,FoodVarious0001_1_S,0,1,200,5,93,1,9,129,tw,3,cin,211396.8864,95,1,0.847830439999598,NaN,NaN
conv3,BrickRound0043_1_S,1,3,200,2,31,1,78,129,tw,3,cin,211396.8864,96,2,0.955760199999531,NaN,NaN
conv2,Crackles0004_1_S,1,3,200,1,127,1,23,129,tw,3,cin,211396.8864,97,3,0.853980559999854,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,1,200,4,122,1,82,129,tw,3,cin,211396.8864,98,1,0.867921229999865,NaN,NaN
conv5,Carpet0047_1_S,1,1,200,8,53,1,85,129,tw,3,cin,211396.8864,99,1,1.17703081499985,NaN,NaN
conv2,Gravel0097_1_S,1,3,200,9,1,45,129,88,tw,3,cin,211396.8864,100,2,0.978625289999854,NaN,NaN
conv5,FlowerBeds0044_1_S,0,3,200,2,107,1,69,129,tw,3,cin,211396.8864,101,1,0.901430014999733,NaN,NaN
conv1,Crackles0004_1_S,1,3,200,1,31,1,30,129,tw,3,cin,211396.8864,102,3,0.786138894999567,NaN,NaN
conv4,FoodVarious0001_1_S,0,1,200,6,79,1,95,129,tw,3,cin,211396.8864,103,2,0.790069260000109,NaN,NaN
conv3,GrassDead0131_1_S,1,2,200,4,42,1,54,129,tw,3,cin,211396.8864,104,2,0.633424754999396,NaN,NaN
conv2,Carpet0047_1_S,0,3,200,8,77,1,11,129,tw,3,cin,211396.8864,105,1,0.753079179999986,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,2,200,10,113,1,67,129,tw,3,cin,211396.8864,106,1,0.711321790000056,NaN,NaN
conv2,Crackles0004_1_S,0,1,200,7,1,29,129,118,tw,3,cin,211396.8864,107,3,1.00520318500003,NaN,NaN
conv1,BrickRound0043_1_S,1,1,200,4,1,47,129,100,tw,3,cin,211396.8864,108,1,0.863991974999863,NaN,NaN
conv2,MetalFloorsBare0024_1_S,0,3,200,10,1,21,129,51,tw,3,cin,211396.8864,109,2,0.656738899999709,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,200,7,1,91,129,10,tw,3,cin,211396.8864,110,2,0.798930344999917,NaN,NaN
conv1,Crackles0004_1_S,1,3,200,6,1,49,129,122,tw,3,cin,211396.8864,111,3,0.805491820000043,NaN,NaN
PS,Gravel0097_1_S,0,2,200,10,62,1,120,129,tw,3,cin,211396.8864,112,2,0.800164979999863,NaN,NaN
conv2,GrassDead0131_1_S,1,3,200,7,1,68,129,127,tw,3,cin,211396.8864,113,3,0.857517550000011,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,3,200,10,1,117,129,102,tw,3,cin,211396.8864,114,1,0.96655064000015,NaN,NaN
conv1,Crackles0004_1_S,1,3,200,6,107,1,62,129,tw,3,cin,211396.8864,115,2,0.708624539999619,NaN,NaN
PS,GrassDead0131_1_S,0,3,200,2,65,1,105,129,tw,3,cin,211396.8864,116,1,0.748285919999944,NaN,NaN
conv2,BrickRound0043_1_S,0,3,200,2,79,1,20,129,tw,3,cin,211396.8864,117,1,0.832790899999964,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,1,200,9,19,1,108,129,tw,3,cin,211396.8864,118,3,0.932253659999787,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,1,200,7,45,1,71,129,tw,3,cin,211396.8864,119,2,0.910790749999705,NaN,NaN
conv5,GrassDead0131_1_S,0,2,200,2,1,117,129,77,tw,3,cin,211396.8864,120,1,0.741478099999767,NaN,NaN
