image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv3,Crackles0004_1_S,1,2,200,7,1,41,129,84,cf,4,cin,211599.743,1,1,0.711923759999991,NaN,NaN
PS,FlowerBeds0044_1_S,1,2,200,9,31,1,106,129,cf,4,cin,211599.743,2,2,0.807989535000161,NaN,NaN
conv1,Vegetables0024_1_S,1,3,200,8,87,1,17,129,cf,4,cin,211599.743,3,3,0.733596379999653,NaN,NaN
PS,Gravel0097_1_S,1,2,200,2,59,1,5,129,cf,4,cin,211599.743,4,3,0.797232230000191,NaN,NaN
conv4,Scrapyard0033_1_S,0,1,200,3,81,1,96,129,cf,4,cin,211599.743,5,3,0.921191509999517,NaN,NaN
PS,FoodVarious0001_1_S,0,2,200,5,14,1,115,129,cf,4,cin,211599.743,6,2,0.692266249999193,NaN,NaN
conv2,Gravel0097_1_S,0,3,200,7,1,112,129,6,cf,4,cin,211599.743,7,3,0.708125279999877,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,3,200,9,125,1,3,129,cf,4,cin,211599.743,8,2,0.728644784999233,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,2,200,2,1,97,129,49,cf,4,cin,211599.743,9,3,0.782891529999688,NaN,NaN
PS,Vegetables0024_1_S,1,1,200,6,62,1,35,129,cf,4,cin,211599.743,10,1,0.808314554999924,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,200,5,122,1,51,129,cf,4,cin,211599.743,11,3,0.826542039999367,NaN,NaN
PS,Crackles0004_1_S,0,3,200,7,69,1,58,129,cf,4,cin,211599.743,12,2,0.90437260499948,NaN,NaN
conv5,Carpet0047_1_S,0,2,200,7,1,38,129,108,cf,4,cin,211599.743,13,3,0.813982904999648,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,3,73,1,126,129,cf,4,cin,211599.743,14,2,0.785637944999507,NaN,NaN
conv5,Crackles0004_1_S,0,3,200,5,1,57,129,76,cf,4,cin,211599.743,15,2,0.841068609999638,NaN,NaN
PS,PaperCrumpled0004_1_S,0,3,200,1,1,41,129,36,cf,4,cin,211599.743,16,3,0.729349029999867,NaN,NaN
conv4,Gravel0097_1_S,0,1,200,3,1,81,129,10,cf,4,cin,211599.743,17,2,0.76395205999961,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,3,200,9,113,1,36,129,cf,4,cin,211599.743,18,3,1.01850463000028,NaN,NaN
