image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv1,GrassDead0131_1_S,0,3,200,9,1,2,129,112,cf,2,cin,210416.4459,1,3,0.598681704999763,NaN,NaN
conv1,FlowerBeds0044_1_S,0,2,200,10,63,1,16,129,cf,2,cin,210416.4459,2,2,0.745679915000437,NaN,NaN
PS,Vegetables0024_1_S,0,3,200,8,86,1,45,129,cf,2,cin,210416.4459,3,3,0.811823850001019,NaN,NaN
conv4,GrassDead0131_1_S,0,2,200,9,1,113,129,67,cf,2,cin,210416.4459,4,2,0.750186244998986,NaN,NaN
PS,Scrapyard0033_1_S,0,2,200,8,56,1,33,129,cf,2,cin,210416.4459,5,1,0.653488424999523,NaN,NaN
conv2,RooftilesCeramic0037_1_S,0,3,200,8,1,61,129,56,cf,2,cin,210416.4459,6,3,0.724537334999695,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,2,200,4,103,1,49,129,cf,2,cin,210416.4459,7,1,0.597876019999603,NaN,NaN
conv3,BrickRound0043_1_S,1,2,200,5,30,1,98,129,cf,2,cin,210416.4459,8,3,0.588324514998021,NaN,NaN
PS,Vegetables0024_1_S,0,3,200,5,94,1,26,129,cf,2,cin,210416.4459,9,2,0.710236790000636,NaN,NaN
conv2,FoodVarious0001_1_S,0,2,200,10,80,1,46,129,cf,2,cin,210416.4459,10,3,0.790897355000197,NaN,NaN
PS,BrickRound0043_1_S,0,1,200,2,1,62,129,82,cf,2,cin,210416.4459,11,3,0.672459015000641,NaN,NaN
conv3,Crackles0004_1_S,1,1,200,6,58,1,55,129,cf,2,cin,210416.4459,12,1,0.767834770000263,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,1,200,8,17,1,29,129,cf,2,cin,210416.4459,13,1,0.676174624999476,NaN,NaN
conv5,FoodVarious0001_1_S,0,2,200,1,83,1,33,129,cf,2,cin,210416.4459,14,2,0.682417915000769,NaN,NaN
conv3,Scrapyard0033_1_S,1,1,200,4,41,1,127,129,cf,2,cin,210416.4459,15,2,0.681036884998321,NaN,NaN
conv3,Crackles0004_1_S,0,1,200,3,53,1,66,129,cf,2,cin,210416.4459,16,3,0.618268464999346,NaN,NaN
PS,Gravel0097_1_S,0,1,200,7,1,127,129,119,cf,2,cin,210416.4459,17,1,0.673775674998979,NaN,NaN
conv1,Carpet0047_1_S,0,1,200,1,1,6,129,25,cf,2,cin,210416.4459,18,1,0.67939993499931,NaN,NaN
conv2,Crackles0004_1_S,1,3,200,7,9,1,121,129,cf,2,cin,210416.4459,19,1,0.898088769999958,NaN,NaN
conv4,Gravel0097_1_S,1,3,200,7,1,22,129,25,cf,2,cin,210416.4459,20,3,0.717930569999226,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,200,1,19,1,20,129,cf,2,cin,210416.4459,21,1,0.742223949999243,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,1,200,4,58,1,44,129,cf,2,cin,210416.4459,22,1,0.902903910000532,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,3,200,1,93,1,87,129,cf,2,cin,210416.4459,23,2,0.884921994998876,NaN,NaN
