image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,RooftilesCeramic0037_1_S,0,3,2000,8,1,71,129,67,S9,1,cin,210272.3107,1,3,1.90140664999853,NaN,NaN
conv3,FoodVarious0001_1_S,1,1,2000,9,1,17,129,78,S9,1,cin,210272.3107,2,1,1.2153949099993,NaN,NaN
conv1,BrickRound0043_1_S,1,1,2000,2,1,53,129,68,S9,1,cin,210272.3107,3,1,1.33422941000026,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,2,2000,5,65,1,19,129,S9,1,cin,210272.3107,4,2,2.67631408499983,NaN,NaN
conv3,FoodVarious0001_1_S,0,1,2000,5,14,1,16,129,S9,1,cin,210272.3107,5,1,2.12940983999943,NaN,NaN
conv4,Crackles0004_1_S,0,3,2000,7,4,1,35,129,S9,1,cin,210272.3107,6,2,2.02321193499847,NaN,NaN
conv5,Scrapyard0033_1_S,1,3,2000,1,1,45,129,83,S9,1,cin,210272.3107,7,2,1.85282668499894,NaN,NaN
conv2,Carpet0047_1_S,0,3,2000,10,1,54,129,89,S9,1,cin,210272.3107,8,2,1.64736603999881,NaN,NaN
conv2,Crackles0004_1_S,0,1,2000,9,125,1,41,129,S9,1,cin,210272.3107,9,1,1.90094467999916,NaN,NaN
conv1,Gravel0097_1_S,1,3,2000,3,87,1,100,129,S9,1,cin,210272.3107,10,3,1.47582665499795,NaN,NaN
conv2,Scrapyard0033_1_S,1,3,2000,6,1,55,129,88,S9,1,cin,210272.3107,11,2,2.04676205499891,NaN,NaN
conv1,BrickRound0043_1_S,1,3,2000,1,1,86,129,32,S9,1,cin,210272.3107,12,3,1.46647721499903,NaN,NaN
conv3,FlowerBeds0044_1_S,0,1,2000,1,80,1,65,129,S9,1,cin,210272.3107,13,2,1.9341451349992,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,2,2000,6,15,1,76,129,S9,1,cin,210272.3107,14,2,2.25195433499903,NaN,NaN
conv1,Vegetables0024_1_S,1,2,2000,8,94,1,114,129,S9,1,cin,210272.3107,15,2,1.60209916999884,NaN,NaN
conv4,Gravel0097_1_S,0,3,2000,6,7,1,69,129,S9,1,cin,210272.3107,16,1,1.83396995999829,NaN,NaN
conv2,FoodVarious0001_1_S,0,1,2000,5,114,1,70,129,S9,1,cin,210272.3107,17,1,2.12212088999877,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,2000,3,1,59,129,54,S9,1,cin,210272.3107,18,1,1.55015289499897,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,2,2000,4,1,70,129,88,S9,1,cin,210272.3107,19,2,0.952896414999486,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,2000,2,108,1,102,129,S9,1,cin,210272.3107,20,1,2.00972620999892,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,2000,9,68,1,66,129,S9,1,cin,210272.3107,21,2,1.86450201999833,NaN,NaN
PS,Carpet0047_1_S,0,1,2000,1,67,1,35,129,S9,1,cin,210272.3107,22,2,1.58785659999921,NaN,NaN
conv5,Vegetables0024_1_S,0,3,2000,4,1,61,129,74,S9,1,cin,210272.3107,23,2,1.51560762999907,NaN,NaN
conv4,GrassDead0131_1_S,0,2,2000,8,1,34,129,53,S9,1,cin,210272.3107,24,2,1.9623450099989,NaN,NaN
conv2,MetalFloorsBare0024_1_S,0,3,2000,8,42,1,122,129,S9,1,cin,210272.3107,25,3,1.4069407199986,NaN,NaN
PS,PaperCrumpled0004_1_S,1,2,2000,7,69,1,27,129,S9,1,cin,210272.3107,26,3,2.18170313999872,NaN,NaN
conv5,BrickRound0043_1_S,0,2,2000,2,54,1,109,129,S9,1,cin,210272.3107,27,2,1.54383480999786,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,2000,9,73,1,31,129,S9,1,cin,210272.3107,28,2,2.36393398499968,NaN,NaN
conv3,FoodVarious0001_1_S,0,2,2000,1,108,1,63,129,S9,1,cin,210272.3107,29,2,1.73948957499852,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,1,2000,7,1,24,129,83,S9,1,cin,210272.3107,30,1,1.73522686499928,NaN,NaN
conv1,Gravel0097_1_S,0,1,2000,4,117,1,111,129,S9,1,cin,210272.3107,31,1,1.56260241499876,NaN,NaN
conv1,FoodVarious0001_1_S,1,3,2000,8,44,1,101,129,S9,1,cin,210272.3107,32,3,1.25996247999865,NaN,NaN
PS,Crackles0004_1_S,0,1,2000,6,48,1,69,129,S9,1,cin,210272.3107,33,2,1.44017401999918,NaN,NaN
conv5,Scrapyard0033_1_S,1,1,2000,9,99,1,72,129,S9,1,cin,210272.3107,34,2,2.2156723249991,NaN,NaN
conv2,FlowerBeds0044_1_S,1,3,2000,3,1,11,129,73,S9,1,cin,210272.3107,35,2,1.78150001499853,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,2,2000,3,40,1,21,129,S9,1,cin,210272.3107,36,2,1.42778646499937,NaN,NaN
conv1,Vegetables0024_1_S,1,1,2000,9,1,122,129,30,S9,1,cin,210272.3107,37,1,1.4133826799989,NaN,NaN
conv3,Scrapyard0033_1_S,1,3,2000,4,1,81,129,10,S9,1,cin,210272.3107,38,2,1.29904466999869,NaN,NaN
conv1,FlowerBeds0044_1_S,0,3,2000,4,37,1,48,129,S9,1,cin,210272.3107,39,3,1.28662284499842,NaN,NaN
conv1,Vegetables0024_1_S,1,1,2000,10,1,121,129,91,S9,1,cin,210272.3107,40,1,1.22058964499956,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,1,2000,5,1,120,129,107,S9,1,cin,210272.3107,41,1,0.896512994999284,NaN,NaN
PS,BrickRound0043_1_S,1,3,2000,3,51,1,57,129,S9,1,cin,210272.3107,42,1,1.08640271499826,NaN,NaN
conv4,Gravel0097_1_S,1,2,2000,9,68,1,74,129,S9,1,cin,210272.3107,43,2,1.60444404500049,NaN,NaN
PS,FoodVarious0001_1_S,0,2,2000,8,12,1,81,129,S9,1,cin,210272.3107,44,2,1.53760319999856,NaN,NaN
conv2,Vegetables0024_1_S,0,3,2000,6,56,1,112,129,S9,1,cin,210272.3107,45,2,1.52239761499914,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,2,2000,5,1,85,129,53,S9,1,cin,210272.3107,46,2,0.811497614999098,NaN,NaN
conv4,FlowerBeds0044_1_S,0,1,2000,6,1,66,129,28,S9,1,cin,210272.3107,47,2,1.57434830499915,NaN,NaN
conv2,BrickRound0043_1_S,1,1,2000,10,36,1,67,129,S9,1,cin,210272.3107,48,2,1.1356802650007,NaN,NaN
conv2,FoodVarious0001_1_S,0,1,2000,10,1,26,129,78,S9,1,cin,210272.3107,49,1,1.42202451499907,NaN,NaN
conv5,FlowerBeds0044_1_S,0,1,2000,10,1,123,129,94,S9,1,cin,210272.3107,50,2,1.71573880499818,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,3,2000,1,90,1,37,129,S9,1,cin,210272.3107,51,3,2.15319956499843,NaN,NaN
conv2,Gravel0097_1_S,0,2,2000,5,58,1,119,129,S9,1,cin,210272.3107,52,2,1.72221709500081,NaN,NaN
