image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,BrickRound0043_1_S,0,1,2000,4,1,104,129,30,S10,2,cin,212121.9393,1,2,2.06088266499955,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,2000,8,1,98,129,117,S10,2,cin,212121.9393,2,1,1.01974468999924,NaN,NaN
conv2,MetalFloorsBare0024_1_S,0,3,2000,1,1,35,129,79,S10,2,cin,212121.9393,3,3,0.79064325499894,NaN,NaN
conv3,Carpet0047_1_S,1,2,2000,7,1,107,129,89,S10,2,cin,212121.9393,4,1,1.41814209499898,NaN,NaN
conv3,BrickRound0043_1_S,1,3,2000,2,3,1,114,129,S10,2,cin,212121.9393,5,1,1.40958294499978,NaN,NaN
conv1,Scrapyard0033_1_S,1,1,2000,4,1,123,129,57,S10,2,cin,212121.9393,6,3,1.03242499999942,NaN,NaN
conv3,Vegetables0024_1_S,0,3,2000,1,1,100,129,82,S10,2,cin,212121.9393,7,1,1.89118020499973,NaN,NaN
conv4,MetalFloorsBare0024_1_S,0,1,2000,10,1,21,129,45,S10,2,cin,212121.9393,8,1,2.29999787500037,NaN,NaN
conv2,GrassDead0131_1_S,1,3,2000,9,1,26,129,67,S10,2,cin,212121.9393,9,1,1.10560762000023,NaN,NaN
conv1,Crackles0004_1_S,0,2,2000,7,46,1,67,129,S10,2,cin,212121.9393,10,2,1.19438083499972,NaN,NaN
conv4,FoodVarious0001_1_S,1,2,2000,2,1,90,129,111,S10,2,cin,212121.9393,11,2,1.51975840499927,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,2000,2,1,7,129,114,S10,2,cin,212121.9393,12,1,1.77582136500041,NaN,NaN
PS,Carpet0047_1_S,1,3,2000,5,67,1,19,129,S10,2,cin,212121.9393,13,2,1.81873506999909,NaN,NaN
PS,Crackles0004_1_S,1,3,2000,5,26,1,62,129,S10,2,cin,212121.9393,14,1,1.28782058999968,NaN,NaN
conv3,BrickRound0043_1_S,1,2,2000,5,30,1,16,129,S10,2,cin,212121.9393,15,1,1.42525277999903,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,2000,3,75,1,121,129,S10,2,cin,212121.9393,16,1,1.04230019999977,NaN,NaN
conv2,Crackles0004_1_S,1,1,2000,5,1,16,129,78,S10,2,cin,212121.9393,17,1,1.22166347500024,NaN,NaN
PS,Scrapyard0033_1_S,0,3,2000,4,1,128,129,54,S10,2,cin,212121.9393,18,3,1.82932547000019,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,2,2000,4,21,1,51,129,S10,2,cin,212121.9393,19,3,1.29413406000003,NaN,NaN
conv4,FlowerBeds0044_1_S,1,2,2000,9,1,111,129,15,S10,2,cin,212121.9393,20,1,1.47657412499939,NaN,NaN
conv1,Gravel0097_1_S,0,3,2000,1,1,45,129,125,S10,2,cin,212121.9393,21,3,1.59884265500023,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,2,2000,4,30,1,92,129,S10,2,cin,212121.9393,22,1,1.04084924499966,NaN,NaN
conv1,FoodVarious0001_1_S,0,1,2000,6,1,127,129,85,S10,2,cin,212121.9393,23,1,1.0000496749999,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,2000,4,43,1,104,129,S10,2,cin,212121.9393,24,1,1.32862345000012,NaN,NaN
conv4,Carpet0047_1_S,1,1,2000,8,1,36,129,51,S10,2,cin,212121.9393,25,2,1.59536707999905,NaN,NaN
conv3,BrickRound0043_1_S,0,1,2000,10,60,1,111,129,S10,2,cin,212121.9393,26,2,1.61112373499964,NaN,NaN
conv5,GrassDead0131_1_S,0,3,2000,9,67,1,83,129,S10,2,cin,212121.9393,27,2,1.4946004250005,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,2,2000,4,38,1,1,129,S10,2,cin,212121.9393,28,1,0.765881215000263,NaN,NaN
conv3,Scrapyard0033_1_S,0,3,2000,7,110,1,49,129,S10,2,cin,212121.9393,29,1,1.80831493000005,NaN,NaN
conv2,Vegetables0024_1_S,0,2,2000,10,16,1,81,129,S10,2,cin,212121.9393,30,2,1.8131520349998,NaN,NaN
conv3,Crackles0004_1_S,0,2,2000,1,1,40,129,104,S10,2,cin,212121.9393,31,1,0.757129564999559,NaN,NaN
PS,Gravel0097_1_S,0,1,2000,1,1,56,129,61,S10,2,cin,212121.9393,32,1,1.40286256499985,NaN,NaN
conv2,BrickRound0043_1_S,0,3,2000,10,1,20,129,10,S10,2,cin,212121.9393,33,2,1.44747212999937,NaN,NaN
conv1,FlowerBeds0044_1_S,0,1,2000,10,15,1,58,129,S10,2,cin,212121.9393,34,1,1.43882451500031,NaN,NaN
PS,Crackles0004_1_S,1,2,2000,4,1,3,129,18,S10,2,cin,212121.9393,35,1,0.6325701199994,NaN,NaN
conv3,Carpet0047_1_S,0,3,2000,10,1,117,129,52,S10,2,cin,212121.9393,36,1,1.31340545499916,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,1,2000,8,1,27,129,18,S10,2,cin,212121.9393,37,1,1.13497270500011,NaN,NaN
conv4,BrickRound0043_1_S,0,2,2000,10,1,94,129,55,S10,2,cin,212121.9393,38,1,1.14701727999909,NaN,NaN
conv3,Gravel0097_1_S,0,2,2000,6,85,1,47,129,S10,2,cin,212121.9393,39,2,2.14443551000022,NaN,NaN
conv3,FoodVarious0001_1_S,1,1,2000,10,1,66,129,79,S10,2,cin,212121.9393,40,1,1.04612048999934,NaN,NaN
conv1,RooftilesCeramic0037_1_S,1,1,2000,6,65,1,19,129,S10,2,cin,212121.9393,41,1,0.719361075000052,NaN,NaN
PS,Scrapyard0033_1_S,0,3,2000,7,1,38,129,122,S10,2,cin,212121.9393,42,1,1.60819515999901,NaN,NaN
PS,GrassDead0131_1_S,0,3,2000,4,49,1,122,129,S10,2,cin,212121.9393,43,1,1.43568779499947,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,2000,9,125,1,109,129,S10,2,cin,212121.9393,44,1,1.2573197849988,NaN,NaN
conv4,FlowerBeds0044_1_S,0,1,2000,9,1,85,129,52,S10,2,cin,212121.9393,45,2,1.50273504500001,NaN,NaN
conv4,Gravel0097_1_S,0,2,2000,9,61,1,31,129,S10,2,cin,212121.9393,46,2,1.54351746999964,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,2,2000,1,1,108,129,114,S10,2,cin,212121.9393,47,2,0.934762050000245,NaN,NaN
conv3,Carpet0047_1_S,1,1,2000,3,78,1,31,129,S10,2,cin,212121.9393,48,1,1.29016354000032,NaN,NaN
conv1,FlowerBeds0044_1_S,0,2,2000,4,15,1,81,129,S10,2,cin,212121.9393,49,2,1.28270449499905,NaN,NaN
conv5,BrickRound0043_1_S,1,1,2000,6,1,28,129,117,S10,2,cin,212121.9393,50,1,1.1794429849997,NaN,NaN
