image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv2,Vegetables0024_1_S,0,3,200,1,1,114,129,69,S9,2,cin,206082.8704,1,2,0.503284115000497,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,200,7,73,1,69,129,S9,2,cin,206082.8704,2,2,0.491477924999344,NaN,NaN
conv2,BrickRound0043_1_S,1,3,200,10,99,1,101,129,S9,2,cin,206082.8704,3,2,0.644117909998386,NaN,NaN
conv3,FoodVarious0001_1_S,0,3,200,5,111,1,99,129,S9,2,cin,206082.8704,4,3,0.559476544998688,NaN,NaN
conv3,GrassDead0131_1_S,1,3,200,9,1,48,129,48,S9,2,cin,206082.8704,5,2,0.526023639999039,NaN,NaN
conv3,Vegetables0024_1_S,0,2,200,9,7,1,68,129,S9,2,cin,206082.8704,6,2,0.486916819998441,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,2,200,2,1,2,129,116,S9,2,cin,206082.8704,7,2,0.940771394998592,NaN,NaN
PS,FlowerBeds0044_1_S,0,2,200,3,1,17,129,19,S9,2,cin,206082.8704,8,2,0.649933764998423,NaN,NaN
PS,Scrapyard0033_1_S,0,1,200,6,51,1,47,129,S9,2,cin,206082.8704,9,1,0.664107135000449,NaN,NaN
conv5,Vegetables0024_1_S,0,3,200,5,7,1,107,129,S9,2,cin,206082.8704,10,2,0.476075814998694,NaN,NaN
conv1,RooftilesCeramic0037_1_S,1,2,200,2,1,90,129,66,S9,2,cin,206082.8704,11,2,0.840661344998807,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,1,200,3,1,124,129,116,S9,2,cin,206082.8704,12,1,0.617358889998286,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,200,8,1,125,129,99,S9,2,cin,206082.8704,13,2,0.56514567999875,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,2,200,8,1,25,129,111,S9,2,cin,206082.8704,14,2,0.527841469998748,NaN,NaN
conv2,Vegetables0024_1_S,0,2,200,9,1,118,129,40,S9,2,cin,206082.8704,15,2,0.503215200000341,NaN,NaN
conv1,Gravel0097_1_S,1,1,200,3,126,1,126,129,S9,2,cin,206082.8704,16,2,0.682363154999621,NaN,NaN
conv3,Carpet0047_1_S,0,2,200,5,73,1,114,129,S9,2,cin,206082.8704,17,2,0.830129190000662,NaN,NaN
conv2,MetalFloorsBare0024_1_S,0,2,200,6,88,1,67,129,S9,2,cin,206082.8704,18,2,0.634294364997913,NaN,NaN
conv5,Gravel0097_1_S,0,2,200,4,29,1,52,129,S9,2,cin,206082.8704,19,2,1.01515028999893,NaN,NaN
conv1,Vegetables0024_1_S,1,1,200,10,1,86,129,25,S9,2,cin,206082.8704,20,1,0.603987309998047,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,3,200,6,1,62,129,107,S9,2,cin,206082.8704,21,2,0.555651609998677,NaN,NaN
PS,Gravel0097_1_S,0,3,200,8,108,1,112,129,S9,2,cin,206082.8704,22,2,0.515805394999916,NaN,NaN
PS,FoodVarious0001_1_S,0,3,200,2,1,96,129,128,S9,2,cin,206082.8704,23,2,0.472539734999373,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,3,200,8,39,1,17,129,S9,2,cin,206082.8704,24,2,0.464806334999594,NaN,NaN
conv1,Carpet0047_1_S,1,2,200,8,33,1,40,129,S9,2,cin,206082.8704,25,2,0.638088149999021,NaN,NaN
PS,Crackles0004_1_S,0,2,200,10,38,1,94,129,S9,2,cin,206082.8704,26,2,0.716051314997458,NaN,NaN
conv5,BrickRound0043_1_S,0,1,200,5,126,1,99,129,S9,2,cin,206082.8704,27,2,0.918700584999897,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,2,200,10,30,1,53,129,S9,2,cin,206082.8704,28,2,0.617593979999583,NaN,NaN
conv1,Vegetables0024_1_S,1,2,200,6,1,55,129,103,S9,2,cin,206082.8704,29,2,0.870718324998961,NaN,NaN
conv5,BrickRound0043_1_S,1,1,200,4,83,1,73,129,S9,2,cin,206082.8704,30,3,0.837432964999607,NaN,NaN
conv4,Scrapyard0033_1_S,0,2,200,7,1,60,129,128,S9,2,cin,206082.8704,31,1,0.96659444999932,NaN,NaN
PS,Gravel0097_1_S,0,2,200,1,1,14,129,14,S9,2,cin,206082.8704,32,2,0.530266324998593,NaN,NaN
conv3,Crackles0004_1_S,1,1,200,8,1,25,129,67,S9,2,cin,206082.8704,33,2,0.839331884997591,NaN,NaN
