image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv3,Scrapyard0033_1_S,1,1,200,2,64,1,89,129,S6,1,cin,210325.9983,1,2,0.844261149999511,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,200,9,1,85,129,63,S6,1,cin,210325.9983,2,1,0.988609524998537,NaN,NaN
conv1,FlowerBeds0044_1_S,1,1,200,8,1,124,129,116,S6,1,cin,210325.9983,3,1,0.832177639998918,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,1,200,2,38,1,98,129,S6,1,cin,210325.9983,4,1,0.590097930000411,NaN,NaN
conv1,FoodVarious0001_1_S,0,3,200,9,1,80,129,126,S6,1,cin,210325.9983,5,3,0.599323824999374,NaN,NaN
conv2,FlowerBeds0044_1_S,1,3,200,3,86,1,99,129,S6,1,cin,210325.9983,6,1,0.692024500000116,NaN,NaN
conv2,Vegetables0024_1_S,1,3,200,8,1,121,129,48,S6,1,cin,210325.9983,7,3,0.799480375000712,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,1,200,8,126,1,8,129,S6,1,cin,210325.9983,8,1,0.620090905000325,NaN,NaN
conv5,FoodVarious0001_1_S,0,1,200,8,118,1,94,129,S6,1,cin,210325.9983,9,3,0.836656379999113,NaN,NaN
conv5,Gravel0097_1_S,0,1,200,2,44,1,120,129,S6,1,cin,210325.9983,10,1,0.748490829999355,NaN,NaN
PS,Scrapyard0033_1_S,1,1,200,7,17,1,99,129,S6,1,cin,210325.9983,11,1,0.747805074997814,NaN,NaN
conv4,FoodVarious0001_1_S,0,2,200,3,1,110,129,5,S6,1,cin,210325.9983,12,3,0.656994639999539,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,2,200,3,40,1,5,129,S6,1,cin,210325.9983,13,3,0.633140239999193,NaN,NaN
conv3,GrassDead0131_1_S,0,3,200,6,1,52,129,43,S6,1,cin,210325.9983,14,1,0.74005136499909,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,3,200,8,14,1,69,129,S6,1,cin,210325.9983,15,3,1.11192814499918,NaN,NaN
conv4,RooftilesCeramic0037_1_S,0,2,200,10,1,117,129,121,S6,1,cin,210325.9983,16,1,0.713916004999192,NaN,NaN
conv5,Gravel0097_1_S,0,3,200,1,1,62,129,71,S6,1,cin,210325.9983,17,2,0.654244644998471,NaN,NaN
conv4,Crackles0004_1_S,0,1,200,5,93,1,22,129,S6,1,cin,210325.9983,18,3,0.720408199998928,NaN,NaN
conv2,MetalFloorsBare0024_1_S,0,1,200,8,1,16,129,45,S6,1,cin,210325.9983,19,2,1.12702651999825,NaN,NaN
conv5,Carpet0047_1_S,0,2,200,3,13,1,75,129,S6,1,cin,210325.9983,20,1,0.785735224999371,NaN,NaN
conv4,FlowerBeds0044_1_S,0,3,200,7,9,1,59,129,S6,1,cin,210325.9983,21,3,0.750330164999468,NaN,NaN
conv4,BrickRound0043_1_S,0,1,200,4,1,83,129,84,S6,1,cin,210325.9983,22,1,0.689966050000294,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,3,200,8,125,1,66,129,S6,1,cin,210325.9983,23,3,1.17272358499758,NaN,NaN
conv5,Carpet0047_1_S,1,1,200,5,1,21,129,97,S6,1,cin,210325.9983,24,1,0.920961435000208,NaN,NaN
PS,Gravel0097_1_S,0,3,200,2,1,1,129,79,S6,1,cin,210325.9983,25,3,0.744121145000463,NaN,NaN
conv1,PaperCrumpled0004_1_S,1,2,200,9,39,1,2,129,S6,1,cin,210325.9983,26,3,0.683922589998474,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,1,200,6,43,1,38,129,S6,1,cin,210325.9983,27,1,0.585265154999433,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,200,9,1,29,129,76,S6,1,cin,210325.9983,28,3,0.720368614998733,NaN,NaN
conv2,GrassDead0131_1_S,0,3,200,7,66,1,62,129,S6,1,cin,210325.9983,29,2,0.798305104999599,NaN,NaN
PS,FoodVarious0001_1_S,0,2,200,10,1,67,129,128,S6,1,cin,210325.9983,30,3,0.775530689999869,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,200,4,1,91,129,57,S6,1,cin,210325.9983,31,3,0.668568714998401,NaN,NaN
conv1,Gravel0097_1_S,0,3,200,9,1,25,129,52,S6,1,cin,210325.9983,32,3,0.596417689999726,NaN,NaN
conv2,Scrapyard0033_1_S,1,3,200,8,1,21,129,114,S6,1,cin,210325.9983,33,3,0.639070054998228,NaN,NaN
conv5,Carpet0047_1_S,1,1,200,8,37,1,44,129,S6,1,cin,210325.9983,34,1,1.0052193349984,NaN,NaN
conv3,Crackles0004_1_S,1,2,200,8,1,9,129,53,S6,1,cin,210325.9983,35,2,0.991797604998283,NaN,NaN
conv3,FlowerBeds0044_1_S,0,3,200,5,48,1,59,129,S6,1,cin,210325.9983,36,3,0.780763439999646,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,3,200,10,85,1,24,129,S6,1,cin,210325.9983,37,2,0.856043219999265,NaN,NaN
conv1,Carpet0047_1_S,0,3,200,10,1,99,129,27,S6,1,cin,210325.9983,38,3,0.651670789999116,NaN,NaN
conv2,FoodVarious0001_1_S,0,1,200,10,23,1,2,129,S6,1,cin,210325.9983,39,1,0.899917839999034,NaN,NaN
PS,Scrapyard0033_1_S,0,1,200,6,123,1,101,129,S6,1,cin,210325.9983,40,3,0.769967124999312,NaN,NaN
conv3,Carpet0047_1_S,1,1,200,5,1,113,129,8,S6,1,cin,210325.9983,41,1,0.896226495000519,NaN,NaN
PS,PaperCrumpled0004_1_S,0,1,200,3,13,1,118,129,S6,1,cin,210325.9983,42,2,0.843595354997888,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,6,88,1,7,129,S6,1,cin,210325.9983,43,2,0.90706184499868,NaN,NaN
conv2,Gravel0097_1_S,1,3,200,6,115,1,38,129,S6,1,cin,210325.9983,44,1,0.732229109999025,NaN,NaN
conv4,PaperCrumpled0004_1_S,0,1,200,10,1,37,129,16,S6,1,cin,210325.9983,45,2,0.798807754999871,NaN,NaN
conv3,BrickRound0043_1_S,0,2,200,9,19,1,124,129,S6,1,cin,210325.9983,46,1,0.842525034999198,NaN,NaN
conv4,Scrapyard0033_1_S,1,1,200,7,1,20,129,9,S6,1,cin,210325.9983,47,3,0.736643590000313,NaN,NaN
conv5,Carpet0047_1_S,1,1,200,7,93,1,44,129,S6,1,cin,210325.9983,48,1,0.785009859999263,NaN,NaN
PS,FlowerBeds0044_1_S,1,2,200,6,1,72,129,6,S6,1,cin,210325.9983,49,3,0.695466089999172,NaN,NaN
conv3,FoodVarious0001_1_S,0,3,200,3,53,1,98,129,S6,1,cin,210325.9983,50,1,0.727257839998856,NaN,NaN
conv2,Crackles0004_1_S,1,2,200,5,1,7,129,39,S6,1,cin,210325.9983,51,2,0.665135889999874,NaN,NaN
conv3,Gravel0097_1_S,1,3,200,10,71,1,87,129,S6,1,cin,210325.9983,52,3,0.750274054998954,NaN,NaN
conv2,Carpet0047_1_S,1,3,200,10,71,1,101,129,S6,1,cin,210325.9983,53,1,0.766414084999269,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,3,200,2,62,1,106,129,S6,1,cin,210325.9983,54,3,0.569571359998008,NaN,NaN
conv4,Vegetables0024_1_S,1,2,200,7,3,1,107,129,S6,1,cin,210325.9983,55,1,0.750276834998658,NaN,NaN
conv1,Scrapyard0033_1_S,0,1,200,9,1,58,129,73,S6,1,cin,210325.9983,56,1,0.739654499999233,NaN,NaN
PS,FlowerBeds0044_1_S,1,2,200,6,104,1,90,129,S6,1,cin,210325.9983,57,3,0.707121199999165,NaN,NaN
conv3,BrickRound0043_1_S,0,3,200,9,1,24,129,108,S6,1,cin,210325.9983,58,1,0.658203259999937,NaN,NaN
conv4,GrassDead0131_1_S,0,3,200,3,1,22,129,101,S6,1,cin,210325.9983,59,1,0.752902764999817,NaN,NaN
PS,Scrapyard0033_1_S,1,3,200,4,1,89,129,64,S6,1,cin,210325.9983,60,2,0.753983429998698,NaN,NaN
conv2,Vegetables0024_1_S,0,3,200,4,1,110,129,13,S6,1,cin,210325.9983,61,3,0.83249978999811,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,2,200,4,1,119,129,104,S6,1,cin,210325.9983,62,2,0.731971764998889,NaN,NaN
PS,Crackles0004_1_S,0,2,200,3,1,126,129,119,S6,1,cin,210325.9983,63,3,0.858651944998201,NaN,NaN
conv3,Gravel0097_1_S,1,2,200,1,1,74,129,48,S6,1,cin,210325.9983,64,1,0.763602484998046,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,1,200,2,70,1,32,129,S6,1,cin,210325.9983,65,3,0.833550884999568,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,1,200,10,80,1,75,129,S6,1,cin,210325.9983,66,1,0.603941684998063,NaN,NaN
conv1,FlowerBeds0044_1_S,1,2,200,4,31,1,30,129,S6,1,cin,210325.9983,67,2,0.606295659999887,NaN,NaN
PS,Carpet0047_1_S,0,3,200,2,126,1,110,129,S6,1,cin,210325.9983,68,1,0.742486144998111,NaN,NaN
conv2,Crackles0004_1_S,0,3,200,8,54,1,51,129,S6,1,cin,210325.9983,69,2,0.73262224499922,NaN,NaN
conv1,FoodVarious0001_1_S,0,2,200,10,35,1,11,129,S6,1,cin,210325.9983,70,3,0.789410509998561,NaN,NaN
conv3,RooftilesCeramic0037_1_S,0,1,200,9,104,1,8,129,S6,1,cin,210325.9983,71,3,1.01659111999834,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,3,200,5,1,23,129,32,S6,1,cin,210325.9983,72,2,0.841388864997498,NaN,NaN
conv2,Vegetables0024_1_S,0,1,200,2,1,7,129,53,S6,1,cin,210325.9983,73,2,0.786399799999344,NaN,NaN
PS,Crackles0004_1_S,0,2,200,10,1,104,129,100,S6,1,cin,210325.9983,74,2,0.726575404998584,NaN,NaN
