image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv2,Vegetables0024_1_S,1,2,2000,9,45,1,21,129,cf,7,cin,210556.243,1,2,2.4429040249961,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,2,2000,6,1,1,45,129,cf,7,cin,210556.243,2,2,2.34205004499745,NaN,NaN
conv4,Scrapyard0033_1_S,0,2,2000,1,58,1,39,129,cf,7,cin,210556.243,3,2,2.61100534499928,NaN,NaN
conv1,Gravel0097_1_S,1,1,2000,8,1,28,129,90,cf,7,cin,210556.243,4,1,2.44436317500003,NaN,NaN
conv2,FoodVarious0001_1_S,1,3,2000,5,77,1,70,129,cf,7,cin,210556.243,5,3,2.34337259499807,NaN,NaN
conv2,Carpet0047_1_S,1,2,2000,4,1,80,129,97,cf,7,cin,210556.243,6,2,2.4941605999993,NaN,NaN
PS,Crackles0004_1_S,0,1,2000,1,40,1,38,129,cf,7,cin,210556.243,7,2,2.4995739449987,NaN,NaN
PS,PaperCrumpled0004_1_S,1,3,2000,9,1,29,129,50,cf,7,cin,210556.243,8,3,2.37300502999642,NaN,NaN
conv5,Gravel0097_1_S,0,1,2000,9,1,103,129,32,cf,7,cin,210556.243,9,2,2.48853746999885,NaN,NaN
conv3,GrassDead0131_1_S,0,1,2000,4,1,84,129,54,cf,7,cin,210556.243,10,3,2.43377777999922,NaN,NaN
conv3,FoodVarious0001_1_S,1,3,2000,2,1,34,129,82,cf,7,cin,210556.243,11,3,2.50746309500028,NaN,NaN
conv4,FlowerBeds0044_1_S,1,1,2000,3,16,1,97,129,cf,7,cin,210556.243,12,1,2.39949901999717,NaN,NaN
conv5,Vegetables0024_1_S,0,2,2000,10,1,78,129,13,cf,7,cin,210556.243,13,1,2.37879765500111,NaN,NaN
conv4,FoodVarious0001_1_S,0,1,2000,6,17,1,44,129,cf,7,cin,210556.243,14,1,2.46379906500079,NaN,NaN
PS,BrickRound0043_1_S,1,3,2000,10,79,1,124,129,cf,7,cin,210556.243,15,3,2.4139347349992,NaN,NaN
conv4,Scrapyard0033_1_S,1,1,2000,1,91,1,18,129,cf,7,cin,210556.243,16,3,2.57069862999924,NaN,NaN
conv5,FlowerBeds0044_1_S,1,1,2000,3,1,36,129,63,cf,7,cin,210556.243,17,3,2.43729505499869,NaN,NaN
conv4,Vegetables0024_1_S,1,2,2000,3,78,1,12,129,cf,7,cin,210556.243,18,2,2.44420539499697,NaN,NaN
conv3,Scrapyard0033_1_S,1,3,2000,4,1,124,129,15,cf,7,cin,210556.243,19,3,2.55809959499675,NaN,NaN
conv2,Gravel0097_1_S,0,1,2000,6,30,1,108,129,cf,7,cin,210556.243,20,2,2.51087152499895,NaN,NaN
conv4,Carpet0047_1_S,0,2,2000,5,33,1,22,129,cf,7,cin,210556.243,21,2,2.42624812999929,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,2,2000,2,80,1,30,129,cf,7,cin,210556.243,22,1,2.37537749999683,NaN,NaN
PS,Scrapyard0033_1_S,0,1,2000,9,128,1,53,129,cf,7,cin,210556.243,23,1,2.32053006999922,NaN,NaN
conv1,Crackles0004_1_S,0,1,2000,6,1,126,129,65,cf,7,cin,210556.243,24,1,2.43126869499611,NaN,NaN
conv3,Carpet0047_1_S,1,1,2000,4,52,1,46,129,cf,7,cin,210556.243,25,2,2.450441519999,NaN,NaN
conv5,FoodVarious0001_1_S,1,3,2000,6,22,1,35,129,cf,7,cin,210556.243,26,3,2.35204706500008,NaN,NaN
conv1,FlowerBeds0044_1_S,0,1,2000,3,125,1,67,129,cf,7,cin,210556.243,27,1,2.33493606999764,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,3,2000,5,31,1,78,129,cf,7,cin,210556.243,28,1,2.29760629999873,NaN,NaN
conv3,GrassDead0131_1_S,0,2,2000,4,1,33,129,34,cf,7,cin,210556.243,29,2,2.42527852499916,NaN,NaN
conv2,BrickRound0043_1_S,0,3,2000,2,1,14,129,8,cf,7,cin,210556.243,30,3,2.49561675999939,NaN,NaN
conv1,Gravel0097_1_S,1,3,2000,2,125,1,68,129,cf,7,cin,210556.243,31,3,2.41484006999599,NaN,NaN
conv1,GrassDead0131_1_S,0,1,2000,10,1,6,129,23,cf,7,cin,210556.243,32,1,2.32904685999893,NaN,NaN
conv5,Carpet0047_1_S,0,1,2000,5,1,34,129,111,cf,7,cin,210556.243,33,3,2.34249067000201,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,2000,9,1,64,129,3,cf,7,cin,210556.243,34,3,2.48904272999789,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,3,2000,9,76,1,52,129,cf,7,cin,210556.243,35,3,2.44815517499956,NaN,NaN
conv3,Carpet0047_1_S,0,1,2000,7,1,5,129,51,cf,7,cin,210556.243,36,1,2.41720704999898,NaN,NaN
conv5,GrassDead0131_1_S,1,2,2000,4,24,1,61,129,cf,7,cin,210556.243,37,3,2.3743997950005,NaN,NaN
conv1,Vegetables0024_1_S,1,2,2000,3,84,1,104,129,cf,7,cin,210556.243,38,2,2.48430882499815,NaN,NaN
conv2,Gravel0097_1_S,1,3,2000,4,78,1,13,129,cf,7,cin,210556.243,39,3,2.58836073500061,NaN,NaN
