image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,Vegetables0024_1_S,0,2,2000,5,1,13,129,5,tw,10,cin,210490.7051,1,3,2.3139234299997,NaN,NaN
PS,Gravel0097_1_S,0,1,2000,5,1,54,129,57,tw,10,cin,210490.7051,2,2,1.94203933499739,NaN,NaN
conv3,RooftilesCeramic0037_1_S,0,3,2000,6,22,1,30,129,tw,10,cin,210490.7051,3,3,1.63079419499627,NaN,NaN
conv2,GrassDead0131_1_S,0,3,2000,5,1,91,129,29,tw,10,cin,210490.7051,4,3,1.8053194599961,NaN,NaN
conv4,Gravel0097_1_S,1,1,2000,2,1,64,129,7,tw,10,cin,210490.7051,5,2,2.41813177999938,NaN,NaN
conv4,Carpet0047_1_S,1,2,2000,5,71,1,122,129,tw,10,cin,210490.7051,6,2,2.94642088999899,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,2,2000,3,71,1,55,129,tw,10,cin,210490.7051,7,2,1.42528634499831,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,1,2000,5,64,1,92,129,tw,10,cin,210490.7051,8,1,2.02024198999788,NaN,NaN
conv2,Vegetables0024_1_S,1,1,2000,10,86,1,12,129,tw,10,cin,210490.7051,9,1,2.07813961500142,NaN,NaN
conv1,BrickRound0043_1_S,1,3,2000,4,1,12,129,116,tw,10,cin,210490.7051,10,3,1.10960727999918,NaN,NaN
conv3,GrassDead0131_1_S,1,1,2000,8,29,1,54,129,tw,10,cin,210490.7051,11,1,1.82917229499799,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,3,2000,10,1,20,129,126,tw,10,cin,210490.7051,12,3,1.36514592499952,NaN,NaN
conv4,RooftilesCeramic0037_1_S,0,1,2000,1,32,1,35,129,tw,10,cin,210490.7051,13,1,1.89523983999607,NaN,NaN
conv2,Gravel0097_1_S,1,3,2000,3,85,1,113,129,tw,10,cin,210490.7051,14,3,2.15577154499988,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,2000,5,1,85,129,103,tw,10,cin,210490.7051,15,3,2.26801410999906,NaN,NaN
conv3,FlowerBeds0044_1_S,1,1,2000,4,1,57,129,87,tw,10,cin,210490.7051,16,1,2.49738934499692,NaN,NaN
conv1,Crackles0004_1_S,1,3,2000,7,1,6,129,4,tw,10,cin,210490.7051,17,3,1.81352717499976,NaN,NaN
conv1,Scrapyard0033_1_S,0,3,2000,10,50,1,61,129,tw,10,cin,210490.7051,18,3,1.32889253499889,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,2000,10,117,1,93,129,tw,10,cin,210490.7051,19,3,2.61464102999889,NaN,NaN
conv2,BrickRound0043_1_S,0,2,2000,2,10,1,102,129,tw,10,cin,210490.7051,20,3,2.65189961999931,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,3,2000,7,26,1,106,129,tw,10,cin,210490.7051,21,3,2.05590191499869,NaN,NaN
conv1,Scrapyard0033_1_S,1,2,2000,6,1,15,129,94,tw,10,cin,210490.7051,22,2,2.0774623699981,NaN,NaN
conv5,FlowerBeds0044_1_S,0,1,2000,6,81,1,16,129,tw,10,cin,210490.7051,23,2,2.34176612999727,NaN,NaN
conv5,BrickRound0043_1_S,1,3,2000,7,1,109,129,78,tw,10,cin,210490.7051,24,3,1.89660750500116,NaN,NaN
conv5,Vegetables0024_1_S,1,3,2000,5,1,16,129,62,tw,10,cin,210490.7051,25,1,2.44808305499828,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,3,2000,3,1,61,129,89,tw,10,cin,210490.7051,26,3,2.33836682999754,NaN,NaN
conv1,Carpet0047_1_S,1,2,2000,9,13,1,14,129,tw,10,cin,210490.7051,27,2,1.3216330849973,NaN,NaN
conv3,Crackles0004_1_S,0,1,2000,3,1,7,129,36,tw,10,cin,210490.7051,28,2,2.65031195499978,NaN,NaN
conv1,PaperCrumpled0004_1_S,0,3,2000,9,72,1,99,129,tw,10,cin,210490.7051,29,3,2.42971714499799,NaN,NaN
PS,GrassDead0131_1_S,1,2,2000,3,128,1,84,129,tw,10,cin,210490.7051,30,1,2.26994871499846,NaN,NaN
conv2,FlowerBeds0044_1_S,0,1,2000,3,67,1,22,129,tw,10,cin,210490.7051,31,2,2.31864197999676,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,1,2000,8,117,1,67,129,tw,10,cin,210490.7051,32,1,1.60026325999934,NaN,NaN
conv2,Gravel0097_1_S,1,1,2000,1,30,1,119,129,tw,10,cin,210490.7051,33,1,2.56115381999916,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,1,2000,8,38,1,76,129,tw,10,cin,210490.7051,34,2,2.75809186499828,NaN,NaN
conv2,Scrapyard0033_1_S,0,1,2000,6,1,84,129,6,tw,10,cin,210490.7051,35,3,2.3475341600024,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,2000,8,1,65,129,101,tw,10,cin,210490.7051,36,3,2.36276419999922,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,2000,9,1,55,129,77,tw,10,cin,210490.7051,37,3,2.48070614999961,NaN,NaN
conv3,Gravel0097_1_S,0,2,2000,2,1,107,129,67,tw,10,cin,210490.7051,38,3,2.46387773499737,NaN,NaN
conv2,Vegetables0024_1_S,0,3,2000,5,1,24,129,68,tw,10,cin,210490.7051,39,3,2.28324209499988,NaN,NaN
conv5,Crackles0004_1_S,0,1,2000,1,52,1,50,129,tw,10,cin,210490.7051,40,3,2.65055713999755,NaN,NaN
conv4,Carpet0047_1_S,0,1,2000,4,62,1,2,129,tw,10,cin,210490.7051,41,2,2.69451948499773,NaN,NaN
conv4,Scrapyard0033_1_S,0,1,2000,9,20,1,34,129,tw,10,cin,210490.7051,42,1,2.46665001499787,NaN,NaN
conv4,FlowerBeds0044_1_S,0,3,2000,6,1,93,129,78,tw,10,cin,210490.7051,43,2,2.33069473000069,NaN,NaN
conv3,Gravel0097_1_S,1,2,2000,9,41,1,3,129,tw,10,cin,210490.7051,44,3,2.26247459499791,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,3,2000,1,1,126,129,12,tw,10,cin,210490.7051,45,3,1.95608092999828,NaN,NaN
PS,PaperCrumpled0004_1_S,1,3,2000,2,102,1,52,129,tw,10,cin,210490.7051,46,3,2.24570222999682,NaN,NaN
conv3,Scrapyard0033_1_S,1,3,2000,10,6,1,109,129,tw,10,cin,210490.7051,47,3,2.57742823000081,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,2,2000,5,83,1,122,129,tw,10,cin,210490.7051,48,2,1.93631729999834,NaN,NaN
conv4,FlowerBeds0044_1_S,0,3,2000,9,1,101,129,98,tw,10,cin,210490.7051,49,2,2.75761973499903,NaN,NaN
conv1,Crackles0004_1_S,1,2,2000,4,1,19,129,44,tw,10,cin,210490.7051,50,2,1.25506859999587,NaN,NaN
conv4,PaperCrumpled0004_1_S,0,1,2000,9,30,1,17,129,tw,10,cin,210490.7051,51,3,2.51753382999959,NaN,NaN
conv5,BrickRound0043_1_S,1,3,2000,4,1,1,117,129,tw,10,cin,210490.7051,52,3,2.48252286000206,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,1,2000,6,1,90,129,84,tw,10,cin,210490.7051,53,1,2.0014840699987,NaN,NaN
conv2,Crackles0004_1_S,0,2,2000,6,16,1,89,129,tw,10,cin,210490.7051,54,1,2.51989184500053,NaN,NaN
conv1,GrassDead0131_1_S,0,1,2000,1,89,1,125,129,tw,10,cin,210490.7051,55,1,1.56238881000172,NaN,NaN
PS,PaperCrumpled0004_1_S,1,3,2000,10,1,117,129,6,tw,10,cin,210490.7051,56,2,2.44827361500211,NaN,NaN
conv4,Gravel0097_1_S,0,2,2000,5,1,85,129,107,tw,10,cin,210490.7051,57,3,2.45438130499679,NaN,NaN
conv5,GrassDead0131_1_S,0,2,2000,1,1,24,129,8,tw,10,cin,210490.7051,58,1,2.69785101999878,NaN,NaN
PS,Vegetables0024_1_S,1,1,2000,5,3,1,52,129,tw,10,cin,210490.7051,59,1,2.69022815000062,NaN,NaN
PS,Carpet0047_1_S,0,1,2000,9,6,1,119,129,tw,10,cin,210490.7051,60,2,2.48973845499859,NaN,NaN
conv5,Gravel0097_1_S,0,1,2000,8,57,1,68,129,tw,10,cin,210490.7051,61,3,2.34276535999743,NaN,NaN
conv2,GrassDead0131_1_S,0,2,2000,2,1,86,129,102,tw,10,cin,210490.7051,62,3,2.54997161499705,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,2,2000,3,115,1,23,129,tw,10,cin,210490.7051,63,2,2.20594999499735,NaN,NaN
conv1,BrickRound0043_1_S,1,3,2000,2,1,96,129,14,tw,10,cin,210490.7051,64,3,1.09885544499775,NaN,NaN
conv4,FlowerBeds0044_1_S,0,2,2000,6,1,69,129,116,tw,10,cin,210490.7051,65,3,2.614482519999,NaN,NaN
conv3,Carpet0047_1_S,1,2,2000,7,1,55,129,42,tw,10,cin,210490.7051,66,3,2.37882733999868,NaN,NaN
conv1,RooftilesCeramic0037_1_S,1,2,2000,1,1,15,129,2,tw,10,cin,210490.7051,67,2,0.777563564995944,NaN,NaN
conv1,FlowerBeds0044_1_S,0,2,2000,1,80,1,23,129,tw,10,cin,210490.7051,68,2,1.32631362000029,NaN,NaN
PS,FoodVarious0001_1_S,0,1,2000,10,1,123,129,44,tw,10,cin,210490.7051,69,1,1.91740591999769,NaN,NaN
PS,GrassDead0131_1_S,1,1,2000,7,1,53,129,70,tw,10,cin,210490.7051,70,2,2.66903309999907,NaN,NaN
PS,PaperCrumpled0004_1_S,0,1,2000,10,1,80,129,5,tw,10,cin,210490.7051,71,2,1.69584218999807,NaN,NaN
PS,Crackles0004_1_S,0,1,2000,8,1,120,129,2,tw,10,cin,210490.7051,72,2,2.36365579999983,NaN,NaN
