image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,BrickRound0043_1_S,0,1,200,6,1,62,129,12,S8,1,cin,209436.7291,1,3,1.0460694049998,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,2,200,10,1,7,129,114,S8,1,cin,209436.7291,2,3,0.822388990000036,NaN,NaN
conv4,FoodVarious0001_1_S,1,3,200,1,78,1,39,129,S8,1,cin,209436.7291,3,1,0.977899160000106,NaN,NaN
PS,Carpet0047_1_S,1,1,200,6,72,1,20,129,S8,1,cin,209436.7291,4,1,1.06539642999996,NaN,NaN
conv4,Gravel0097_1_S,0,3,200,2,1,30,129,7,S8,1,cin,209436.7291,5,3,0.945150154999737,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,1,200,9,1,123,129,110,S8,1,cin,209436.7291,6,1,0.856387299999824,NaN,NaN
conv4,Scrapyard0033_1_S,1,3,200,10,1,67,129,61,S8,1,cin,209436.7291,7,1,0.9662754699998,NaN,NaN
conv1,FoodVarious0001_1_S,1,1,200,9,111,1,112,129,S8,1,cin,209436.7291,8,3,0.933842269999786,NaN,NaN
conv5,BrickRound0043_1_S,1,1,200,8,1,16,129,63,S8,1,cin,209436.7291,9,3,0.906008500000098,NaN,NaN
conv2,Carpet0047_1_S,0,2,200,6,1,1,77,129,S8,1,cin,209436.7291,10,1,0.955251189999672,NaN,NaN
conv3,Vegetables0024_1_S,1,3,200,10,76,1,74,129,S8,1,cin,209436.7291,11,2,1.10937861999946,NaN,NaN
conv1,Crackles0004_1_S,1,3,200,7,3,1,32,129,S8,1,cin,209436.7291,12,3,0.97279731000026,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,1,200,10,6,1,32,129,S8,1,cin,209436.7291,13,3,1.1115352199995,NaN,NaN
conv2,Scrapyard0033_1_S,1,3,200,3,81,1,36,129,S8,1,cin,209436.7291,14,1,1.23446702000001,NaN,NaN
conv1,Gravel0097_1_S,0,3,200,2,1,27,129,76,S8,1,cin,209436.7291,15,1,0,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,3,200,3,1,1,129,104,S8,1,cin,209436.7291,16,3,0.769754630000079,NaN,NaN
conv3,FoodVarious0001_1_S,1,1,200,7,1,103,129,78,S8,1,cin,209436.7291,17,1,0.650276424999902,NaN,NaN
conv3,Gravel0097_1_S,0,2,200,4,1,111,129,51,S8,1,cin,209436.7291,18,3,0.606538224999895,NaN,NaN
PS,FlowerBeds0044_1_S,1,2,200,2,20,1,86,129,S8,1,cin,209436.7291,19,1,0.726485770000181,NaN,NaN
PS,GrassDead0131_1_S,1,1,200,7,126,1,20,129,S8,1,cin,209436.7291,20,3,0.561115129999507,NaN,NaN
