image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv2,Vegetables0024_1_S,0,2,2000,8,1,93,129,70,tw,7,cin,207433.4405,1,2,2.0934267699995,NaN,NaN
conv1,FoodVarious0001_1_S,1,3,2000,6,18,1,98,129,tw,7,cin,207433.4405,2,3,1.78601744499792,NaN,NaN
conv5,Scrapyard0033_1_S,1,1,2000,4,116,1,36,129,tw,7,cin,207433.4405,3,1,2.88160102499933,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,2,2000,3,1,85,129,20,tw,7,cin,207433.4405,4,2,1.63792674999786,NaN,NaN
conv2,Crackles0004_1_S,1,1,2000,1,100,1,111,129,tw,7,cin,207433.4405,5,3,2.0369878199981,NaN,NaN
conv5,Gravel0097_1_S,1,1,2000,3,1,28,129,42,tw,7,cin,207433.4405,6,3,1.86327578999953,NaN,NaN
conv2,Carpet0047_1_S,1,1,2000,2,16,1,100,129,tw,7,cin,207433.4405,7,1,1.50719217999904,NaN,NaN
conv3,Crackles0004_1_S,1,2,2000,7,1,126,129,87,tw,7,cin,207433.4405,8,3,1.7604372249989,NaN,NaN
conv5,FoodVarious0001_1_S,0,2,2000,10,20,1,119,129,tw,7,cin,207433.4405,9,2,1.77344134999839,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,2000,2,65,1,103,129,tw,7,cin,207433.4405,10,2,1.59199476499816,NaN,NaN
conv4,Crackles0004_1_S,0,1,2000,2,1,118,129,118,tw,7,cin,207433.4405,11,1,2.37274181999965,NaN,NaN
conv1,BrickRound0043_1_S,1,3,2000,8,1,53,129,53,tw,7,cin,207433.4405,12,3,1.50480728000002,NaN,NaN
PS,Carpet0047_1_S,1,1,2000,10,75,1,11,129,tw,7,cin,207433.4405,13,1,1.60153469499892,NaN,NaN
conv4,GrassDead0131_1_S,0,1,2000,10,89,1,121,129,tw,7,cin,207433.4405,14,1,1.39598680000017,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,3,2000,10,69,1,86,129,tw,7,cin,207433.4405,15,3,2.15670426499855,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,2000,4,1,103,129,86,tw,7,cin,207433.4405,16,1,2.39440418499908,NaN,NaN
PS,FlowerBeds0044_1_S,0,2,2000,4,82,1,46,129,tw,7,cin,207433.4405,17,2,2.03073723499801,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,2000,6,1,76,129,100,tw,7,cin,207433.4405,18,2,1.37985223499891,NaN,NaN
conv5,GrassDead0131_1_S,1,2,2000,2,1,75,129,4,tw,7,cin,207433.4405,19,1,1.42395010499786,NaN,NaN
conv2,FlowerBeds0044_1_S,0,3,2000,3,1,114,129,52,tw,7,cin,207433.4405,20,2,1.85283081999842,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,2,2000,9,13,1,61,129,tw,7,cin,207433.4405,21,2,0.969667209999898,NaN,NaN
