image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
PS,MetalFloorsBare0024_1_S,1,3,2000,7,17,1,28,129,S1,1,cin,212624.8811,1,3,2.64882098999897,NaN,NaN
conv4,FoodVarious0001_1_S,0,3,2000,5,104,1,65,129,S1,1,cin,212624.8811,2,3,2.56122556999981,NaN,NaN
conv3,Gravel0097_1_S,0,2,2000,7,1,109,129,73,S1,1,cin,212624.8811,3,2,2.35066604499934,NaN,NaN
PS,Carpet0047_1_S,1,1,2000,2,89,1,49,129,S1,1,cin,212624.8811,4,2,2.3546973499997,NaN,NaN
conv4,Vegetables0024_1_S,1,2,2000,8,117,1,126,129,S1,1,cin,212624.8811,5,2,1.71525321999979,NaN,NaN
conv4,FoodVarious0001_1_S,0,3,2000,3,1,59,129,68,S1,1,cin,212624.8811,6,2,2.06502338999962,NaN,NaN
PS,FlowerBeds0044_1_S,1,2,2000,9,30,1,94,129,S1,1,cin,212624.8811,7,2,2.24117345000013,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,3,2000,1,101,1,105,129,S1,1,cin,212624.8811,8,3,2.46792233499946,NaN,NaN
conv5,Gravel0097_1_S,0,1,2000,6,52,1,77,129,S1,1,cin,212624.8811,9,2,2.28636955499951,NaN,NaN
conv5,Crackles0004_1_S,0,2,2000,1,1,67,129,7,S1,1,cin,212624.8811,10,2,2.45682420999947,NaN,NaN
conv3,Vegetables0024_1_S,0,2,2000,3,82,1,10,129,S1,1,cin,212624.8811,11,2,2.24364503499964,NaN,NaN
conv2,FlowerBeds0044_1_S,1,2,2000,5,1,126,129,35,S1,1,cin,212624.8811,12,3,2.33947532499951,NaN,NaN
conv1,Scrapyard0033_1_S,1,2,2000,6,1,87,129,25,S1,1,cin,212624.8811,13,2,2.36526835499899,NaN,NaN
conv5,FoodVarious0001_1_S,0,2,2000,6,80,1,58,129,S1,1,cin,212624.8811,14,3,2.29491169999892,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,3,2000,3,84,1,65,129,S1,1,cin,212624.8811,15,2,1.86386075999962,NaN,NaN
conv2,Gravel0097_1_S,1,2,2000,6,82,1,94,129,S1,1,cin,212624.8811,16,2,2.20854679499917,NaN,NaN
conv2,FlowerBeds0044_1_S,0,3,2000,3,1,73,129,59,S1,1,cin,212624.8811,17,2,2.02716229499947,NaN,NaN
