image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv3,FlowerBeds0044_1_S,1,3,200,9,1,23,129,46,tw,2,cin,210619.6101,1,1,0.601790904998779,NaN,NaN
PS,GrassDead0131_1_S,1,3,200,2,65,1,118,129,tw,2,cin,210619.6101,2,2,0.63478229500106,NaN,NaN
PS,Gravel0097_1_S,1,2,200,1,1,28,129,5,tw,2,cin,210619.6101,3,2,0.583707444999163,NaN,NaN
PS,BrickRound0043_1_S,0,3,200,5,1,125,129,55,tw,2,cin,210619.6101,4,2,0.722945284996968,NaN,NaN
conv2,Crackles0004_1_S,0,2,200,4,1,94,129,128,tw,2,cin,210619.6101,5,1,0.541371154999069,NaN,NaN
PS,GrassDead0131_1_S,1,2,200,8,82,1,93,129,tw,2,cin,210619.6101,6,2,0.507223894997878,NaN,NaN
conv5,FoodVarious0001_1_S,0,1,200,8,88,1,64,129,tw,2,cin,210619.6101,7,2,0.617759469998418,NaN,NaN
PS,Vegetables0024_1_S,1,3,200,2,48,1,31,129,tw,2,cin,210619.6101,8,2,0.587491689999297,NaN,NaN
conv4,Scrapyard0033_1_S,0,1,200,6,1,80,129,80,tw,2,cin,210619.6101,9,2,0.561110044996894,NaN,NaN
conv1,GrassDead0131_1_S,1,3,200,3,1,76,129,122,tw,2,cin,210619.6101,10,3,0.636429229998612,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,1,200,8,1,98,129,30,tw,2,cin,210619.6101,11,1,0.844495615001506,NaN,NaN
conv5,Vegetables0024_1_S,1,3,200,9,1,90,129,78,tw,2,cin,210619.6101,12,2,0.606877769998391,NaN,NaN
conv2,Crackles0004_1_S,0,1,200,10,38,1,53,129,tw,2,cin,210619.6101,13,1,0.561404134998156,NaN,NaN
conv1,Carpet0047_1_S,1,3,200,1,106,1,48,129,tw,2,cin,210619.6101,14,3,0.492538430000423,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,10,73,1,104,129,tw,2,cin,210619.6101,15,2,0.651352195000072,NaN,NaN
conv1,BrickRound0043_1_S,0,2,200,2,62,1,38,129,tw,2,cin,210619.6101,16,2,0.514470909998636,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,5,115,1,103,129,tw,2,cin,210619.6101,17,2,0.668318389998603,NaN,NaN
conv4,GrassDead0131_1_S,0,2,200,5,1,30,129,95,tw,2,cin,210619.6101,18,2,0.761658495001029,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,3,200,5,15,1,94,129,tw,2,cin,210619.6101,19,3,0.613928814997053,NaN,NaN
conv3,Vegetables0024_1_S,1,1,200,9,1,106,129,55,tw,2,cin,210619.6101,20,1,0.711364064998634,NaN,NaN
PS,Carpet0047_1_S,0,3,200,4,1,82,129,81,tw,2,cin,210619.6101,21,2,0.595269590001408,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,2,200,2,8,1,123,129,tw,2,cin,210619.6101,22,2,0.504942845000187,NaN,NaN
PS,Crackles0004_1_S,0,1,200,3,115,1,25,129,tw,2,cin,210619.6101,23,1,0.672910814999341,NaN,NaN
conv3,BrickRound0043_1_S,0,3,200,7,1,73,129,91,tw,2,cin,210619.6101,24,2,0.763318574998266,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,2,200,10,1,109,129,26,tw,2,cin,210619.6101,25,2,0.590511139998853,NaN,NaN
conv4,FoodVarious0001_1_S,0,3,200,2,1,118,129,34,tw,2,cin,210619.6101,26,1,0.631625764995988,NaN,NaN
conv1,Crackles0004_1_S,1,3,200,9,65,1,17,129,tw,2,cin,210619.6101,27,3,0.507564524996269,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,2,200,6,1,50,129,56,tw,2,cin,210619.6101,28,2,0.469376770000963,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,3,200,5,1,108,129,32,tw,2,cin,210619.6101,29,2,0.647340759998769,NaN,NaN
conv3,BrickRound0043_1_S,1,1,200,3,1,92,129,76,tw,2,cin,210619.6101,30,2,0.566867974997876,NaN,NaN
conv2,Carpet0047_1_S,1,1,200,9,1,116,129,30,tw,2,cin,210619.6101,31,1,0.463809009997931,NaN,NaN
PS,FlowerBeds0044_1_S,1,1,200,6,1,62,129,66,tw,2,cin,210619.6101,32,1,0.769293444998766,NaN,NaN
conv3,Vegetables0024_1_S,0,2,200,3,79,1,112,129,tw,2,cin,210619.6101,33,2,0.623346294996736,NaN,NaN
conv4,FoodVarious0001_1_S,0,1,200,6,120,1,82,129,tw,2,cin,210619.6101,34,2,0.532911235000938,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,3,200,6,114,1,128,129,tw,2,cin,210619.6101,35,2,0.586863810000068,NaN,NaN
conv2,Carpet0047_1_S,1,3,200,7,1,108,129,78,tw,2,cin,210619.6101,36,2,0.515935719999106,NaN,NaN
conv5,Gravel0097_1_S,0,2,200,6,54,1,65,129,tw,2,cin,210619.6101,37,2,0.477043854996737,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,1,200,2,43,1,116,129,tw,2,cin,210619.6101,38,2,0.499822189998667,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,10,93,1,82,129,tw,2,cin,210619.6101,39,1,0.716947684999468,NaN,NaN
PS,FoodVarious0001_1_S,0,3,200,1,1,20,129,86,tw,2,cin,210619.6101,40,1,0.786949224995624,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,3,200,2,41,1,24,129,tw,2,cin,210619.6101,41,2,0.859363819996361,NaN,NaN
conv2,GrassDead0131_1_S,0,3,200,9,54,1,64,129,tw,2,cin,210619.6101,42,3,0.778715834996547,NaN,NaN
conv2,Vegetables0024_1_S,1,3,200,10,52,1,56,129,tw,2,cin,210619.6101,43,2,0.792052580000018,NaN,NaN
conv2,FlowerBeds0044_1_S,0,2,200,4,1,128,129,34,tw,2,cin,210619.6101,44,1,0.709452650000458,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,6,59,1,80,129,tw,2,cin,210619.6101,45,3,0.760508994997508,NaN,NaN
conv5,Gravel0097_1_S,0,3,200,8,1,21,129,65,tw,2,cin,210619.6101,46,2,0.638603030001832,NaN,NaN
PS,BrickRound0043_1_S,0,2,200,2,53,1,37,129,tw,2,cin,210619.6101,47,2,0.928159409999353,NaN,NaN
conv4,FoodVarious0001_1_S,0,3,200,4,1,91,129,98,tw,2,cin,210619.6101,48,2,0.72735798499707,NaN,NaN
conv1,PaperCrumpled0004_1_S,1,2,200,1,1,15,129,54,tw,2,cin,210619.6101,49,2,0.736382330000197,NaN,NaN
conv5,Scrapyard0033_1_S,1,3,200,2,1,68,129,73,tw,2,cin,210619.6101,50,2,0.621045859996229,NaN,NaN
conv3,Crackles0004_1_S,1,2,200,5,1,27,129,108,tw,2,cin,210619.6101,51,1,0.687322094996489,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,2,200,1,1,122,129,63,tw,2,cin,210619.6101,52,2,0.589009945000726,NaN,NaN
PS,Carpet0047_1_S,0,1,200,9,1,18,129,38,tw,2,cin,210619.6101,53,2,0.766696689999662,NaN,NaN
conv5,FoodVarious0001_1_S,0,1,200,10,128,1,91,129,tw,2,cin,210619.6101,54,1,0.857517104996077,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,1,200,1,1,59,129,27,tw,2,cin,210619.6101,55,2,0.691385809997882,NaN,NaN
conv2,Scrapyard0033_1_S,1,1,200,3,104,1,125,129,tw,2,cin,210619.6101,56,2,0.67905126000187,NaN,NaN
PS,GrassDead0131_1_S,0,2,200,6,1,27,129,11,tw,2,cin,210619.6101,57,3,0.845905834998121,NaN,NaN
conv5,BrickRound0043_1_S,0,2,200,4,1,125,129,109,tw,2,cin,210619.6101,58,2,0.630593264999334,NaN,NaN
conv4,Gravel0097_1_S,0,2,200,6,1,12,129,110,tw,2,cin,210619.6101,59,2,0.522420314999181,NaN,NaN
conv2,FlowerBeds0044_1_S,1,1,200,7,1,22,129,61,tw,2,cin,210619.6101,60,1,0.537441914999363,NaN,NaN
PS,BrickRound0043_1_S,0,3,200,9,1,10,129,92,tw,2,cin,210619.6101,61,1,0.735633069998585,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,2,200,8,1,1,129,9,tw,2,cin,210619.6101,62,2,0.468010320000758,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,2,200,4,107,1,111,129,tw,2,cin,210619.6101,63,2,0.521441819997563,NaN,NaN
conv2,Carpet0047_1_S,0,2,200,7,1,68,129,40,tw,2,cin,210619.6101,64,2,0.482922639999742,NaN,NaN
conv2,FlowerBeds0044_1_S,1,1,200,6,1,8,129,90,tw,2,cin,210619.6101,65,1,0.552035295000678,NaN,NaN
conv1,Gravel0097_1_S,0,3,200,3,1,106,129,116,tw,2,cin,210619.6101,66,2,0.574327519996586,NaN,NaN
conv3,FoodVarious0001_1_S,0,2,200,8,1,35,129,19,tw,2,cin,210619.6101,67,2,0.524766970000201,NaN,NaN
conv1,Vegetables0024_1_S,0,2,200,10,1,2,129,6,tw,2,cin,210619.6101,68,2,0.488139764998778,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,2,200,4,1,65,129,26,tw,2,cin,210619.6101,69,2,0.397753124998417,NaN,NaN
conv3,BrickRound0043_1_S,0,1,200,8,12,1,117,129,tw,2,cin,210619.6101,70,2,0.398704169998382,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,1,200,1,20,1,108,129,tw,2,cin,210619.6101,71,2,0.473210134998226,NaN,NaN
conv1,Scrapyard0033_1_S,0,3,200,6,113,1,115,129,tw,2,cin,210619.6101,72,2,0.753881224998622,NaN,NaN
conv2,MetalFloorsBare0024_1_S,1,2,200,6,125,1,61,129,tw,2,cin,210619.6101,73,2,0.784539804997621,NaN,NaN
PS,FoodVarious0001_1_S,0,1,200,3,1,82,129,26,tw,2,cin,210619.6101,74,1,0.697007964998193,NaN,NaN
PS,Gravel0097_1_S,1,2,200,5,1,95,129,113,tw,2,cin,210619.6101,75,2,0.676805985000101,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,2,200,5,71,1,77,129,tw,2,cin,210619.6101,76,2,0.629221880000841,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,1,200,1,1,125,129,109,tw,2,cin,210619.6101,77,1,0.601927124997019,NaN,NaN
conv5,Crackles0004_1_S,1,3,200,9,1,11,129,56,tw,2,cin,210619.6101,78,3,0.67250782499832,NaN,NaN
conv2,Scrapyard0033_1_S,0,2,200,7,1,79,129,7,tw,2,cin,210619.6101,79,2,0.760373935001553,NaN,NaN
conv5,GrassDead0131_1_S,0,3,200,10,24,1,71,129,tw,2,cin,210619.6101,80,2,0.659878264999861,NaN,NaN
conv4,BrickRound0043_1_S,0,2,200,5,1,15,129,68,tw,2,cin,210619.6101,81,1,0.479376049999701,NaN,NaN
conv2,Vegetables0024_1_S,1,2,200,1,112,1,45,129,tw,2,cin,210619.6101,82,2,0.557389409997995,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,1,200,8,1,123,129,60,tw,2,cin,210619.6101,83,2,0.409160634997534,NaN,NaN
conv4,FlowerBeds0044_1_S,1,1,200,7,1,115,129,27,tw,2,cin,210619.6101,84,1,0.693519269996614,NaN,NaN
conv3,FoodVarious0001_1_S,1,2,200,3,89,1,38,129,tw,2,cin,210619.6101,85,2,0.769542589998309,NaN,NaN
PS,Scrapyard0033_1_S,0,3,200,4,1,70,129,3,tw,2,cin,210619.6101,86,2,0.619625754996378,NaN,NaN
conv2,GrassDead0131_1_S,1,2,200,1,1,17,129,28,tw,2,cin,210619.6101,87,3,0.714727514998231,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,200,9,1,126,129,82,tw,2,cin,210619.6101,88,2,0.581626010000036,NaN,NaN
conv4,Vegetables0024_1_S,0,2,200,7,89,1,29,129,tw,2,cin,210619.6101,89,2,0.467750210002123,NaN,NaN
conv2,Carpet0047_1_S,0,3,200,8,82,1,66,129,tw,2,cin,210619.6101,90,1,0.592203969998081,NaN,NaN
conv1,Scrapyard0033_1_S,0,3,200,7,96,1,15,129,tw,2,cin,210619.6101,91,2,0.590506734999508,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,3,200,9,86,1,102,129,tw,2,cin,210619.6101,92,3,0.628444989997661,NaN,NaN
PS,PaperCrumpled0004_1_S,1,2,200,7,1,95,129,6,tw,2,cin,210619.6101,93,1,0.645905620000121,NaN,NaN
conv5,Carpet0047_1_S,0,1,200,2,1,117,129,106,tw,2,cin,210619.6101,94,2,0.608995999999024,NaN,NaN
conv3,Scrapyard0033_1_S,1,3,200,9,41,1,86,129,tw,2,cin,210619.6101,95,2,0.536358450000989,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,10,1,94,129,79,tw,2,cin,210619.6101,96,2,0.610674184998061,NaN,NaN
conv4,Vegetables0024_1_S,0,1,200,10,1,109,129,44,tw,2,cin,210619.6101,97,1,0.502800074998959,NaN,NaN
conv4,Gravel0097_1_S,0,3,200,2,3,1,40,129,tw,2,cin,210619.6101,98,2,0.512257285001397,NaN,NaN
