image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv1,FlowerBeds0044_1_S,1,2,200,10,28,1,100,129,tw,9,cin,213758.5082,1,2,0.69629361999614,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,2,200,3,3,1,32,129,tw,9,cin,213758.5082,2,2,0.603543704997719,NaN,NaN
conv3,RooftilesCeramic0037_1_S,0,3,200,8,37,1,18,129,tw,9,cin,213758.5082,3,3,0.785964344999229,NaN,NaN
conv3,Gravel0097_1_S,0,1,200,1,57,1,73,129,tw,9,cin,213758.5082,4,2,0.812719174999074,NaN,NaN
conv2,Carpet0047_1_S,0,2,200,10,1,97,129,8,tw,9,cin,213758.5082,5,2,0.731944635001128,NaN,NaN
conv5,GrassDead0131_1_S,1,2,200,9,1,66,129,107,tw,9,cin,213758.5082,6,1,0.605215849998785,NaN,NaN
conv2,Crackles0004_1_S,1,1,200,8,71,1,4,129,tw,9,cin,213758.5082,7,2,0.927995039997768,NaN,NaN
conv2,RooftilesCeramic0037_1_S,0,3,200,4,32,1,99,129,tw,9,cin,213758.5082,8,3,0.66934355000194,NaN,NaN
conv2,Vegetables0024_1_S,0,3,200,2,9,1,115,129,tw,9,cin,213758.5082,9,1,0.897063050000725,NaN,NaN
conv3,Crackles0004_1_S,0,3,200,9,112,1,50,129,tw,9,cin,213758.5082,10,1,0.794504639998195,NaN,NaN
conv4,BrickRound0043_1_S,1,3,200,10,1,16,129,123,tw,9,cin,213758.5082,11,3,0.923892070000875,NaN,NaN
conv2,Vegetables0024_1_S,1,1,200,4,1,47,129,104,tw,9,cin,213758.5082,12,2,0.749332999999751,NaN,NaN
conv4,Crackles0004_1_S,1,1,200,1,1,110,129,79,tw,9,cin,213758.5082,13,1,0.653357015002257,NaN,NaN
