image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv4,Scrapyard0033_1_S,0,1,200,8,1,43,129,118,S10,1,cin,207421.115,1,3,0.618201125000269,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,3,200,3,106,1,83,129,S10,1,cin,207421.115,2,3,0.901648319999367,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,3,200,6,84,1,6,129,S10,1,cin,207421.115,3,3,0.666100989998995,NaN,NaN
conv4,Crackles0004_1_S,1,2,200,6,117,1,32,129,S10,1,cin,207421.115,4,1,0.516791940000076,NaN,NaN
conv5,FoodVarious0001_1_S,1,1,200,8,1,79,129,29,S10,1,cin,207421.115,5,3,0.609391080000023,NaN,NaN
PS,Scrapyard0033_1_S,0,1,200,9,1,128,129,93,S10,1,cin,207421.115,6,3,0.652476344999741,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,1,200,5,51,1,1,129,S10,1,cin,207421.115,7,2,0.672231929999725,NaN,NaN
conv1,FoodVarious0001_1_S,1,1,200,1,21,1,62,129,S10,1,cin,207421.115,8,3,0.737370804999955,NaN,NaN
conv2,Scrapyard0033_1_S,1,2,200,6,1,49,129,107,S10,1,cin,207421.115,9,3,0.902071514999989,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,3,200,5,1,42,129,37,S10,1,cin,207421.115,10,3,1.06100952999986,NaN,NaN
conv2,Gravel0097_1_S,0,2,200,5,18,1,93,129,S10,1,cin,207421.115,11,1,0.815915339999265,NaN,NaN
conv2,Vegetables0024_1_S,1,3,200,8,51,1,107,129,S10,1,cin,207421.115,12,1,0.737545814999976,NaN,NaN
conv2,GrassDead0131_1_S,1,1,200,3,1,70,129,44,S10,1,cin,207421.115,13,3,0.95377153499976,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,2,200,2,107,1,101,129,S10,1,cin,207421.115,14,3,0.912712665000072,NaN,NaN
conv4,Carpet0047_1_S,0,1,200,2,79,1,64,129,S10,1,cin,207421.115,15,2,0.777467494999655,NaN,NaN
conv5,FoodVarious0001_1_S,0,2,200,1,1,106,129,85,S10,1,cin,207421.115,16,3,0.418710914999792,NaN,NaN
conv2,Scrapyard0033_1_S,0,1,200,9,68,1,25,129,S10,1,cin,207421.115,17,3,0.465887449999173,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,200,3,1,77,129,50,S10,1,cin,207421.115,18,1,0.390715049999926,NaN,NaN
conv2,BrickRound0043_1_S,1,1,200,2,1,80,129,128,S10,1,cin,207421.115,19,3,0.512627544999305,NaN,NaN
conv3,Crackles0004_1_S,1,2,200,10,31,1,27,129,S10,1,cin,207421.115,20,3,0.599613835000127,NaN,NaN
conv2,Vegetables0024_1_S,1,2,200,2,72,1,128,129,S10,1,cin,207421.115,21,3,0.514626219999627,NaN,NaN
conv1,Carpet0047_1_S,0,2,200,7,7,1,82,129,S10,1,cin,207421.115,22,2,0.760431344999233,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,3,200,5,103,1,97,129,S10,1,cin,207421.115,23,2,0.431598770000164,NaN,NaN
conv4,PaperCrumpled0004_1_S,0,3,200,1,51,1,24,129,S10,1,cin,207421.115,24,3,0.412691394999456,NaN,NaN
conv2,Gravel0097_1_S,0,1,200,2,1,117,129,85,S10,1,cin,207421.115,25,3,0.393409714999507,NaN,NaN
PS,GrassDead0131_1_S,1,2,200,1,46,1,121,129,S10,1,cin,207421.115,26,3,0.456173539999327,NaN,NaN
conv3,FoodVarious0001_1_S,1,1,200,1,1,120,129,14,S10,1,cin,207421.115,27,3,0.422522144999675,NaN,NaN
conv5,Carpet0047_1_S,0,2,200,6,1,15,129,11,S10,1,cin,207421.115,28,3,0.464038689999143,NaN,NaN
conv4,MetalFloorsBare0024_1_S,0,1,200,6,108,1,117,129,S10,1,cin,207421.115,29,2,0.444051559999934,NaN,NaN
conv3,FlowerBeds0044_1_S,0,2,200,4,107,1,15,129,S10,1,cin,207421.115,30,1,0.496787774999575,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,200,8,1,75,129,25,S10,1,cin,207421.115,31,3,0.631333299999824,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,3,200,1,56,1,62,129,S10,1,cin,207421.115,32,3,0.498376900000039,NaN,NaN
conv1,Carpet0047_1_S,1,2,200,9,9,1,125,129,S10,1,cin,207421.115,33,1,0.56327461500041,NaN,NaN
conv3,Crackles0004_1_S,0,1,200,3,36,1,111,129,S10,1,cin,207421.115,34,1,0.527714654999727,NaN,NaN
conv5,Scrapyard0033_1_S,1,2,200,9,30,1,87,129,S10,1,cin,207421.115,35,2,0.492819909999525,NaN,NaN
PS,Carpet0047_1_S,0,1,200,10,1,63,129,6,S10,1,cin,207421.115,36,3,0.558911684999657,NaN,NaN
conv1,FlowerBeds0044_1_S,1,3,200,5,1,119,129,75,S10,1,cin,207421.115,37,1,0.601528064999002,NaN,NaN
conv3,Vegetables0024_1_S,0,3,200,6,1,59,129,29,S10,1,cin,207421.115,38,1,0.556086364999828,NaN,NaN
PS,PaperCrumpled0004_1_S,0,2,200,4,1,118,129,72,S10,1,cin,207421.115,39,3,0.644603464998909,NaN,NaN
conv3,Carpet0047_1_S,0,1,200,10,86,1,38,129,S10,1,cin,207421.115,40,3,0.703755454999737,NaN,NaN
conv4,MetalFloorsBare0024_1_S,0,2,200,7,13,1,90,129,S10,1,cin,207421.115,41,1,0.604640255000049,NaN,NaN
conv1,GrassDead0131_1_S,1,1,200,5,1,73,129,94,S10,1,cin,207421.115,42,3,0.623262940000131,NaN,NaN
conv3,Gravel0097_1_S,1,2,200,7,46,1,97,129,S10,1,cin,207421.115,43,1,0.579001964999406,NaN,NaN
conv2,PaperCrumpled0004_1_S,1,1,200,6,1,93,129,42,S10,1,cin,207421.115,44,1,0.649132604999068,NaN,NaN
PS,Crackles0004_1_S,0,1,200,2,1,59,129,102,S10,1,cin,207421.115,45,3,0.490729574999932,NaN,NaN
conv1,GrassDead0131_1_S,1,3,200,5,1,50,129,35,S10,1,cin,207421.115,46,3,0.647867549999319,NaN,NaN
conv1,Scrapyard0033_1_S,1,2,200,8,114,1,79,129,S10,1,cin,207421.115,47,1,0.547237535000022,NaN,NaN
PS,Gravel0097_1_S,1,3,200,5,43,1,14,129,S10,1,cin,207421.115,48,3,0.684023024999988,NaN,NaN
conv5,FlowerBeds0044_1_S,1,1,200,6,1,1,45,129,S10,1,cin,207421.115,49,1,0.709805489999781,NaN,NaN
conv5,Vegetables0024_1_S,1,1,200,5,1,90,129,109,S10,1,cin,207421.115,50,3,0.510821899999428,NaN,NaN
conv3,MetalFloorsBare0024_1_S,1,3,200,3,1,58,129,94,S10,1,cin,207421.115,51,3,0.628989074999481,NaN,NaN
conv4,RooftilesCeramic0037_1_S,1,3,200,7,13,1,117,129,S10,1,cin,207421.115,52,3,0.547508164999272,NaN,NaN
conv2,Carpet0047_1_S,0,1,200,1,70,1,112,129,S10,1,cin,207421.115,53,3,0.505952679999609,NaN,NaN
conv2,GrassDead0131_1_S,1,1,200,10,1,111,129,10,S10,1,cin,207421.115,54,3,0.591910509999252,NaN,NaN
conv1,Scrapyard0033_1_S,1,2,200,3,1,59,129,111,S10,1,cin,207421.115,55,3,0.559701544999371,NaN,NaN
conv3,FlowerBeds0044_1_S,0,2,200,6,99,1,116,129,S10,1,cin,207421.115,56,3,0.50061851999908,NaN,NaN
conv1,PaperCrumpled0004_1_S,0,3,200,1,1,128,129,11,S10,1,cin,207421.115,57,3,0.544259564999265,NaN,NaN
conv4,Vegetables0024_1_S,0,3,200,5,59,1,92,129,S10,1,cin,207421.115,58,3,0.538004754999747,NaN,NaN
conv1,BrickRound0043_1_S,0,2,200,7,1,84,129,7,S10,1,cin,207421.115,59,3,0.449941964999198,NaN,NaN
conv5,Gravel0097_1_S,1,2,200,9,75,1,117,129,S10,1,cin,207421.115,60,3,0.937479774999701,NaN,NaN
conv3,Carpet0047_1_S,1,2,200,6,121,1,33,129,S10,1,cin,207421.115,61,3,0.483986930000356,NaN,NaN
conv1,RooftilesCeramic0037_1_S,1,3,200,2,1,35,129,117,S10,1,cin,207421.115,62,2,0.396561744999417,NaN,NaN
conv2,FoodVarious0001_1_S,0,2,200,9,7,1,112,129,S10,1,cin,207421.115,63,3,0.43547498999942,NaN,NaN
conv4,Crackles0004_1_S,0,2,200,10,93,1,10,129,S10,1,cin,207421.115,64,3,0.406576779999341,NaN,NaN
conv1,Gravel0097_1_S,1,3,200,5,38,1,55,129,S10,1,cin,207421.115,65,3,0.462633979999737,NaN,NaN
conv4,PaperCrumpled0004_1_S,0,1,200,4,68,1,90,129,S10,1,cin,207421.115,66,3,0.48830850000013,NaN,NaN
PS,Vegetables0024_1_S,0,1,200,4,1,6,129,79,S10,1,cin,207421.115,67,3,0.462559814999622,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,2,200,2,1,67,129,66,S10,1,cin,207421.115,68,2,0.958836149999115,NaN,NaN
conv4,BrickRound0043_1_S,0,3,200,6,1,23,129,40,S10,1,cin,207421.115,69,3,0.700913439999567,NaN,NaN
conv2,Carpet0047_1_S,0,1,200,5,1,16,129,19,S10,1,cin,207421.115,70,3,0.493665234999753,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,200,10,1,50,129,74,S10,1,cin,207421.115,71,3,0.501920144999531,NaN,NaN
conv2,Crackles0004_1_S,1,3,200,5,1,68,129,23,S10,1,cin,207421.115,72,3,0.449920035000105,NaN,NaN
conv5,Gravel0097_1_S,0,1,200,1,1,104,129,114,S10,1,cin,207421.115,73,3,0.462538484999641,NaN,NaN
conv2,FlowerBeds0044_1_S,1,3,200,5,116,1,18,129,S10,1,cin,207421.115,74,3,0.451224395000281,NaN,NaN
conv1,BrickRound0043_1_S,0,3,200,9,45,1,100,129,S10,1,cin,207421.115,75,3,0.412667249999686,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,3,200,4,127,1,74,129,S10,1,cin,207421.115,76,3,0.369401914999798,NaN,NaN
PS,Carpet0047_1_S,1,2,200,4,1,28,129,61,S10,1,cin,207421.115,77,3,0.405319139999847,NaN,NaN
conv3,BrickRound0043_1_S,1,2,200,2,1,94,129,21,S10,1,cin,207421.115,78,3,0.48045659499985,NaN,NaN
conv2,RooftilesCeramic0037_1_S,1,2,200,4,1,108,129,15,S10,1,cin,207421.115,79,3,0.428236154999468,NaN,NaN
conv1,Crackles0004_1_S,1,2,200,4,1,79,129,97,S10,1,cin,207421.115,80,2,0.466550049999569,NaN,NaN
conv1,Scrapyard0033_1_S,1,3,200,10,1,18,129,30,S10,1,cin,207421.115,81,3,0.652009290000024,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,1,78,1,33,129,S10,1,cin,207421.115,82,3,0.568975449999016,NaN,NaN
conv5,GrassDead0131_1_S,1,2,200,8,1,124,129,19,S10,1,cin,207421.115,83,3,0.556008775000009,NaN,NaN
PS,PaperCrumpled0004_1_S,0,2,200,7,31,1,37,129,S10,1,cin,207421.115,84,3,0.521691150000152,NaN,NaN
conv1,Vegetables0024_1_S,0,2,200,9,95,1,116,129,S10,1,cin,207421.115,85,2,0.697199129999717,NaN,NaN
conv5,Gravel0097_1_S,0,2,200,1,18,1,26,129,S10,1,cin,207421.115,86,3,0.512721454999337,NaN,NaN
conv2,BrickRound0043_1_S,1,3,200,7,29,1,38,129,S10,1,cin,207421.115,87,3,0.373802465000153,NaN,NaN
conv2,Scrapyard0033_1_S,0,3,200,5,1,6,129,42,S10,1,cin,207421.115,88,3,0.41169800499938,NaN,NaN
PS,GrassDead0131_1_S,1,3,200,1,36,1,40,129,S10,1,cin,207421.115,89,3,0.361033799999859,NaN,NaN
conv4,PaperCrumpled0004_1_S,0,2,200,4,94,1,70,129,S10,1,cin,207421.115,90,2,0.416422164999858,NaN,NaN
conv4,FlowerBeds0044_1_S,1,1,200,3,5,1,125,129,S10,1,cin,207421.115,91,3,0.420673440000428,NaN,NaN
conv5,BrickRound0043_1_S,1,3,200,5,1,49,129,91,S10,1,cin,207421.115,92,3,0.50634140999955,NaN,NaN
conv3,Gravel0097_1_S,0,1,200,4,1,74,129,72,S10,1,cin,207421.115,93,3,0.543264139999337,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,8,1,82,129,71,S10,1,cin,207421.115,94,3,0.495376939999915,NaN,NaN
conv2,FoodVarious0001_1_S,0,3,200,5,1,7,129,121,S10,1,cin,207421.115,95,3,0.475479990000167,NaN,NaN
conv4,Crackles0004_1_S,0,3,200,9,26,1,11,129,S10,1,cin,207421.115,96,2,0.473142269999698,NaN,NaN
conv3,Carpet0047_1_S,0,2,200,2,72,1,9,129,S10,1,cin,207421.115,97,3,0.460165369999231,NaN,NaN
conv3,FoodVarious0001_1_S,1,3,200,5,1,123,129,45,S10,1,cin,207421.115,98,3,0.537358054999459,NaN,NaN
conv3,GrassDead0131_1_S,1,2,200,6,50,1,128,129,S10,1,cin,207421.115,99,2,0.660474450000038,NaN,NaN
PS,Gravel0097_1_S,1,2,200,3,16,1,119,129,S10,1,cin,207421.115,100,3,0.566732289999891,NaN,NaN
conv4,Vegetables0024_1_S,0,3,200,4,106,1,48,129,S10,1,cin,207421.115,101,2,0.423539469999923,NaN,NaN
conv5,BrickRound0043_1_S,1,1,200,6,107,1,89,129,S10,1,cin,207421.115,102,2,0.602108250000128,NaN,NaN
conv4,FoodVarious0001_1_S,1,2,200,2,30,1,96,129,S10,1,cin,207421.115,103,2,0.563637149999522,NaN,NaN
conv1,RooftilesCeramic0037_1_S,0,3,200,7,58,1,73,129,S10,1,cin,207421.115,104,3,1.03323572999943,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,1,200,8,45,1,127,129,S10,1,cin,207421.115,105,3,0.778871389999949,NaN,NaN
