image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv5,MetalFloorsBare0024_1_S,1,3,200,5,46,1,112,129,S7,2,cin,214543.3503,1,3,0.691007049999826,NaN,NaN
conv5,GrassDead0131_1_S,1,3,200,6,14,1,116,129,S7,2,cin,214543.3503,2,1,0.793607999999949,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,200,6,1,88,129,107,S7,2,cin,214543.3503,3,3,0.917663700000048,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,1,200,3,1,4,129,95,S7,2,cin,214543.3503,4,2,0.751335704999747,NaN,NaN
conv2,FlowerBeds0044_1_S,0,1,200,5,102,1,80,129,S7,2,cin,214543.3503,5,3,0.772387670000171,NaN,NaN
PS,Scrapyard0033_1_S,0,1,200,7,49,1,63,129,S7,2,cin,214543.3503,6,1,0.953352675000133,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,3,200,6,1,117,129,17,S7,2,cin,214543.3503,7,1,0.922519745000045,NaN,NaN
conv5,Vegetables0024_1_S,0,2,200,2,6,1,41,129,S7,2,cin,214543.3503,8,3,0.877819474999797,NaN,NaN
PS,GrassDead0131_1_S,1,3,200,9,76,1,24,129,S7,2,cin,214543.3503,9,1,0.665894744999605,NaN,NaN
conv3,Carpet0047_1_S,1,3,200,2,1,48,129,74,S7,2,cin,214543.3503,10,2,0.687468144999912,NaN,NaN
conv2,BrickRound0043_1_S,1,2,200,9,103,1,84,129,S7,2,cin,214543.3503,11,2,0.831800819999899,NaN,NaN
conv4,FoodVarious0001_1_S,0,2,200,1,115,1,123,129,S7,2,cin,214543.3503,12,3,0.804904239999814,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,3,200,4,46,1,59,129,S7,2,cin,214543.3503,13,1,0.75071638999998,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,1,200,6,1,96,129,49,S7,2,cin,214543.3503,14,2,0.829943249999815,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,200,2,1,54,129,80,S7,2,cin,214543.3503,15,3,0.755027449999943,NaN,NaN
conv5,Vegetables0024_1_S,1,2,200,5,24,1,114,129,S7,2,cin,214543.3503,16,1,0.721021534999636,NaN,NaN
conv2,PaperCrumpled0004_1_S,0,1,200,1,1,49,129,9,S7,2,cin,214543.3503,17,3,0.963241024999661,NaN,NaN
conv5,Scrapyard0033_1_S,1,1,200,3,1,22,129,111,S7,2,cin,214543.3503,18,1,0.843867674999728,NaN,NaN
conv4,Gravel0097_1_S,0,2,200,8,111,1,116,129,S7,2,cin,214543.3503,19,3,0.679768469999544,NaN,NaN
conv4,FlowerBeds0044_1_S,0,1,200,8,88,1,31,129,S7,2,cin,214543.3503,20,1,0.657526914999835,NaN,NaN
conv2,FoodVarious0001_1_S,0,3,200,3,1,81,129,48,S7,2,cin,214543.3503,21,3,0.698198109999794,NaN,NaN
PS,Carpet0047_1_S,0,2,200,4,119,1,45,129,S7,2,cin,214543.3503,22,2,0.717571525000039,NaN,NaN
conv3,Gravel0097_1_S,1,1,200,5,1,84,129,14,S7,2,cin,214543.3503,23,1,0.698133699999744,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,3,200,9,20,1,125,129,S7,2,cin,214543.3503,24,3,0.693534814999566,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,3,113,1,15,129,S7,2,cin,214543.3503,25,2,0.972421075000057,NaN,NaN
conv1,BrickRound0043_1_S,0,3,200,9,109,1,63,129,S7,2,cin,214543.3503,26,3,0.719372979999662,NaN,NaN
conv3,FlowerBeds0044_1_S,1,3,200,8,37,1,55,129,S7,2,cin,214543.3503,27,2,0.765498969999499,NaN,NaN
conv1,GrassDead0131_1_S,1,2,200,8,49,1,40,129,S7,2,cin,214543.3503,28,2,0.704837734999728,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,1,200,6,58,1,108,129,S7,2,cin,214543.3503,29,2,0.829592234999836,NaN,NaN
conv2,FoodVarious0001_1_S,1,2,200,3,1,72,129,90,S7,2,cin,214543.3503,30,3,1.03213121499948,NaN,NaN
conv5,FlowerBeds0044_1_S,0,2,200,2,1,110,129,77,S7,2,cin,214543.3503,31,1,0.787407139999686,NaN,NaN
conv1,Crackles0004_1_S,0,3,200,3,102,1,106,129,S7,2,cin,214543.3503,32,3,0.850487700000031,NaN,NaN
conv2,RooftilesCeramic0037_1_S,0,2,200,10,67,1,63,129,S7,2,cin,214543.3503,33,2,0.733589895000023,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,200,2,1,115,129,115,S7,2,cin,214543.3503,34,2,0.826811624999664,NaN,NaN
conv4,Gravel0097_1_S,0,2,200,4,36,1,102,129,S7,2,cin,214543.3503,35,3,0.927421164999942,NaN,NaN
conv3,Carpet0047_1_S,1,2,200,2,47,1,81,129,S7,2,cin,214543.3503,36,2,0.883848154999669,NaN,NaN
conv4,FlowerBeds0044_1_S,1,3,200,4,1,32,129,81,S7,2,cin,214543.3503,37,1,1.00584045999994,NaN,NaN
conv2,Vegetables0024_1_S,0,2,200,10,53,1,95,129,S7,2,cin,214543.3503,38,2,0.94063264999977,NaN,NaN
conv3,RooftilesCeramic0037_1_S,1,1,200,7,1,13,129,9,S7,2,cin,214543.3503,39,1,0.777644119999877,NaN,NaN
conv1,MetalFloorsBare0024_1_S,0,3,200,5,65,1,108,129,S7,2,cin,214543.3503,40,3,0.69411897999953,NaN,NaN
conv2,FlowerBeds0044_1_S,1,1,200,10,112,1,117,129,S7,2,cin,214543.3503,41,1,0.703658654999799,NaN,NaN
conv1,PaperCrumpled0004_1_S,1,2,200,7,32,1,19,129,S7,2,cin,214543.3503,42,1,0.852021434999642,NaN,NaN
conv3,Vegetables0024_1_S,0,2,200,2,1,96,129,34,S7,2,cin,214543.3503,43,1,0.851710034999542,NaN,NaN
conv4,BrickRound0043_1_S,1,1,200,4,1,34,129,38,S7,2,cin,214543.3503,44,2,0.711723075000009,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,200,1,72,1,48,129,S7,2,cin,214543.3503,45,1,0.649562554999648,NaN,NaN
conv5,Scrapyard0033_1_S,0,2,200,2,6,1,102,129,S7,2,cin,214543.3503,46,3,0.679181374999644,NaN,NaN
PS,Carpet0047_1_S,1,3,200,10,50,1,69,129,S7,2,cin,214543.3503,47,3,0.636931524999909,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,200,6,1,38,129,5,S7,2,cin,214543.3503,48,1,0.646008644999711,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,3,200,6,100,1,78,129,S7,2,cin,214543.3503,49,3,0.476017704999776,NaN,NaN
conv3,Crackles0004_1_S,1,3,200,5,1,84,129,15,S7,2,cin,214543.3503,50,1,0.591753564999635,NaN,NaN
conv1,FoodVarious0001_1_S,0,2,200,3,20,1,53,129,S7,2,cin,214543.3503,51,1,1.06826718499997,NaN,NaN
conv3,PaperCrumpled0004_1_S,1,1,200,9,91,1,76,129,S7,2,cin,214543.3503,52,2,1.20698625499972,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,2,200,7,1,41,129,61,S7,2,cin,214543.3503,53,2,1.10577644499972,NaN,NaN
conv1,Scrapyard0033_1_S,0,1,200,2,1,48,129,29,S7,2,cin,214543.3503,54,1,0.689821079999547,NaN,NaN
conv4,Carpet0047_1_S,1,1,200,6,87,1,98,129,S7,2,cin,214543.3503,55,1,0.879230284999721,NaN,NaN
conv5,GrassDead0131_1_S,0,1,200,7,106,1,127,129,S7,2,cin,214543.3503,56,2,1.09708231999957,NaN,NaN
conv1,Gravel0097_1_S,1,1,200,7,119,1,20,129,S7,2,cin,214543.3503,57,1,0.856515529999797,NaN,NaN
conv2,Crackles0004_1_S,0,3,200,5,119,1,109,129,S7,2,cin,214543.3503,58,3,0.713473429999794,NaN,NaN
conv5,Vegetables0024_1_S,1,1,200,3,83,1,62,129,S7,2,cin,214543.3503,59,3,1.02581554500011,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,3,200,1,40,1,37,129,S7,2,cin,214543.3503,60,2,0.732182199999897,NaN,NaN
conv1,Carpet0047_1_S,0,3,200,10,49,1,28,129,S7,2,cin,214543.3503,61,3,0.720478384999751,NaN,NaN
conv3,GrassDead0131_1_S,0,2,200,7,1,94,129,49,S7,2,cin,214543.3503,62,2,0.753865304999636,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,3,200,10,1,35,129,50,S7,2,cin,214543.3503,63,1,0.643972749999648,NaN,NaN
conv3,BrickRound0043_1_S,0,3,200,2,37,1,78,129,S7,2,cin,214543.3503,64,2,0.868435224999757,NaN,NaN
PS,GrassDead0131_1_S,0,1,200,9,17,1,53,129,S7,2,cin,214543.3503,65,3,0.717815364999751,NaN,NaN
conv5,FoodVarious0001_1_S,1,1,200,3,39,1,11,129,S7,2,cin,214543.3503,66,2,0.888361279999572,NaN,NaN
conv1,Vegetables0024_1_S,1,3,200,1,73,1,88,129,S7,2,cin,214543.3503,67,1,0.842439654999907,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,3,200,5,1,11,129,46,S7,2,cin,214543.3503,68,3,0.912982594999903,NaN,NaN
conv3,Scrapyard0033_1_S,0,1,200,5,53,1,49,129,S7,2,cin,214543.3503,69,1,0.74266313499993,NaN,NaN
conv4,Crackles0004_1_S,1,3,200,2,1,108,129,6,S7,2,cin,214543.3503,70,2,0.712840345000131,NaN,NaN
conv1,GrassDead0131_1_S,1,1,200,6,45,1,29,129,S7,2,cin,214543.3503,71,1,0.649213789999976,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,2,200,1,1,122,129,20,S7,2,cin,214543.3503,72,2,1.07768857499968,NaN,NaN
