conv5, powerspec, ps_synths, original
0.15542480, 0.17243454, 0.15374070, 0.16130582
0.09797427, 0.14899221, 0.13628904, 0.21058755
0.06501911, 0.07217617, 0.06513055, 0.06127834
0.10727376, 0.11554086, 0.11154281, 0.09832275
0.36764953, 0.44856490, 0.42589237, 0.41762084
0.04695903, 0.05163702, 0.04667962, 0.04537685
0.06455137, 0.06881342, 0.06397609, 0.05921283
0.10093973, 0.56840940, 0.14034834, 0.82184174
0.11674914, 0.13642528, 0.12692545, 0.11994034
0.33663899, 0.81655885, 0.76947870, 0.83942115
0.08878213, 0.09949614, 0.09085933, 0.06771663
0.11464920, 0.13148478, 0.12264961, 0.10664377
