image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
powerspec,Scrapyard0033_1_S,1,1,200,8,114,1,11,129,S3,3,cin,209044.7416,1,1,0.679577279999648,NaN,NaN
powerspec,Crackles0004_1_S,0,2,200,5,46,1,127,129,S3,3,cin,209044.7416,2,2,0.53459728999951,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,200,4,1,109,129,58,S3,3,cin,209044.7416,3,1,0.543929814997682,NaN,NaN
powerspec,FoodVarious0001_1_S,0,2,200,10,1,123,129,37,S3,3,cin,209044.7416,4,1,0.841546879997622,NaN,NaN
PS,BrickRound0043_1_S,1,2,200,6,10,1,72,129,S3,3,cin,209044.7416,5,2,0.540595524998935,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,1,200,4,106,1,63,129,S3,3,cin,209044.7416,6,1,0.628511805000016,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,200,6,6,1,44,129,S3,3,cin,209044.7416,7,2,0.722694725001929,NaN,NaN
conv5,GrassDead0131_1_S,1,1,200,3,1,123,129,4,S3,3,cin,209044.7416,8,3,0.664845395000157,NaN,NaN
conv5,Gravel0097_1_S,1,1,200,6,1,126,129,15,S3,3,cin,209044.7416,9,2,0.572552314999484,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,6,37,1,39,129,S3,3,cin,209044.7416,10,1,0.310010404999048,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,200,5,1,96,129,40,S3,3,cin,209044.7416,11,1,0.689680994997616,NaN,NaN
PS,GrassDead0131_1_S,1,1,200,3,17,1,67,129,S3,3,cin,209044.7416,12,2,0.692871764997108,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,200,9,1,75,129,5,S3,3,cin,209044.7416,13,1,0.628765615001612,NaN,NaN
PS,BrickRound0043_1_S,0,2,200,6,1,44,129,97,S3,3,cin,209044.7416,14,1,0.441499900000053,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,2,200,4,89,1,5,129,S3,3,cin,209044.7416,15,2,0.589407395000308,NaN,NaN
powerspec,GrassDead0131_1_S,1,2,200,9,1,45,129,125,S3,3,cin,209044.7416,16,1,0.433385655000166,NaN,NaN
