image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv5,Carpet0047_1_S,1,3,2000,9,38,1,50,129,S1,1,cin,213536.568,1,2,2.36282605999986,NaN,NaN
PS,PaperCrumpled0004_1_S,0,3,2000,7,115,1,66,129,S1,1,cin,213536.568,2,2,2.27391252999951,NaN,NaN
conv5,Crackles0004_1_S,1,1,2000,4,81,1,90,129,S1,1,cin,213536.568,3,1,2.21153083999889,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,2,2000,9,32,1,107,129,S1,1,cin,213536.568,4,2,2.35271573499995,NaN,NaN
conv5,Carpet0047_1_S,1,1,2000,3,43,1,13,129,S1,1,cin,213536.568,5,3,2.24558563499977,NaN,NaN
PS,FoodVarious0001_1_S,1,3,2000,4,110,1,106,129,S1,1,cin,213536.568,6,3,2.28218389999984,NaN,NaN
PS,BrickRound0043_1_S,0,2,2000,9,62,1,34,129,S1,1,cin,213536.568,7,2,2.23516764499891,NaN,NaN
powerspec,Gravel0097_1_S,1,1,2000,2,1,28,129,112,S1,1,cin,213536.568,8,2,2.28265140999974,NaN,NaN
powerspec,Vegetables0024_1_S,0,3,2000,9,1,8,129,56,S1,1,cin,213536.568,9,2,2.23137872000007,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,2,2000,9,98,1,124,129,S1,1,cin,213536.568,10,2,2.23511654999947,NaN,NaN
PS,PaperCrumpled0004_1_S,0,3,2000,5,17,1,69,129,S1,1,cin,213536.568,11,2,2.1389600450002,NaN,NaN
conv5,Crackles0004_1_S,1,2,2000,8,24,1,50,129,S1,1,cin,213536.568,12,2,2.23832465999931,NaN,NaN
conv5,Vegetables0024_1_S,0,1,2000,6,64,1,50,129,S1,1,cin,213536.568,13,3,2.27655730499919,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,3,2000,6,1,36,129,105,S1,1,cin,213536.568,14,3,2.2389117699995,NaN,NaN
PS,GrassDead0131_1_S,0,2,2000,1,1,22,129,123,S1,1,cin,213536.568,15,1,2.27191870000024,NaN,NaN
PS,FlowerBeds0044_1_S,1,1,2000,3,128,1,108,129,S1,1,cin,213536.568,16,1,2.19556878499952,NaN,NaN
powerspec,BrickRound0043_1_S,1,3,2000,4,52,1,38,129,S1,1,cin,213536.568,17,3,2.27273131499896,NaN,NaN
powerspec,Crackles0004_1_S,1,3,2000,5,1,107,129,120,S1,1,cin,213536.568,18,3,2.15794821999953,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,3,2000,9,1,108,129,8,S1,1,cin,213536.568,19,3,2.25024819999999,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,1,2000,5,86,1,21,129,S1,1,cin,213536.568,20,1,2.21109592499943,NaN,NaN
powerspec,Vegetables0024_1_S,0,1,2000,9,123,1,61,129,S1,1,cin,213536.568,21,1,2.20000792999963,NaN,NaN
PS,Crackles0004_1_S,1,3,2000,2,127,1,4,129,S1,1,cin,213536.568,22,2,2.19738967499961,NaN,NaN
conv5,FoodVarious0001_1_S,1,3,2000,10,26,1,91,129,S1,1,cin,213536.568,23,3,2.2457096499993,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,3,2000,1,126,1,61,129,S1,1,cin,213536.568,24,3,2.21315755500018,NaN,NaN
powerspec,Scrapyard0033_1_S,0,1,2000,5,1,6,129,126,S1,1,cin,213536.568,25,3,2.24258565000036,NaN,NaN
powerspec,BrickRound0043_1_S,1,1,2000,9,19,1,33,129,S1,1,cin,213536.568,26,2,2.3391796599999,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,1,2000,7,104,1,93,129,S1,1,cin,213536.568,27,1,2.19920752999951,NaN,NaN
PS,Vegetables0024_1_S,0,2,2000,9,88,1,56,129,S1,1,cin,213536.568,28,2,2.16060380999988,NaN,NaN
conv5,BrickRound0043_1_S,1,2,2000,6,38,1,88,129,S1,1,cin,213536.568,29,1,2.15830722999908,NaN,NaN
PS,GrassDead0131_1_S,0,2,2000,6,1,80,129,25,S1,1,cin,213536.568,30,2,2.19042245499986,NaN,NaN
conv5,FoodVarious0001_1_S,1,1,2000,7,74,1,10,129,S1,1,cin,213536.568,31,1,2.20218258499972,NaN,NaN
powerspec,PaperCrumpled0004_1_S,1,3,2000,7,1,51,129,83,S1,1,cin,213536.568,32,1,2.24441395999929,NaN,NaN
powerspec,BrickRound0043_1_S,1,2,2000,8,120,1,34,129,S1,1,cin,213536.568,33,2,2.2199650499997,NaN,NaN
PS,Carpet0047_1_S,0,2,2000,4,103,1,70,129,S1,1,cin,213536.568,34,2,2.3232318549999,NaN,NaN
conv5,Vegetables0024_1_S,1,1,2000,1,1,46,129,72,S1,1,cin,213536.568,35,3,2.32591168499948,NaN,NaN
conv5,Gravel0097_1_S,1,2,2000,4,1,36,129,55,S1,1,cin,213536.568,36,2,2.22000010999909,NaN,NaN
conv5,FlowerBeds0044_1_S,0,1,2000,5,1,90,129,110,S1,1,cin,213536.568,37,1,2.21635895999952,NaN,NaN
powerspec,Crackles0004_1_S,0,2,2000,7,27,1,38,129,S1,1,cin,213536.568,38,3,2.24386788499942,NaN,NaN
powerspec,RooftilesCeramic0037_1_S,0,1,2000,1,94,1,113,129,S1,1,cin,213536.568,39,2,2.44291923499986,NaN,NaN
PS,PaperCrumpled0004_1_S,1,3,2000,5,1,127,129,124,S1,1,cin,213536.568,40,2,2.20942490499965,NaN,NaN
powerspec,FoodVarious0001_1_S,1,1,2000,1,1,31,129,87,S1,1,cin,213536.568,41,1,2.22071801499897,NaN,NaN
PS,GrassDead0131_1_S,0,1,2000,10,1,27,129,76,S1,1,cin,213536.568,42,1,2.22458869000002,NaN,NaN
PS,Carpet0047_1_S,1,1,2000,10,34,1,35,129,S1,1,cin,213536.568,43,3,2.16061626999908,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,3,2000,7,52,1,113,129,S1,1,cin,213536.568,44,2,2.35977722999905,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,2000,6,1,63,129,33,S1,1,cin,213536.568,45,3,2.22411870500036,NaN,NaN
powerspec,Carpet0047_1_S,1,3,2000,7,116,1,90,129,S1,1,cin,213536.568,46,2,2.22350087999985,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,2,2000,3,66,1,57,129,S1,1,cin,213536.568,47,2,2.04758390499956,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,2000,7,1,15,129,57,S1,1,cin,213536.568,48,3,2.25660131999939,NaN,NaN
powerspec,Scrapyard0033_1_S,0,3,2000,1,1,45,129,38,S1,1,cin,213536.568,49,1,2.26814164000007,NaN,NaN
