image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
powerspec,GrassDead0131_1_S,0,2,200,6,57,1,28,129,S2,3,cin,211009.2045,1,1,0.887327074999121,NaN,NaN
conv5,Scrapyard0033_1_S,0,1,200,9,117,1,59,129,S2,3,cin,211009.2045,2,3,1.05504586499956,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,200,4,1,108,129,93,S2,3,cin,211009.2045,3,3,1.13530670499949,NaN,NaN
conv5,FlowerBeds0044_1_S,1,1,200,1,8,1,39,129,S2,3,cin,211009.2045,4,1,1.22408782499951,NaN,NaN
conv5,Scrapyard0033_1_S,1,3,200,5,1,25,129,126,S2,3,cin,211009.2045,5,2,1.29166670999984,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,200,1,1,81,129,110,S2,3,cin,211009.2045,6,1,0,NaN,NaN
powerspec,Carpet0047_1_S,0,1,200,5,1,24,129,119,S2,3,cin,211009.2045,7,3,1.12386220999997,NaN,NaN
conv5,GrassDead0131_1_S,0,3,200,4,1,31,129,127,S2,3,cin,211009.2045,8,1,1.18260840499897,NaN,NaN
PS,Crackles0004_1_S,0,3,200,3,1,22,129,116,S2,3,cin,211009.2045,9,2,1.1145453299996,NaN,NaN
powerspec,BrickRound0043_1_S,1,2,200,3,1,27,129,70,S2,3,cin,211009.2045,10,3,0,NaN,NaN
conv5,Vegetables0024_1_S,1,3,200,8,1,116,129,113,S2,3,cin,211009.2045,11,1,1.05305801499981,NaN,NaN
powerspec,Gravel0097_1_S,1,3,200,9,48,1,71,129,S2,3,cin,211009.2045,12,1,0.747349759999452,NaN,NaN
conv5,BrickRound0043_1_S,1,3,200,3,1,122,129,18,S2,3,cin,211009.2045,13,2,1.16643433499939,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,2,200,4,118,1,76,129,S2,3,cin,211009.2045,14,3,1.01824207499976,NaN,NaN
powerspec,Crackles0004_1_S,1,1,200,6,1,39,129,40,S2,3,cin,211009.2045,15,2,0.961181779999606,NaN,NaN
powerspec,Gravel0097_1_S,1,1,200,8,82,1,74,129,S2,3,cin,211009.2045,16,3,0.773200059999908,NaN,NaN
conv5,BrickRound0043_1_S,1,1,200,3,1,79,129,65,S2,3,cin,211009.2045,17,2,1.10370930499994,NaN,NaN
powerspec,FoodVarious0001_1_S,0,1,200,8,11,1,89,129,S2,3,cin,211009.2045,18,3,1.18802249499913,NaN,NaN
PS,FlowerBeds0044_1_S,1,1,200,4,1,57,129,14,S2,3,cin,211009.2045,19,1,0.953035854999143,NaN,NaN
PS,Scrapyard0033_1_S,0,1,200,5,1,52,129,14,S2,3,cin,211009.2045,20,1,0,NaN,NaN
powerspec,BrickRound0043_1_S,1,2,200,5,1,109,129,6,S2,3,cin,211009.2045,21,2,1.08083324499967,NaN,NaN
conv5,GrassDead0131_1_S,0,3,200,10,26,1,31,129,S2,3,cin,211009.2045,22,1,0.861333809999451,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,1,2,200,5,56,1,18,129,S2,3,cin,211009.2045,23,1,0.963225209999109,NaN,NaN
conv5,Crackles0004_1_S,1,3,200,1,51,1,61,129,S2,3,cin,211009.2045,24,1,0,NaN,NaN
conv5,Scrapyard0033_1_S,0,1,200,1,17,1,37,129,S2,3,cin,211009.2045,25,2,0,NaN,NaN
conv5,Carpet0047_1_S,1,3,200,6,1,121,129,32,S2,3,cin,211009.2045,26,1,0,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,200,7,1,76,129,43,S2,3,cin,211009.2045,27,1,0,NaN,NaN
PS,Scrapyard0033_1_S,1,1,200,10,1,3,129,119,S2,3,cin,211009.2045,28,2,1.17790307999985,NaN,NaN
powerspec,GrassDead0131_1_S,0,2,200,10,123,1,72,129,S2,3,cin,211009.2045,29,3,0,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,3,200,4,53,1,22,129,S2,3,cin,211009.2045,30,1,0.987790674999815,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,3,200,7,10,1,59,129,S2,3,cin,211009.2045,31,1,1.01791869000044,NaN,NaN
powerspec,Vegetables0024_1_S,1,2,200,5,24,1,83,129,S2,3,cin,211009.2045,32,1,1.10962521500005,NaN,NaN
PS,Carpet0047_1_S,0,2,200,6,1,120,129,1,S2,3,cin,211009.2045,33,1,1.28147413499937,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,1,200,3,1,102,129,100,S2,3,cin,211009.2045,34,1,0.860609164999005,NaN,NaN
conv5,FoodVarious0001_1_S,0,2,200,6,14,1,19,129,S2,3,cin,211009.2045,35,3,1.14487060999909,NaN,NaN
powerspec,FlowerBeds0044_1_S,0,1,200,8,87,1,32,129,S2,3,cin,211009.2045,36,1,1.12105149499894,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,1,200,6,1,36,129,41,S2,3,cin,211009.2045,37,1,1.12873105499966,NaN,NaN
PS,GrassDead0131_1_S,1,2,200,4,58,1,27,129,S2,3,cin,211009.2045,38,1,0,NaN,NaN
conv5,Gravel0097_1_S,0,1,200,3,85,1,66,129,S2,3,cin,211009.2045,39,na,NaN,NaN,NaN
powerspec,FoodVarious0001_1_S,0,2,200,6,1,109,129,6,S2,3,cin,211009.2045,40,3,1.2059591799989,NaN,NaN
PS,Carpet0047_1_S,1,2,200,5,1,15,129,48,S2,3,cin,211009.2045,41,3,0,NaN,NaN
conv5,GrassDead0131_1_S,1,2,200,2,51,1,58,129,S2,3,cin,211009.2045,42,1,1.12467391999962,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,3,200,3,1,108,129,23,S2,3,cin,211009.2045,43,2,1.10332051999922,NaN,NaN
PS,Gravel0097_1_S,0,1,200,2,1,49,129,75,S2,3,cin,211009.2045,44,1,0.893203225000434,NaN,NaN
PS,Scrapyard0033_1_S,1,3,200,9,11,1,120,129,S2,3,cin,211009.2045,45,2,0,NaN,NaN
conv5,BrickRound0043_1_S,0,2,200,3,1,41,129,3,S2,3,cin,211009.2045,46,2,0,NaN,NaN
