image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
PS,FoodVarious0001_1_S,1,3,200,2,1,124,129,54,S1,2,cin,211616.6937,1,3,0.874708249999458,NaN,NaN
conv5,Crackles0004_1_S,0,2,200,10,1,21,129,72,S1,2,cin,211616.6937,2,2,0.63537573999929,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,10,109,1,126,129,S1,2,cin,211616.6937,3,2,0.658276174997809,NaN,NaN
conv5,FoodVarious0001_1_S,1,2,200,8,17,1,83,129,S1,2,cin,211616.6937,4,2,1.05126196499805,NaN,NaN
conv5,FlowerBeds0044_1_S,1,1,200,3,118,1,71,129,S1,2,cin,211616.6937,5,2,0.876295860000027,NaN,NaN
powerspec,Crackles0004_1_S,0,3,200,6,41,1,96,129,S1,2,cin,211616.6937,6,1,0.721215740000844,NaN,NaN
conv5,BrickRound0043_1_S,1,3,200,1,38,1,11,129,S1,2,cin,211616.6937,7,3,0.93847636999817,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,1,200,6,25,1,103,129,S1,2,cin,211616.6937,8,2,0.793234474998826,NaN,NaN
powerspec,Crackles0004_1_S,0,1,200,5,1,81,129,64,S1,2,cin,211616.6937,9,1,0.815945004998866,NaN,NaN
powerspec,GrassDead0131_1_S,1,3,200,7,36,1,123,129,S1,2,cin,211616.6937,10,1,0.866965485000037,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,3,200,6,1,114,129,123,S1,2,cin,211616.6937,11,2,0.713578434999363,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,2,200,3,1,120,129,107,S1,2,cin,211616.6937,12,3,1.0304553549995,NaN,NaN
conv5,FlowerBeds0044_1_S,0,2,200,2,1,126,129,58,S1,2,cin,211616.6937,13,2,0.895512719998806,NaN,NaN
PS,GrassDead0131_1_S,1,1,200,5,25,1,53,129,S1,2,cin,211616.6937,14,1,0.735441684999387,NaN,NaN
PS,BrickRound0043_1_S,0,1,200,7,79,1,120,129,S1,2,cin,211616.6937,15,2,0.671653845000037,NaN,NaN
conv5,Carpet0047_1_S,0,3,200,7,1,55,129,58,S1,2,cin,211616.6937,16,1,0.817601695000121,NaN,NaN
powerspec,Crackles0004_1_S,1,2,200,2,5,1,86,129,S1,2,cin,211616.6937,17,2,0.701498070000525,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,1,200,1,80,1,40,129,S1,2,cin,211616.6937,18,3,0.86005828999987,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,7,87,1,79,129,S1,2,cin,211616.6937,19,2,0.980685699998503,NaN,NaN
conv5,Vegetables0024_1_S,0,1,200,9,127,1,64,129,S1,2,cin,211616.6937,20,2,0.869556664998527,NaN,NaN
powerspec,Crackles0004_1_S,0,3,200,3,55,1,109,129,S1,2,cin,211616.6937,21,1,0.780018084999028,NaN,NaN
powerspec,FlowerBeds0044_1_S,1,1,200,8,1,87,129,76,S1,2,cin,211616.6937,22,2,0.857096594998438,NaN,NaN
powerspec,Scrapyard0033_1_S,0,2,200,6,1,29,129,20,S1,2,cin,211616.6937,23,2,0.716028864999316,NaN,NaN
PS,Vegetables0024_1_S,1,3,200,10,123,1,120,129,S1,2,cin,211616.6937,24,2,0.852378009998574,NaN,NaN
conv5,Gravel0097_1_S,1,2,200,10,94,1,95,129,S1,2,cin,211616.6937,25,1,0.820251819999612,NaN,NaN
PS,Scrapyard0033_1_S,1,2,200,5,104,1,2,129,S1,2,cin,211616.6937,26,3,0.821687050000037,NaN,NaN
conv5,FlowerBeds0044_1_S,1,2,200,9,93,1,26,129,S1,2,cin,211616.6937,27,2,0.917002225000033,NaN,NaN
powerspec,GrassDead0131_1_S,1,3,200,9,1,14,129,117,S1,2,cin,211616.6937,28,3,0.797061619998203,NaN,NaN
powerspec,BrickRound0043_1_S,0,3,200,3,1,53,129,57,S1,2,cin,211616.6937,29,3,0.779057989999274,NaN,NaN
powerspec,Scrapyard0033_1_S,0,3,200,6,45,1,67,129,S1,2,cin,211616.6937,30,1,0.785068224999122,NaN,NaN
PS,Gravel0097_1_S,0,1,200,10,1,3,129,88,S1,2,cin,211616.6937,31,2,0.733382540000093,NaN,NaN
powerspec,PaperCrumpled0004_1_S,0,1,200,4,55,1,65,129,S1,2,cin,211616.6937,32,1,0.793048604999058,NaN,NaN
PS,Crackles0004_1_S,0,3,200,5,34,1,80,129,S1,2,cin,211616.6937,33,3,0.921475540000756,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,2,200,1,41,1,28,129,S1,2,cin,211616.6937,34,1,0.746883170000729,NaN,NaN
conv5,FoodVarious0001_1_S,1,2,200,9,121,1,55,129,S1,2,cin,211616.6937,35,2,0.781407624997883,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,200,2,1,1,76,129,S1,2,cin,211616.6937,36,1,0.6300060199992,NaN,NaN
powerspec,Gravel0097_1_S,0,1,200,1,1,121,129,51,S1,2,cin,211616.6937,37,2,0.660344599999007,NaN,NaN
conv5,Crackles0004_1_S,1,2,200,7,52,1,10,129,S1,2,cin,211616.6937,38,1,0.406745254998896,NaN,NaN
PS,PaperCrumpled0004_1_S,1,2,200,8,39,1,127,129,S1,2,cin,211616.6937,39,1,0.543092469999465,NaN,NaN
conv5,BrickRound0043_1_S,1,3,200,4,14,1,99,129,S1,2,cin,211616.6937,40,2,0.72480306000034,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,200,6,39,1,79,129,S1,2,cin,211616.6937,41,3,0.531022774999656,NaN,NaN
powerspec,FoodVarious0001_1_S,0,1,200,2,1,17,129,128,S1,2,cin,211616.6937,42,2,0.516924404999372,NaN,NaN
powerspec,BrickRound0043_1_S,0,2,200,2,1,52,129,88,S1,2,cin,211616.6937,43,1,0.593044719998943,NaN,NaN
powerspec,Crackles0004_1_S,0,3,200,7,1,60,129,91,S1,2,cin,211616.6937,44,2,0.63396757999908,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,200,7,1,121,129,64,S1,2,cin,211616.6937,45,3,0.678372110000055,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,200,4,1,89,129,98,S1,2,cin,211616.6937,46,2,0.548619814999256,NaN,NaN
powerspec,RooftilesCeramic0037_1_S,0,1,200,2,1,98,129,89,S1,2,cin,211616.6937,47,1,0.642911779999849,NaN,NaN
conv5,BrickRound0043_1_S,0,2,200,2,88,1,10,129,S1,2,cin,211616.6937,48,2,0.684721044999606,NaN,NaN
PS,Scrapyard0033_1_S,0,2,200,10,1,79,129,117,S1,2,cin,211616.6937,49,3,0.757899749998614,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,2,200,9,1,10,129,120,S1,2,cin,211616.6937,50,2,0.678949704999468,NaN,NaN
conv5,Carpet0047_1_S,0,3,200,6,1,44,129,105,S1,2,cin,211616.6937,51,1,0.596470529999351,NaN,NaN
conv5,FlowerBeds0044_1_S,1,2,200,10,109,1,111,129,S1,2,cin,211616.6937,52,3,0.702739509999446,NaN,NaN
PS,FoodVarious0001_1_S,0,2,200,4,1,69,129,71,S1,2,cin,211616.6937,53,2,0.844364379998296,NaN,NaN
powerspec,GrassDead0131_1_S,1,1,200,6,1,108,129,82,S1,2,cin,211616.6937,54,1,0.646223140000075,NaN,NaN
conv5,BrickRound0043_1_S,0,3,200,4,1,107,129,31,S1,2,cin,211616.6937,55,2,0.635545305000051,NaN,NaN
PS,Scrapyard0033_1_S,0,3,200,10,1,34,129,114,S1,2,cin,211616.6937,56,2,0.676556074999098,NaN,NaN
PS,Carpet0047_1_S,1,1,200,6,71,1,55,129,S1,2,cin,211616.6937,57,2,0.643564274998425,NaN,NaN
conv5,Crackles0004_1_S,1,1,200,1,117,1,23,129,S1,2,cin,211616.6937,58,2,0.682496164999975,NaN,NaN
conv5,GrassDead0131_1_S,0,3,200,10,1,65,129,87,S1,2,cin,211616.6937,59,1,0.647786550000092,NaN,NaN
PS,PaperCrumpled0004_1_S,0,3,200,10,1,26,129,30,S1,2,cin,211616.6937,60,3,0.867567569997846,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,7,1,103,129,25,S1,2,cin,211616.6937,61,3,0.885385255000074,NaN,NaN
conv5,GrassDead0131_1_S,0,3,200,5,113,1,126,129,S1,2,cin,211616.6937,62,2,0.698013409999476,NaN,NaN
PS,BrickRound0043_1_S,1,2,200,10,1,111,129,103,S1,2,cin,211616.6937,63,2,0.965391544999875,NaN,NaN
powerspec,PaperCrumpled0004_1_S,1,2,200,6,1,28,129,74,S1,2,cin,211616.6937,64,1,0.789045400000759,NaN,NaN
conv5,GrassDead0131_1_S,1,2,200,9,7,1,85,129,S1,2,cin,211616.6937,65,2,0.847977539999192,NaN,NaN
powerspec,Gravel0097_1_S,0,3,200,3,1,77,129,9,S1,2,cin,211616.6937,66,2,0.879999169999792,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,2,200,6,92,1,60,129,S1,2,cin,211616.6937,67,2,0.919847080000181,NaN,NaN
powerspec,PaperCrumpled0004_1_S,1,1,200,8,1,64,129,121,S1,2,cin,211616.6937,68,1,0.921650655000121,NaN,NaN
conv5,GrassDead0131_1_S,1,1,200,7,1,121,129,110,S1,2,cin,211616.6937,69,2,0.940580619999309,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,1,2,200,9,29,1,104,129,S1,2,cin,211616.6937,70,2,0.799853724998684,NaN,NaN
powerspec,Vegetables0024_1_S,0,3,200,9,1,125,129,118,S1,2,cin,211616.6937,71,1,0.652852609999172,NaN,NaN
powerspec,PaperCrumpled0004_1_S,1,1,200,9,1,15,129,16,S1,2,cin,211616.6937,72,2,0.66791302999809,NaN,NaN
powerspec,Scrapyard0033_1_S,1,3,200,6,30,1,75,129,S1,2,cin,211616.6937,73,2,0.585885115000565,NaN,NaN
powerspec,Carpet0047_1_S,1,1,200,4,1,110,129,73,S1,2,cin,211616.6937,74,2,0.722716054999182,NaN,NaN
PS,GrassDead0131_1_S,1,1,200,3,107,1,28,129,S1,2,cin,211616.6937,75,1,0.87108615499892,NaN,NaN
powerspec,Crackles0004_1_S,0,2,200,9,103,1,88,129,S1,2,cin,211616.6937,76,2,0.679263849999188,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,200,6,1,44,129,27,S1,2,cin,211616.6937,77,2,0.792902859999231,NaN,NaN
conv5,Gravel0097_1_S,1,3,200,1,47,1,46,129,S1,2,cin,211616.6937,78,2,1.03725019499871,NaN,NaN
powerspec,FlowerBeds0044_1_S,0,1,200,5,30,1,27,129,S1,2,cin,211616.6937,79,3,0.840187019999576,NaN,NaN
PS,Vegetables0024_1_S,1,2,200,6,1,113,129,26,S1,2,cin,211616.6937,80,2,0.730288599999767,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,1,1,200,5,22,1,85,129,S1,2,cin,211616.6937,81,2,0.916458339999735,NaN,NaN
conv5,GrassDead0131_1_S,0,1,200,7,118,1,3,129,S1,2,cin,211616.6937,82,1,0.636298119999992,NaN,NaN
conv5,FlowerBeds0044_1_S,1,3,200,6,1,109,129,51,S1,2,cin,211616.6937,83,2,0.927227879999919,NaN,NaN
PS,FoodVarious0001_1_S,1,2,200,5,95,1,98,129,S1,2,cin,211616.6937,84,2,0.68723402499927,NaN,NaN
PS,Crackles0004_1_S,1,2,200,8,5,1,82,129,S1,2,cin,211616.6937,85,3,0.843959439998798,NaN,NaN
PS,FlowerBeds0044_1_S,0,2,200,6,9,1,42,129,S1,2,cin,211616.6937,86,2,0.800942854999448,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,1,200,5,4,1,122,129,S1,2,cin,211616.6937,87,2,0.709205605000534,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,1,2,200,10,1,24,129,65,S1,2,cin,211616.6937,88,1,0.773395344998789,NaN,NaN
powerspec,FoodVarious0001_1_S,1,1,200,2,74,1,6,129,S1,2,cin,211616.6937,89,1,0.607445434998226,NaN,NaN
conv5,Carpet0047_1_S,0,1,200,4,17,1,106,129,S1,2,cin,211616.6937,90,1,0.795682509999097,NaN,NaN
conv5,Vegetables0024_1_S,1,2,200,3,1,118,129,56,S1,2,cin,211616.6937,91,2,0.849093134998839,NaN,NaN
PS,GrassDead0131_1_S,0,1,200,5,59,1,114,129,S1,2,cin,211616.6937,92,1,0.911021170000822,NaN,NaN
PS,FlowerBeds0044_1_S,0,3,200,1,31,1,89,129,S1,2,cin,211616.6937,93,1,0.618829625000217,NaN,NaN
PS,MetalFloorsBare0024_1_S,0,3,200,5,1,65,129,118,S1,2,cin,211616.6937,94,1,0.497113674999127,NaN,NaN
PS,Crackles0004_1_S,0,2,200,8,80,1,76,129,S1,2,cin,211616.6937,95,2,0.686430864998329,NaN,NaN
conv5,Vegetables0024_1_S,1,1,200,3,1,28,129,114,S1,2,cin,211616.6937,96,1,0.735380924999845,NaN,NaN
conv5,FoodVarious0001_1_S,1,1,200,10,1,48,129,46,S1,2,cin,211616.6937,97,2,0.732759144999363,NaN,NaN
conv5,GrassDead0131_1_S,1,1,200,9,1,19,129,14,S1,2,cin,211616.6937,98,1,0.637941709997904,NaN,NaN
powerspec,Carpet0047_1_S,0,2,200,10,9,1,105,129,S1,2,cin,211616.6937,99,2,0.57137388999945,NaN,NaN
PS,Vegetables0024_1_S,0,1,200,8,1,44,129,46,S1,2,cin,211616.6937,100,3,0.766238095000517,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,1,200,2,1,15,129,13,S1,2,cin,211616.6937,101,1,0.723266400000284,NaN,NaN
powerspec,Scrapyard0033_1_S,0,3,200,3,42,1,19,129,S1,2,cin,211616.6937,102,2,0.608671954998499,NaN,NaN
PS,BrickRound0043_1_S,1,2,200,4,18,1,9,129,S1,2,cin,211616.6937,103,2,0.677450659999522,NaN,NaN
powerspec,GrassDead0131_1_S,0,2,200,8,1,16,129,108,S1,2,cin,211616.6937,104,1,0.692261869999129,NaN,NaN
conv5,PaperCrumpled0004_1_S,1,2,200,5,67,1,53,129,S1,2,cin,211616.6937,105,1,0.647265974999755,NaN,NaN
conv5,Crackles0004_1_S,0,3,200,8,53,1,7,129,S1,2,cin,211616.6937,106,3,0.662069079999128,NaN,NaN
conv5,Gravel0097_1_S,1,3,200,5,1,95,129,5,S1,2,cin,211616.6937,107,2,0.682971019999968,NaN,NaN
conv5,GrassDead0131_1_S,1,1,200,2,65,1,14,129,S1,2,cin,211616.6937,108,3,0.760889695000515,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,2,200,5,1,15,129,42,S1,2,cin,211616.6937,109,2,0.660243979998995,NaN,NaN
conv5,Carpet0047_1_S,0,2,200,8,32,1,8,129,S1,2,cin,211616.6937,110,2,0.754283000000214,NaN,NaN
powerspec,RooftilesCeramic0037_1_S,1,2,200,3,1,109,129,95,S1,2,cin,211616.6937,111,2,0.723917399998754,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,2,1,19,129,85,S1,2,cin,211616.6937,112,1,0.682742105000216,NaN,NaN
PS,Gravel0097_1_S,0,1,200,7,76,1,102,129,S1,2,cin,211616.6937,113,1,0.681024670000625,NaN,NaN
powerspec,GrassDead0131_1_S,0,3,200,6,1,41,129,76,S1,2,cin,211616.6937,114,2,0.657177260000026,NaN,NaN
PS,Carpet0047_1_S,0,1,200,2,1,17,129,19,S1,2,cin,211616.6937,115,1,0.734385555000699,NaN,NaN
powerspec,PaperCrumpled0004_1_S,1,2,200,10,50,1,112,129,S1,2,cin,211616.6937,116,1,0.642275849999351,NaN,NaN
powerspec,Vegetables0024_1_S,0,1,200,7,1,64,129,76,S1,2,cin,211616.6937,117,2,0.693855084999086,NaN,NaN
powerspec,Scrapyard0033_1_S,1,1,200,1,1,20,129,6,S1,2,cin,211616.6937,118,2,0.891325899998265,NaN,NaN
conv5,Crackles0004_1_S,1,2,200,5,75,1,112,129,S1,2,cin,211616.6937,119,1,0.710058839998965,NaN,NaN
PS,PaperCrumpled0004_1_S,1,3,200,6,93,1,68,129,S1,2,cin,211616.6937,120,2,0.817998839998836,NaN,NaN
powerspec,BrickRound0043_1_S,0,1,200,7,99,1,100,129,S1,2,cin,211616.6937,121,2,0.823627649999253,NaN,NaN
conv5,Gravel0097_1_S,0,2,200,1,127,1,58,129,S1,2,cin,211616.6937,122,2,0.822994329999347,NaN,NaN
powerspec,GrassDead0131_1_S,0,2,200,10,1,75,129,47,S1,2,cin,211616.6937,123,3,0.686851889999161,NaN,NaN
conv5,Crackles0004_1_S,1,3,200,7,4,1,52,129,S1,2,cin,211616.6937,124,1,0.733297830000083,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,3,200,3,57,1,26,129,S1,2,cin,211616.6937,125,2,0.760955559999275,NaN,NaN
PS,MetalFloorsBare0024_1_S,1,2,200,7,1,6,129,29,S1,2,cin,211616.6937,126,2,0.696009369999956,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,2,200,3,35,1,95,129,S1,2,cin,211616.6937,127,2,0.877639689999341,NaN,NaN
powerspec,BrickRound0043_1_S,0,3,200,10,78,1,120,129,S1,2,cin,211616.6937,128,1,0.775993259998359,NaN,NaN
PS,Scrapyard0033_1_S,1,2,200,4,51,1,95,129,S1,2,cin,211616.6937,129,2,0.789948549998371,NaN,NaN
conv5,FlowerBeds0044_1_S,0,3,200,7,1,24,129,76,S1,2,cin,211616.6937,130,1,0.774554094999985,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,1,200,5,31,1,30,129,S1,2,cin,211616.6937,131,2,0.77988533000098,NaN,NaN
conv5,PaperCrumpled0004_1_S,0,2,200,8,1,50,129,118,S1,2,cin,211616.6937,132,2,0.882939954999529,NaN,NaN
PS,Vegetables0024_1_S,1,1,200,8,1,56,129,35,S1,2,cin,211616.6937,133,2,0.844216729999971,NaN,NaN
powerspec,Gravel0097_1_S,1,1,200,1,1,24,129,113,S1,2,cin,211616.6937,134,3,0.767217889999301,NaN,NaN
PS,Scrapyard0033_1_S,0,3,200,7,17,1,88,129,S1,2,cin,211616.6937,135,3,0.703092969999489,NaN,NaN
powerspec,FlowerBeds0044_1_S,0,2,200,8,1,68,129,95,S1,2,cin,211616.6937,136,3,1.06774002499878,NaN,NaN
powerspec,BrickRound0043_1_S,1,2,200,9,98,1,69,129,S1,2,cin,211616.6937,137,2,0.697150434998548,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,1,2,200,6,26,1,2,129,S1,2,cin,211616.6937,138,3,0.828994519999469,NaN,NaN
PS,PaperCrumpled0004_1_S,0,3,200,9,44,1,65,129,S1,2,cin,211616.6937,139,2,0.768674354998439,NaN,NaN
conv5,BrickRound0043_1_S,0,2,200,3,1,100,129,111,S1,2,cin,211616.6937,140,3,0.546015724999961,NaN,NaN
powerspec,Vegetables0024_1_S,0,2,200,5,1,34,129,8,S1,2,cin,211616.6937,141,3,0.783258699999351,NaN,NaN
conv5,FoodVarious0001_1_S,0,3,200,4,1,31,129,10,S1,2,cin,211616.6937,142,1,0.703199624998888,NaN,NaN
conv5,RooftilesCeramic0037_1_S,0,3,200,3,1,8,129,108,S1,2,cin,211616.6937,143,2,0.628438665000431,NaN,NaN
conv5,MetalFloorsBare0024_1_S,1,1,200,4,1,45,129,15,S1,2,cin,211616.6937,144,1,0.664344844999505,NaN,NaN
powerspec,Carpet0047_1_S,1,2,200,1,1,28,129,109,S1,2,cin,211616.6937,145,2,0.706482334999237,NaN,NaN
conv5,Gravel0097_1_S,1,1,200,9,1,113,129,7,S1,2,cin,211616.6937,146,2,0.762042489999658,NaN,NaN
conv5,Vegetables0024_1_S,1,2,200,4,1,83,129,66,S1,2,cin,211616.6937,147,3,0.638766019999821,NaN,NaN
