image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv5,FoodVarious0001_1_S,1,1,200,3,1,84,129,111,cf,3,cin,212263.8444,1,na,NaN,NaN,NaN
powerspec,PaperCrumpled0004_1_S,0,3,200,2,38,1,13,129,cf,3,cin,212263.8444,2,2,0.959886540000298,NaN,NaN
powerspec,GrassDead0131_1_S,0,1,200,3,120,1,36,129,cf,3,cin,212263.8444,3,1,0.680761299998267,NaN,NaN
PS,Vegetables0024_1_S,1,2,200,10,18,1,91,129,cf,3,cin,212263.8444,4,1,1.0353659249995,NaN,NaN
PS,PaperCrumpled0004_1_S,0,2,200,4,1,52,129,16,cf,3,cin,212263.8444,5,1,0.692244335001305,NaN,NaN
PS,FoodVarious0001_1_S,0,1,200,9,19,1,50,129,cf,3,cin,212263.8444,6,1,0.704957034999097,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,2,200,8,104,1,77,129,cf,3,cin,212263.8444,7,1,0.774470360000123,NaN,NaN
powerspec,Gravel0097_1_S,1,2,200,4,1,19,129,128,cf,3,cin,212263.8444,8,3,0.742025100000319,NaN,NaN
PS,FlowerBeds0044_1_S,0,1,200,8,2,1,62,129,cf,3,cin,212263.8444,9,2,0.963816949999455,NaN,NaN
PS,Crackles0004_1_S,1,2,200,8,66,1,74,129,cf,3,cin,212263.8444,10,3,0.796434435000265,NaN,NaN
conv5,Carpet0047_1_S,0,1,200,1,1,71,129,70,cf,3,cin,212263.8444,11,1,0.659234084996569,NaN,NaN
PS,Gravel0097_1_S,0,1,200,1,1,65,129,19,cf,3,cin,212263.8444,12,1,0.634330354998383,NaN,NaN
conv5,Scrapyard0033_1_S,0,2,200,4,36,1,2,129,cf,3,cin,212263.8444,13,3,0.632989335001184,NaN,NaN
powerspec,Vegetables0024_1_S,1,1,200,10,22,1,24,129,cf,3,cin,212263.8444,14,2,0.616962929998408,NaN,NaN
